N	3gram	Voloshinov_1	DiskursI
1	в отличие от	5	12
2	в том что	3	6
3	то же время	3	5
4	по отношению к	2	4
5	в этом отношении	3	4
6	в то же	3	4
7	с одной стороны	1	4
8	так и в	1	3
9	не может быть	13	3
10	той или иной	1	3
11	и того же	5	2
12	подобно тому как	1	2
13	в этом случае	3	2
14	что же касается	1	2
15	с точки зрения	20	2
16	и не может	9	2
17	в наше время	1	2
18	в основе своей	1	2
19	но при этом	2	2
20	и как бы	1	2
21	по природе своей	1	2
22	и прежде всего	2	2
23	одного и того	5	2
24	прежде всего в	1	1
25	в самом деле	9	1
26	друг от друга	1	1
27	с другой стороны	5	1
28	значение не только	1	1
29	до известной степени	1	1
30	бы то ни	8	1
31	и т.п но	1	1
32	по аналогии с	1	1
33	свет и на	1	1
34	в частности как	1	1
35	в предыдущей главе	1	1
36	отнюдь не является	3	1
37	для данного высказывания	1	1
38	в значительной степени	1	1
39	в применении к	1	1
40	из виду что	1	1
41	то ни было	8	1
42	при этом даже	1	1
43	во втором случае	1	1
44	не могут быть	2	1
45	так и с	1	1
46	во всяком случае	2	1
47	и той же	2	1
48	принципиальное различие между	1	1
49	здесь в этом	1	1
50	и т.п в	3	1
51	равно как и	1	1
52	пролить свет и	1	1
53	еще на стадии	1	1
54	с самого начала	4	1
55	можно сказать что	3	1
56	в большинстве случаев	3	1
57	и не дает	1	1
58	в том числе	2	1
59	одной и той	2	1
60	тем не менее	2	1
61	и в большинстве	1	1
62	том числе и	2	1
63	в пределах одного	2	1
