N	3gram	Medvedev_U_1	Literetu
1	в том что	2	11
2	так или иначе	1	8
3	то же время	3	5
4	в то же	3	5
5	в данном случае	1	4
6	не только в	1	4
7	в конечном счете	4	4
8	и прежде всего	1	3
9	в этом отношении	2	2
10	и то что	2	2
11	что такое искусство?	1	2
12	с одной стороны	1	2
13	интерес не только	1	1
14	на то что	1	1
15	и не только	1	1
16	бы то ни	3	1
17	первый взгляд представляется	1	1
18	по крайней мере	2	1
19	и в частности	2	1
20	его претензии на	1	1
21	которые могли бы	1	1
22	а не только	1	1
23	но в то	1	1
24	в самом деле	2	1
25	на первый взгляд	1	1
26	как нам представляется	1	1
27	же время не	1	1
28	с другой стороны	3	1
29	не может быть	4	1
30	в художественном отношении	1	1
31	и только как	1	1
32	до сих пор	2	1
33	и у пушкина	1	1
34	то ни было	3	1
35	тех или иных	2	1
36	во главу угла	1	1
37	быть не может	1	1
38	слово как таковое	1	1
