N	3gram	Propp_Russ_2	FransuaR
1	в том что	18	6
2	как и в	1	4
3	в другом месте	1	3
4	мы видели что	4	3
5	в настоящее время	1	3
6	о том что	4	2
7	с одной стороны	2	2
8	можно сказать что	1	2
9	для того чтобы	6	2
10	ни с одним	1	2
11	как мы видели	1	2
12	в то время	2	2
13	как мы уже	1	2
14	более или менее	1	2
15	в данном случае	6	2
16	с одним из	1	2
17	дело в том	1	2
18	с другой стороны	1	2
19	не может быть	3	2
20	подобно тому как	3	1
21	мы не можем	2	1
22	дело не ограничивалось	1	1
23	и превратились в	1	1
24	все в этой	1	1
25	не было ни	1	1
26	таким образом к	1	1
27	может быть и	1	1
28	в одном ряду	1	1
29	еще далеко не	1	1
30	и в этом	1	1
31	и в других	4	1
32	но и эта	1	1
33	состоит в том	13	1
34	можно было бы	1	1
35	в некоторых случаях	1	1
36	мы не будем	2	1
37	в отличие от	3	1
38	таким образом в	1	1
39	на самом же	2	1
40	в землю и	1	1
41	одном ряду с	1	1
42	во всем этом	1	1
43	вопрос о том	1	1
44	после того как	2	1
45	со смехом и	1	1
46	он был бы	1	1
47	и другие элементы	1	1
48	эта связь с	1	1
49	самом же деле	2	1
50	те и другие	1	1
51	в точности соответствует	1	1
52	в этом отношении	1	1
53	но и в	1	1
54	кроме того в	2	1
55	или же в	1	1
56	том что это	3	1
57	потому что в	1	1
58	вместе с тем	4	1
59	во всех этих	1	1
60	потому что на	1	1
61	о том как	1	1
