N	2gram	Medvedev_B_1	Vladivir
1	и в	1	30
2	и не	2	18
3	не только	1	12
4	что в	1	12
5	не было	1	10
6	все же	1	9
7	кроме того	1	9
8	было бы	1	9
9	до конца	1	7
10	а не	1	7
11	об этом	1	6
12	у нас	3	6
13	всяком случае	1	6
14	прежде всего	1	6
15	во всяком	1	6
16	в своей	1	5
17	так и	1	5
18	все это	2	5
19	в ней	2	4
20	и на	1	4
21	по крайней	1	4
22	и о	1	4
23	крайней мере	1	4
24	не то	2	3
25	таким образом	1	3
26	к ней	1	3
27	в области	1	3
28	никак не	1	3
29	в данном	1	3
30	тем более	1	3
31	также что	1	2
32	его не	1	2
33	не вполне	1	2
34	свою книгу	1	2
35	не о	1	2
36	как будто	1	2
37	этой книги	1	2
38	будто бы	1	2
39	и во	1	2
40	и потому	1	2
41	можно было	2	2
42	необходимо отметить	1	1
43	говорить о	1	1
44	не все	1	1
45	что все	1	1
46	в композиции	1	1
47	остановиться на	1	1
48	далеко не	1	1
49	отметим следующие	1	1
50	еще не	1	1
51	по теории	1	1
52	то как	1	1
53	неудивительно что	1	1
54	и ее	1	1
55	признать его	1	1
56	было и	1	1
57	в книге	1	1
58	между ними	1	1
