N	2gram	Tiupa_Hudo_1	ViktorSh
1	и в	19	2
2	том что	8	2
3	в том	18	2
4	в конце	1	2
5	а.н веселовского	2	2
6	крайней мере	1	1
7	тем более	1	1
8	ни к	2	1
9	и том	1	1
10	в другом	3	1
11	и не	15	1
12	и его	12	1
13	потому что	3	1
14	я не	2	1
15	более чем	1	1
16	сводится к	7	1
17	и то	4	1
18	и т.д	3	1
19	все это	2	1
20	по поводу	1	1
21	именно в	2	1
22	по своим	1	1
23	в их	5	1
24	собственно и	1	1
25	теории литературы	2	1
26	дело в	1	1
27	говоря иначе	2	1
28	в частности	13	1
29	так в	4	1
30	речи и	3	1
31	одно и	3	1
32	все то	1	1
33	столь же	1	1
34	время в	1	1
35	ведь это	1	1
36	говоря о	3	1
37	в значительной	1	1
38	в самом	5	1
39	только в	5	1
40	то же	10	1
41	так как	1	1
42	далеко не	2	1
43	и составляет	3	1
44	к чему	1	1
45	в этом	11	1
46	одном и	1	1
47	по крайней	1	1
48	а только	4	1
49	то я	1	1
50	значительной степени	1	1
51	за свою	1	1
52	том же	1	1
