N	2gram	Berdyaev_N_1	Psycholo
1	в том	8	37
2	и в	16	32
3	и что	2	22
4	том что	2	21
5	потому что	4	21
6	то что	4	21
7	что в	9	20
8	может быть	7	18
9	так же	2	18
10	не может	16	17
11	что она	2	16
12	того чтобы	2	14
13	в этом	7	13
14	для того	1	13
15	что он	1	13
16	в самом	1	12
17	не только	5	12
18	по себе	1	12
19	так как	1	12
20	было бы	1	11
21	с тем	3	11
22	в основе	3	11
23	но и	3	10
24	как и	7	10
25	и не	11	10
26	как в	3	9
27	никогда не	6	9
28	тем что	1	9
29	что все	2	9
30	не в	6	8
31	не менее	4	8
32	в сущности	1	7
33	говорит что	1	7
34	все эти	2	7
35	такой же	2	7
36	и его	1	7
37	как будто	2	7
38	к тому	3	7
39	можно было	2	7
40	только в	1	7
41	а не	17	7
42	сказать что	3	7
43	в этой	1	6
44	он не	8	6
45	формы и	2	6
46	о том	4	6
47	все время	2	6
48	и мы	4	6
49	и из	1	6
50	и на	2	5
51	что его	1	5
52	все это	5	5
53	в то	2	5
54	есть только	1	5
55	в ней	5	5
56	и даже	2	5
57	до сих	1	5
58	сих пор	1	5
59	как на	1	5
60	же как	2	4
61	в чем	1	4
62	есть по	1	4
63	с этим	2	4
64	в нем	5	4
65	к одному	1	4
66	том случае	1	4
67	и с	2	4
68	в жизни	5	4
69	и более	1	4
70	не имеет	4	4
71	и до	1	4
72	и для	4	4
73	могут быть	2	4
74	и это	2	4
75	и когда	1	4
76	из них	1	4
77	от того	1	4
78	а на	1	4
79	когда она	1	4
80	как это	2	4
81	наряду с	3	4
82	случае если	1	4
83	и все	4	4
84	а в	2	4
85	жизни и	8	4
86	мы не	2	3
87	время как	2	3
88	то это	1	3
89	во всех	3	3
90	и к	5	3
91	но в	2	3
92	он в	1	3
93	думать что	2	3
94	творчества и	1	3
95	не к	2	3
96	это было	3	3
97	и сейчас	1	3
98	в своей	3	3
99	жизни с	1	3
100	но он	1	3
101	том чтобы	2	3
102	не могли	2	3
103	во всем	1	3
104	в каком	1	3
105	не могут	1	3
106	и заключается	2	3
107	отказаться от	1	3
108	на это	1	3
109	с ее	5	3
110	в виду	1	3
111	то время	1	3
112	так и	2	3
113	мы в	1	3
114	для этого	2	3
115	с другой	3	3
116	мы должны	1	3
117	значит что	4	3
118	существу своему	1	3
119	что не	1	3
