N	3gram	Vinokur_Vv_1	Problemy
1	с точки зрения	2	13
2	в этом смысле	10	10
3	то же время	5	9
4	в то же	5	9
5	по отношению к	4	8
6	в том что	12	6
7	и в этом	3	5
8	в зависимости от	1	5
9	но в то	3	5
10	в конце концов	2	5
11	на самом деле	1	4
12	не может быть	8	4
13	подобно тому как	1	3
14	и т п	5	3
15	потому что она	1	3
16	все то что	1	3
17	в этом отношении	3	3
18	во всяком случае	3	3
19	само по себе	3	3
20	с другой стороны	5	3
21	но все же	3	2
22	в самом деле	5	2
23	целом ряде других	1	2
24	до сих пор	5	2
25	в лучшем случае	1	2
26	хотя бы и	2	2
27	романа достоевского в	1	2
28	бы то ни	1	2
29	только то что	1	2
30	в этой форме	1	2
31	т е в	4	2
32	в данном случае	4	2
33	не только в	4	2
34	и в целом	1	2
35	которые были бы	1	2
36	в целом ряде	2	2
37	но с другой	1	2
38	что может быть	3	2
39	можно было бы	3	2
40	так как не	1	2
41	т е не	2	2
42	в другом месте	2	1
43	потому что он	2	1
44	и есть то	1	1
45	он должен быть	1	1
46	чтобы в нем	1	1
47	дело в том	2	1
48	в свою очередь	1	1
49	большей или меньшей	2	1
50	т е о	1	1
51	то же самое	2	1
52	в этом случае	6	1
53	что же касается	2	1
54	в своей работе	1	1
55	он определяет как	1	1
56	как если бы	1	1
57	не только слово	1	1
58	данном случае и	1	1
59	во второй части	1	1
60	сам для себя	1	1
61	исследования но в	1	1
62	и понимать все	1	1
63	а так как	2	1
64	себе самому и	1	1
65	что в нем	2	1
66	точно так же	2	1
67	на этот вопрос	3	1
68	этом смысле как	1	1
69	как мы уже	1	1
70	но и как	1	1
71	по крайней мере	4	1
72	может быть и	2	1
73	все время идет	1	1
74	если же мы	1	1
75	чтобы убедиться в	1	1
76	какой бы то	1	1
77	так же как	1	1
78	а не только	1	1
79	не потому что	1	1
80	в первом случае	2	1
81	то ни было	1	1
82	оправдано лишь как	1	1
83	слова а не	1	1
84	тех или иных	3	1
85	зависимости от того	1	1
86	отношению к нему	1	1
87	и не могут	2	1
88	как один из	1	1
89	как будто бы	2	1
90	в известном смысле	3	1
91	отсюда следует что	1	1
92	так чтобы в	1	1
93	не могут быть	2	1
94	уже само по	1	1
95	не только как	3	1
96	в большей или	1	1
97	или меньшей степени	1	1
98	не в том	2	1
99	е все то	1	1
100	тем или иным	1	1
101	он есть и	1	1
102	только в форме	1	1
103	и именно в	3	1
104	по себе не	1	1
105	этой точки зрения	1	1
106	материала на котором	1	1
107	о том что	12	1
108	того или иного	1	1
109	а в том	1	1
110	не может служить	2	1
111	т е все	1	1
112	по сравнению с	3	1
113	имеем в виду	1	1
114	заключается в том	3	1
115	и не потому	1	1
116	на одно из	1	1
117	слова но и	1	1
118	и никогда не	1	1
119	с самого начала	1	1
120	в одном месте	1	1
121	нужно сказать что	1	1
122	у него в	1	1
123	можно сказать что	3	1
124	в настоящее время	1	1
125	все зависит от	1	1
126	мы имеем в	1	1
127	есть т е	1	1
128	и уже совсем	1	1
129	уже не только	1	1
130	ответ на вопрос	2	1
131	к тому что	1	1
132	было бы сказать	1	1
133	это однако не	2	1
134	сама по себе	3	1
135	это не только	2	1
136	тем что в	1	1
137	для того чтобы	21	1
138	и т д	37	1
139	как мы видели	2	1
