N	2gram	Vygotskiy__2	Retstnzi
1	не может	17	4
2	и в	32	3
3	один из	3	2
4	если в	2	2
5	деятельности в	1	1
6	в особенности	2	1
7	смысл и	2	1
8	лучше всего	1	1
9	и не	10	1
10	зрения их	1	1
11	тому что	4	1
12	вещей и	2	1
13	не только	12	1
14	художественного произведения	5	1
15	связи с	1	1
16	этой проблемы	1	1
17	позицию занимает	1	1
18	бы на	1	1
19	точки зрения	17	1
20	на примере	2	1
21	но и	10	1
22	и должно	1	1
23	и заставляет	1	1
24	не менее	8	1
25	с другими	2	1
26	ничего кроме	2	1
27	именно с	1	1
28	в ней	5	1
29	может и	1	1
30	впадает в	2	1
31	с теми	1	1
32	в то	5	1
33	с точки	10	1
34	и на	5	1
35	для него	1	1
36	мы видим	4	1
37	и больше	1	1
38	в анализе	1	1
39	литературного произведения	1	1
40	в языке	4	1
41	искусство как	4	1
42	на нее	1	1
43	методы и	1	1
44	формальных приемов	1	1
45	к тому	7	1
46	а не	7	1
47	его от	2	1
48	может быть	18	1
49	при анализе	2	1
50	несмотря на	4	1
51	в его	2	1
52	он в	3	1
53	же время	2	1
54	то же	13	1
55	и все	4	1
56	из этих	1	1
57	нуждаются в	1	1
58	если бы	6	1
59	в каждом	2	1
60	исходя из	1	1
61	бы в	1	1
