N	2gram	Voloshinov_1	Psycholo
1	и в	16	38
2	то что	3	35
3	все время	1	30
4	в том	3	25
5	в самом	2	25
6	самом деле	6	21
7	что в	3	20
8	может быть	17	19
9	и что	1	18
10	что она	1	16
11	точки зрения	8	16
12	в ней	1	15
13	том что	3	14
14	если бы	1	14
15	как бы	5	14
16	в этом	9	13
17	в этой	4	13
18	и мы	2	13
19	не только	7	12
20	таким образом	9	12
21	было бы	2	12
22	мы видим	2	12
23	мы увидим	1	12
24	что он	2	11
25	то же	2	10
26	в сущности	1	10
27	что это	2	10
28	и не	4	10
29	же самое	1	10
30	и все	4	10
31	увидим что	1	9
32	с точки	6	9
33	того чтобы	1	9
34	и то	1	8
35	с этим	2	8
36	все же	1	8
37	и как	3	8
38	с тем	1	8
39	как и	2	8
40	в одном	3	8
41	и это	6	8
42	вовсе не	1	8
43	как раз	1	8
44	для того	1	8
45	для нас	2	8
46	мы уже	2	7
47	с другой	1	7
48	мы можем	9	7
49	не может	8	7
50	все то	2	7
51	как мы	4	7
52	а не	1	7
53	а в	3	7
54	и на	4	6
55	к чему	1	6
56	как это	3	6
57	он не	2	6
58	она не	1	6
59	не имеет	1	6
60	самого начала	4	6
61	и его	8	6
62	к тому	1	6
63	с самого	4	6
64	и здесь	1	6
65	о том	2	6
66	один из	2	6
67	с одной	1	6
68	если мы	2	6
69	так как	4	6
70	до сих	3	6
71	мы не	2	5
72	я не	1	5
73	на этом	3	5
74	в другом	1	5
75	несмотря на	1	5
76	в своей	2	5
77	в его	4	5
78	но и	4	5
79	одной стороны	1	5
80	вместе с	3	5
81	сих пор	3	5
82	совершенно не	8	5
83	что эти	1	4
84	что если	1	4
85	во всех	3	4
86	что они	1	4
87	когда он	1	4
88	все эти	5	4
89	в нем	4	4
90	при этом	6	4
91	смысл и	1	4
92	но если	1	4
93	одна из	1	4
94	из него	1	4
95	никогда не	2	4
96	в виду	1	4
97	что и	2	4
98	только в	4	4
99	конечно не	6	4
100	не можем	2	4
101	у него	2	4
102	плана в	1	4
103	и даже	4	4
104	по своему	2	4
105	в течение	1	4
106	и для	2	4
107	в свою	1	4
108	сказать что	7	4
109	ее в	2	4
110	в своих	1	4
111	того же	2	3
112	едва ли	3	3
113	и этот	2	3
114	по его	1	3
115	полагает что	1	3
116	и значение	3	3
117	совсем не	2	3
118	что по	1	3
119	и к	6	3
120	но в	4	3
121	та же	1	3
122	из этих	2	3
123	конечно в	1	3
124	его в	4	3
125	ни в	5	3
126	в них	2	3
127	действительно не	1	3
128	в один	4	3
129	мы говорили	1	3
130	с теми	1	3
131	в основе	3	3
132	на это	1	3
133	и о	2	3
134	каждого из	1	3
135	к тем	1	3
136	он был	1	3
137	из одного	1	3
138	эти два	1	3
139	и только	9	3
140	тот же	1	3
141	ее не	1	3
142	к ним	2	3
143	что не	2	3
144	то и	1	3
145	это только	1	3
146	только для	5	3
147	но это	2	3
148	все это	4	3
149	она может	1	3
150	главным образом	1	3
151	в угол	1	3
152	к этому	2	3
153	как на	1	3
154	отношения к	3	2
155	на самом	4	2
156	он может	1	2
157	не имеют	1	2
158	той же	1	2
159	нам в	1	2
160	оно есть	1	2
161	и столь	1	2
162	между собой	2	2
163	столь же	1	2
164	что его	1	2
165	одним словом	1	2
166	но как	2	2
167	с самой	1	2
168	в общем	3	2
169	отнюдь не	4	2
170	помним что	1	2
171	в полном	1	2
172	и наконец	4	2
173	один план	1	2
174	по самому	1	2
175	и вот	3	2
176	наших глазах	1	2
177	и по	2	2
178	на всю	1	2
179	и может	4	2
180	по смыслу	1	2
181	он действительно	1	2
182	в эту	1	2
183	от своего	1	2
184	и ее	4	2
185	его мнению	1	2
186	своего имени	1	2
187	образом и	1	2
188	друг другу	1	2
189	их в	3	2
190	в этих	3	2
191	можем сказать	2	2
192	вытекает из	1	2
193	и всегда	1	2
194	ничего не	1	2
195	в известных	1	2
196	у нас	1	2
197	не могут	2	2
198	что оно	2	2
199	на наших	1	2
200	из всего	1	2
201	с ее	4	2
202	данном случае	1	2
203	только то	2	2
204	по аналогии	2	2
205	для этого	2	2
206	со стороны	1	2
207	с ним	2	2
208	внимание на	1	2
209	и та	1	2
210	но мы	4	2
211	аналогии с	2	2
212	в которую	1	2
213	мы на	1	2
214	что здесь	1	2
215	что только	1	2
216	и часто	1	2
217	и действительно	2	2
218	по мнению	1	2
219	это же	1	2
220	со всеми	2	2
221	в качестве	1	2
222	для всех	4	2
223	есть в	2	2
224	уже не	1	2
225	следует что	1	2
226	для него	6	2
227	всяком случае	3	2
228	в конце	1	2
229	заметить что	1	2
230	без всякой	1	2
231	здесь в	1	2
232	а с	1	2
233	говорит о	1	2
234	к себе	3	2
235	хотя бы	4	2
236	в данном	1	2
237	что же	1	2
238	чувства и	2	2
239	том смысле	1	2
240	быть не	1	2
241	с этой	2	2
242	своей жизни	2	2
243	так ли	1	2
244	при таком	1	2
245	и другими	1	2
246	не более	1	2
247	не должна	1	2
248	только что	1	2
249	же в	1	2
250	так же	2	2
251	его к	1	2
252	в море	1	2
253	они не	2	2
254	можно назвать	2	2
255	во всяком	3	2
256	как известно	1	1
257	отношении и	1	1
258	же как	2	1
259	в движение	1	1
260	и потому	3	1
261	дело обстоит	1	1
262	словами и	1	1
263	это и	1	1
264	и есть	3	1
265	нам кажется	2	1
266	этой теории	2	1
267	на две	3	1
268	высшей степени	1	1
269	собою в	1	1
270	что мы	2	1
271	посвящена настоящая	1	1
272	к нашей	1	1
273	мы имеем	1	1
274	требуют все	1	1
275	и момент	1	1
276	так чтобы	1	1
277	но исключительно	1	1
278	всего сказанного	1	1
279	план в	1	1
280	в сновидении	1	1
281	что можно	2	1
282	а другие	1	1
283	еще не	5	1
284	в чем	5	1
285	с его	7	1
286	чем это	1	1
287	но не	1	1
288	на основе	2	1
289	отношение к	5	1
290	мы сейчас	1	1
291	нет и	2	1
292	в свои	1	1
293	это самое	1	1
294	она как	1	1
295	как нам	1	1
296	все остальные	2	1
297	всей этой	1	1
298	хотя и	1	1
299	и чувством	1	1
300	тон и	1	1
301	в себя	1	1
302	образом дать	1	1
303	под ним	1	1
304	ни один	1	1
305	этот новый	1	1
306	или во	1	1
307	то я	1	1
308	кажется уже	1	1
309	зависимости от	1	1
310	имеем в	1	1
311	на его	1	1
312	теории и	1	1
313	не следует	1	1
314	и еще	1	1
315	с нашим	1	1
316	никакому сомнению	1	1
317	в корне	1	1
318	подобно тому	1	1
319	ли от	1	1
320	как они	1	1
321	не будет	2	1
322	вывести из	1	1
323	только не	1	1
324	и с	8	1
325	на этой	3	1
326	и переносят	1	1
327	с другими	3	1
328	деле в	1	1
329	свою противоположность	1	1
330	в итоге	2	1
331	в жизни	2	1
332	кажется что	2	1
333	не ясно	1	1
334	для них	1	1
335	в высшей	1	1
336	этим и	1	1
337	уже у	1	1
338	что такое	5	1
339	со всяким	1	1
340	в следующем	1	1
341	это делает	2	1
342	с историей	2	1
343	почти не	2	1
344	не сумеет	1	1
345	и благодаря	1	1
346	уже здесь	1	1
347	и посвящена	1	1
348	что до	1	1
349	мысли и	4	1
350	но эта	1	1
351	борьбу с	1	1
352	есть еще	1	1
353	однако в	1	1
354	и почти	1	1
355	и вообще	2	1
356	всякому другому	1	1
357	и вся	2	1
358	этих трех	2	1
359	можно ли	1	1
360	а иногда	1	1
361	ясно из	1	1
362	и форму	1	1
363	и отсюда	1	1
364	дело в	1	1
365	и вместо	1	1
366	на два	2	1
367	и притом	3	1
368	к этим	1	1
369	сталкиваемся с	1	1
370	в самых	1	1
371	это мы	1	1
372	этих двух	1	1
373	в русском	1	1
374	имеет очень	1	1
375	мире и	1	1
376	бы по	1	1
377	им а	1	1
378	этом отношении	1	1
379	что на	2	1
380	у меня	1	1
381	и оно	3	1
382	он склонен	2	1
383	целого в	1	1
384	нам что	1	1
385	и такие	1	1
386	и всех	2	1
387	бы он	1	1
388	не есть	2	1
389	быть совершенно	1	1
390	что при	1	1
391	ничего общего	1	1
392	в применении	1	1
393	в некоторых	1	1
394	как один	1	1
395	только при	1	1
396	характер и	1	1
397	знаем что	2	1
398	говорили что	1	1
399	этих первых	1	1
400	роль в	1	1
401	мы подошли	1	1
402	можно было	1	1
403	так и	4	1
404	те же	3	1
405	ли это?	1	1
406	которая была	1	1
407	мог бы	1	1
408	именно этот	1	1
