N	3gram	Losev_Dial_4	Analitik
1	в том что	9	7
2	с другой стороны	1	5
3	о том что	1	5
4	мы имеем дело	1	4
5	по крайней мере	7	4
6	в свою очередь	2	4
7	в данном случае	1	3
8	то же время	6	3
9	не только не	1	3
10	той или иной	1	3
11	в то же	6	3
12	дело в том	1	2
13	однако в то	1	2
14	подобно тому как	4	2
15	с точки зрения	9	2
16	одной и той	3	2
17	в отличие от	1	2
18	не будет никогда	1	2
19	сама по себе	5	2
20	тем не менее	2	2
21	и прежде всего	1	2
22	можно сказать что	1	2
23	совершенно очевидно что	1	2
24	и той же	3	2
25	в сравнении с	2	2
26	и в сущности	1	1
27	в частности и	1	1
28	что иное как	8	1
29	его как будто	1	1
30	уже не может	1	1
31	из этих трех	1	1
32	не говоря уже	3	1
33	в этом смысле	4	1
34	в этом случае	1	1
35	но они же	1	1
36	говоря уже о	3	1
37	в романе достоевского	1	1
38	в зависимости от	1	1
39	хотя бы и	2	1
40	может и не	1	1
41	перед нами не	1	1
42	в основе своей	1	1
43	однако все эти	1	1
44	по себе а	1	1
45	именно в этом	1	1
46	ту или иную	2	1
47	что не есть	1	1
48	не есть ни	9	1
49	сам по себе	2	1
50	не только в	1	1
51	прежде всего с	1	1
52	это ведет к	1	1
53	и как бы	1	1
54	по природе своей	1	1
55	а не как	1	1
56	так или иначе	1	1
57	не в том	4	1
58	в связи с	1	1
59	что по крайней	1	1
60	лишь в том	1	1
61	собой один из	1	1
62	как бы в	1	1
63	для того чтобы	5	1
64	есть не что	5	1
65	не может быть	6	1
66	само по себе	4	1
67	в пределах одной	1	1
68	как бы ни	1	1
69	вопрос о том	1	1
70	в себя и	1	1
71	речь идет о	1	1
72	художественное произведение есть	1	1
73	ничего не говорит	4	1
74	и есть не	1	1
75	друг от друга	1	1
76	с тем кто	1	1
77	но дело в	1	1
78	не что иное	8	1
79	в особенности же	1	1
80	легко может быть	1	1
81	как бы и	1	1
82	в себе не	1	1
