N	4gram	Tiupa_Disk_1	Problema
1	только по отношению к	1	4
2	в то же время	3	3
3	и в то же	1	2
4	во всех его разновидностях	1	2
5	дело в том что	1	1
6	сами по себе не	1	1
7	мы имеем дело с	1	1
8	архитектоническая форма осуществляется определенными	1	1
9	с одной стороны и	2	1
10	композиционным формам например жанровым	1	1
11	и не может быть	1	1
12	и в том и	1	1
13	формам например жанровым соответствуют	1	1
14	той или иной области	1	1
15	именно в том что	1	1
16	должны быть отнесены к	1	1
17	важнейшим композиционным формам например	1	1
18	не говоря уже о	2	1
19	форма осуществляется определенными композиционными	1	1
20	в равной мере и	1	1
21	том и в другом	1	1
22	осуществляется определенными композиционными приемами	1	1
23	не в том что	1	1
24	в том и в	1	1
25	ни к чему не	1	1
