N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	56
2	то есть	1	24
3	в его	4	18
4	все эти	3	15
5	в этом	4	14
6	в том	3	13
7	так и	4	13
8	он был	1	12
9	то же	1	11
10	в них	3	11
11	в этих	3	11
12	как бы	5	11
13	и до	1	10
14	еще не	8	10
15	в самом	1	9
16	и не	20	9
17	только в	2	9
18	но и	5	9
19	во всех	3	8
20	не только	2	8
21	в нем	4	8
22	и с	1	8
23	все это	5	8
24	том что	2	8
25	и на	1	7
26	как мы	1	7
27	у него	1	7
28	в ее	1	6
29	в этой	1	6
30	но в	3	6
31	вовсе не	1	6
32	мы видим	1	6
33	прежде всего	2	6
34	и все	4	6
35	потому что	4	6
36	с его	3	5
37	но не	2	5
38	роль в	1	5
39	в процессе	1	5
40	никогда не	3	5
41	один из	2	5
42	не было	3	5
43	как и	4	5
44	в результате	1	5
45	что в	3	5
46	есть и	1	5
47	и другие	1	5
48	они не	1	5
49	и потому	7	4
50	в ней	4	4
51	не был	1	4
52	в которой	1	4
53	что это	1	4
54	их в	3	4
55	что все	4	4
56	и ее	1	4
57	одна из	2	4
58	того чтобы	2	4
59	во всем	1	4
60	в духе	2	4
61	и которые	1	4
62	конечно не	2	4
63	так как	9	4
64	в изображении	1	4
65	в своих	1	4
66	в их	1	3
67	не просто	1	3
68	в едином	1	3
69	в своем	1	3
70	его к	2	3
71	мировой истории	1	3
72	не в	3	3
73	в форме	2	3
74	в образе	4	3
75	между тем	2	3
76	уже не	2	3
77	что и	3	3
78	может быть	1	3
79	еще и	1	3
80	связь с	1	3
81	не были	1	3
82	здесь есть	1	3
83	бы в	1	3
84	то что	9	3
85	и то	2	2
86	их и	1	2
87	мы не	2	2
88	конечно в	1	2
89	бы то	1	2
90	с другой	1	2
91	себе и	1	2
92	что они	7	2
93	хотя и	5	2
94	и хотя	1	2
95	бы и	3	2
96	в виде	1	2
97	так часто	1	2
98	людей и	2	2
99	в мире	5	2
100	ни в	3	2
101	превращаются в	2	2
102	с тем	2	2
103	между собою	1	2
104	для него	2	2
105	в своей	3	2
106	еще недостаточно	1	2
107	в котором	4	2
108	в которых	1	2
109	мир и	2	2
110	не могли	2	2
111	на котором	1	2
112	того как	1	2
113	что на	1	2
114	и сам	2	2
115	когда в	2	2
116	с ним	2	2
117	и во	2	2
118	к нему	1	2
119	власти и	1	2
120	но с	1	2
121	что он	4	2
122	это очень	1	2
123	это не	2	2
124	уже в	1	2
125	в известном	1	2
126	в одном	1	2
127	к ним	1	2
128	для того	1	2
129	человека и	6	2
130	видим что	1	2
131	нового времени	1	2
132	говорит о	1	2
133	них и	1	2
134	был в	1	2
135	то ни	1	2
136	с братьями	1	2
137	вместе с	1	2
138	так же	1	2
139	он говорит	1	2
140	а не	7	2
141	времени с	1	2
142	с этой	1	2
143	но это	3	2
144	никогда еще	2	2
145	все же	1	2
146	и для	3	2
147	мира и	1	2
148	а в	2	2
149	это в	1	2
150	другой стороны	1	2
151	является и	1	2
152	и эта	1	2
153	к этому	1	2
154	речь идет	1	1
155	он всегда	1	1
156	и могут	1	1
157	превратились в	2	1
158	вопрос о	1	1
159	и новые	2	1
160	вместо того	2	1
161	то это	3	1
162	по этому	3	1
163	пока они	1	1
164	права не	1	1
165	людей это	1	1
166	оно ни	1	1
167	в чем	3	1
168	присутствует в	1	1
169	в новом	1	1
170	которые не	2	1
171	они тихо	1	1
172	это тот	1	1
173	суровый и	1	1
174	как в	1	1
175	что нет	1	1
176	был таким	1	1
177	да будет	1	1
178	и современная	1	1
179	сущности и	1	1
180	им в	1	1
181	слово это	1	1
182	это право	1	1
183	по словам	1	1
184	они только	1	1
185	они в	3	1
186	не к	2	1
187	и вот	1	1
188	можно было	2	1
189	мы слышим	2	1
190	лишь в	3	1
191	художественный образ	1	1
192	его личности	1	1
193	и смерти	1	1
194	любви в	1	1
195	были в	1	1
196	не всегда	1	1
197	его и	2	1
198	своему назначению	1	1
199	и частей	1	1
200	наших дней	1	1
201	что всякий	1	1
202	еще с	1	1
203	и сделали	1	1
204	есть еще	1	1
205	земного и	4	1
206	этот мир	1	1
207	тому что	3	1
208	и внешней	1	1
209	не имеет	3	1
210	полного и	2	1
211	не по	1	1
212	было не	1	1
213	и всегда	1	1
214	это слово	1	1
215	звучит в	1	1
216	их от	3	1
217	в образах	1	1
218	борются в	1	1
219	не могут	2	1
220	могут быть	2	1
221	к тому	3	1
222	что оно	1	1
223	его с	1	1
224	они и	2	1
225	формы есть	1	1
226	и это	2	1
227	из всего	1	1
228	в виду	1	1
229	в себя	2	1
230	но мы	2	1
231	на том	2	1
232	живет в	1	1
233	это только	1	1
234	по сравнению	1	1
235	мы в	1	1
236	является в	2	1
237	смысле и	1	1
238	по смыслу	1	1
239	но к	1	1
240	и что	3	1
241	после того	1	1
242	для нас	2	1
243	ее от	1	1
244	от них	1	1
245	есть уже	2	1
246	все в	1	1
247	вообще в	1	1
248	то уж	1	1
249	в лице	1	1
250	в которую	1	1
251	известном смысле	1	1
252	своей сущности	1	1
253	тот же	3	1
254	те которые	2	1
255	и так	1	1
256	бы ни	1	1
257	и тем	1	1
258	к миру	1	1
259	число но	1	1
260	и они	3	1
261	тем чтобы	1	1
262	или даже	1	1
263	за ним	3	1
264	в теоретическом	1	1
265	и глубина	1	1
266	земли и	2	1
267	папы и	1	1
268	в прошлом	2	1
269	тем что	2	1
270	и вместе	1	1
271	того что	5	1
272	выражения мы	1	1
273	не дали	1	1
274	это лишь	1	1
275	а с	2	1
276	на людей	1	1
277	правда так	1	1
278	превращается в	3	1
279	мир от	2	1
280	не верит	3	1
281	жизнь в	1	1
282	не быть	1	1
283	только несколько	1	1
284	для их	2	1
285	одинаково не	1	1
286	мира в	2	1
287	и вообще	1	1
288	им по	1	1
289	какая же	1	1
290	него в	1	1
291	есть такое	1	1
292	их к	1	1
293	и мир	1	1
294	если оно	1	1
295	сравнению с	1	1
296	природы человека	1	1
297	в тот	1	1
298	с тремя	1	1
299	этого слова	1	1
300	еще к	1	1
301	нет ничего	3	1
302	и тогда	2	1
303	всего в	2	1
304	это одна	1	1
305	было еще	2	1
306	великих и	4	1
307	и от	1	1
