N	2gram	Tiupa_Hudo_1	Problema
1	в его	8	43
2	и не	2	42
3	и в	14	38
4	не может	7	27
5	может быть	5	26
6	как бы	7	22
7	по отношению	8	21
8	в художественном	2	20
9	отнюдь не	3	19
10	отношению к	8	19
11	и с	4	17
12	к содержанию	1	17
13	и его	5	16
14	в этом	11	15
15	в нем	3	15
16	и т	11	14
17	эстетического анализа	1	13
18	только в	5	13
19	т п	8	13
20	прежде всего	11	13
21	но не	3	12
22	во всех	1	11
23	ни в	5	11
24	и для	3	11
25	отношение к	1	10
26	в их	2	10
27	не только	12	9
28	не имеет	2	9
29	его в	3	9
30	но и	5	9
31	и как	1	8
32	входит в	1	8
33	было бы	6	8
34	точки зрения	5	8
35	место в	1	8
36	для нее	2	8
37	в том	12	8
38	и др	1	8
39	то что	8	8
40	еще не	7	7
41	в самом	4	7
42	вообще не	1	7
43	в плане	1	7
44	как и	9	7
45	не в	7	7
46	как мы	3	7
47	с другой	1	7
48	между тем	8	7
49	слова в	2	7
50	эстетический анализ	3	7
51	в своей	10	7
52	что в	6	7
53	самом деле	5	6
54	на основе	2	6
55	этический момент	1	6
56	там где	1	6
57	в пределах	3	6
58	с точки	3	6
59	ничего не	8	6
60	все же	3	6
61	а в	7	6
62	высшей степени	1	5
63	отличие от	1	5
64	в своем	4	5
65	все эти	3	5
66	при этом	12	5
67	то же	9	5
68	это не	7	5
69	рядом с	1	5
70	в высшей	1	5
71	далеко не	1	5
72	в отличие	1	5
73	так и	13	5
74	в основе	1	5
75	и о	4	5
76	никогда не	6	5
77	не нужно	2	5
78	с ним	4	5
79	художника и	1	5
80	не на	1	5
81	а не	12	5
82	со словом	1	5
83	могут быть	1	5
84	быть только	1	5
85	должно быть	2	5
86	формы и	1	5
87	мы здесь	1	4
88	на самом	2	4
89	в виду	1	4
90	в ней	4	4
91	как вещь	1	4
92	конечном счете	2	4
93	относится к	1	4
94	как в	8	4
95	но в	5	4
96	к художественному	2	4
97	в себе	11	4
98	в данном	1	4
99	не менее	5	4
100	но они	1	4
101	тем самым	1	4
102	в то	8	4
103	известной степени	1	4
104	здесь не	2	4
105	в ее	3	4
106	данном случае	1	4
107	в произведении	1	4
108	можно было	5	4
109	о том	12	4
110	в конечном	2	4
111	с ними	2	4
112	композиционная форма	1	4
113	в форме	2	4
114	и только	1	4
115	что не	2	4
116	в романе	1	4
117	и потому	2	4
118	хотя бы	1	4
119	может и	3	4
120	сказать что	1	4
121	ли мы	1	3
122	также и	1	3
123	например в	2	3
124	едва ли	3	3
125	говорить о	3	3
126	на них	1	3
127	произведение не	1	3
128	нет и	1	3
129	связи и	1	3
130	и к	4	3
131	не будем	1	3
132	в целом	2	3
133	он не	4	3
134	то ни	1	3
135	отношения автора	1	3
136	в мире	3	3
137	а как	1	3
138	может стать	1	3
139	и тем	1	3
140	в слове	1	3
141	несмотря на	4	3
142	том что	16	3
143	есть его	1	3
144	тем не	4	3
145	на него	2	3
146	как его	3	3
147	же время	8	3
148	определенности и	1	3
149	или как	1	3
150	и это	4	3
151	хотя и	2	3
152	и от	4	3
153	начало и	1	3
154	приводит к	3	3
155	в дальнейшем	1	3
156	ясно что	2	3
157	если бы	3	3
158	но здесь	1	3
159	архитектонических форм	1	3
160	творчества в	1	3
161	и содержания	1	3
162	иных случаях	1	3
163	этом смысле	1	3
164	но с	2	3
165	одной из	2	3
166	с одной	1	3
167	и даже	3	3
168	себя и	2	3
169	одной стороны	1	3
170	на фоне	2	3
171	в иных	1	3
172	и на	3	3
173	да и	2	3
174	путем сопереживания	1	3
175	но это	1	3
176	все это	2	3
177	от него	3	3
178	и все	4	3
