N	2gram	Tiupa_Teor_1	Psycholo
1	и в	18	38
2	то что	3	35
3	в том	16	25
4	в самом	4	25
5	что в	9	20
6	может быть	17	19
7	и что	3	18
8	на то	1	16
9	что она	2	16
10	точки зрения	9	16
11	то есть	12	15
12	том что	9	14
13	если бы	3	14
14	как бы	5	14
15	потому что	3	14
16	в этом	8	13
17	в этой	3	13
18	не только	16	12
19	таким образом	3	12
20	было бы	1	12
21	не в	7	12
22	мы видим	1	12
23	что он	1	11
24	то же	7	10
25	в сущности	1	10
26	что это	1	10
27	и не	13	10
28	же самое	1	10
29	с точки	3	9
30	того чтобы	1	9
31	в двух	1	9
32	и то	2	8
33	и как	2	8
34	говорит что	2	8
35	с тем	1	8
36	как и	4	8
37	в одном	2	8
38	и это	2	8
39	так что	1	8
40	вовсе не	3	8
41	как раз	2	8
42	для того	1	8
43	перед нами	2	8
44	из этого	1	8
45	с другой	7	7
46	заключается в	2	7
47	не может	4	7
48	все то	1	7
49	как мы	1	7
50	в ее	5	7
51	никак не	1	7
52	между тем	5	7
53	может служить	2	7
54	а не	9	7
55	а в	13	7
56	и на	1	6
57	к чему	2	6
58	как это	8	6
59	он не	3	6
60	тому что	2	6
61	она не	1	6
62	и его	8	6
63	к тому	2	6
64	указывает на	1	6
65	и здесь	2	6
66	о том	1	6
67	один из	2	6
68	с одной	2	6
69	если мы	2	6
70	из них	1	6
71	так как	1	6
72	я не	2	5
73	в своем	4	5
74	могли бы	2	5
75	в которой	2	5
76	на этом	1	5
77	в другом	3	5
78	иначе говоря	4	5
79	в своей	6	5
80	казалось бы	2	5
81	в поэтической	1	5
82	в его	6	5
83	в какой	2	5
84	но и	9	5
85	действующих лиц	1	5
86	одной стороны	2	5
87	вместе с	2	5
88	в той	2	5
89	или в	3	5
90	о котором	1	5
91	другой стороны	5	5
92	совершенно не	1	5
93	на деле	2	4
94	во всех	1	4
95	что они	1	4
96	идет о	1	4
97	как в	5	4
98	в целом	3	4
99	все эти	2	4
100	раз в	1	4
101	в себе	9	4
102	если он	1	4
103	в нем	4	4
104	при этом	12	4
105	здесь мы	1	4
106	не могли	1	4
107	никогда не	4	4
108	в самой	2	4
109	как будто	2	4
110	те два	1	4
111	в виду	5	4
112	что и	2	4
113	с той	1	4
114	только в	6	4
115	у него	1	4
116	и даже	2	4
117	по своему	2	4
118	того что	4	4
119	и для	2	4
120	в свою	3	4
121	сказать что	3	4
122	ее в	2	4
123	в своих	1	4
124	должен быть	1	3
125	того же	3	3
126	совсем не	1	3
127	и к	3	3
128	но в	9	3
129	из этих	3	3
130	состоит в	17	3
131	одно и	1	3
132	могла бы	2	3
133	что все	1	3
134	бы в	1	3
135	его в	2	3
136	и тем	3	3
137	ни в	2	3
138	в них	2	3
139	далеко не	2	3
140	в такой	1	3
141	наше внимание	1	3
142	место в	5	3
143	всякий раз	2	3
144	в то	6	3
145	смысл этой	1	3
146	в основе	3	3
147	и конечно	1	3
148	на это	1	3
149	и о	4	3
150	каждого из	1	3
151	автор должен	1	3
152	под маской	1	3
153	эти два	1	3
154	и только	1	3
155	здесь не	1	3
156	тот же	1	3
157	ее не	1	3
158	к ним	1	3
159	тем что	1	3
160	что не	1	3
161	в стихах	1	3
162	все это	2	3
163	больше и	1	3
164	одновременно и	1	3
165	отношения к	2	2
166	например в	1	2
167	бы для	1	2
168	по преимуществу	4	2
169	и больше	2	2
170	той же	1	2
171	совпадает с	3	2
172	героев в	1	2
173	между собой	3	2
174	на их	1	2
175	столь же	2	2
176	что его	1	2
177	это имеет	1	2
178	одним словом	1	2
179	истинный смысл	1	2
180	но как	1	2
181	отнюдь не	3	2
182	и я	1	2
183	в одной	1	2
184	как к	2	2
185	целый ряд	1	2
186	со своей	3	2
187	представляет собой	9	2
188	он в	1	2
189	что автор	1	2
190	не могла	1	2
191	в силу	1	2
192	и вот	3	2
193	и по	2	2
194	тем в	1	2
195	не совпадает	1	2
196	и дает	1	2
197	автора и	1	2
198	перед собой	1	2
199	места в	1	2
200	от своего	2	2
201	и ее	3	2
202	превратилась в	1	2
203	говорил о	1	2
204	образом и	1	2
205	но он	3	2
206	друг другу	1	2
207	и более	1	2
208	их в	3	2
209	в этих	3	2
210	впечатление от	1	2
211	она могла	1	2
212	в русской	6	2
213	дело не	2	2
214	вытекает из	1	2
215	нельзя не	1	2
216	у нас	2	2
217	очень часто	1	2
218	не могут	2	2
219	из всего	1	2
220	с ее	3	2
221	свою очередь	2	2
222	данном случае	5	2
223	для читателя	2	2
224	только то	1	2
225	действия и	1	2
226	то время	1	2
227	в глаза	2	2
228	одного из	1	2
229	вошел в	1	2
230	мы в	2	2
231	для этого	1	2
232	со стороны	2	2
233	и который	2	2
234	в которую	1	2
235	а у	1	2
236	все прочие	3	2
237	и одновременно	4	2
238	что даже	1	2
239	должен был	1	2
240	все они	1	2
