N	3gram	Medvedev_U_1	Vvedenie
1	в том что	2	12
2	в этом смысле	2	8
3	не может быть	4	8
4	в то же	3	6
5	в самом деле	2	6
6	то же время	3	6
7	до сих пор	2	6
8	с другой стороны	3	5
9	в широком смысле	1	5
10	так или иначе	1	4
11	с одной стороны	1	4
12	в этом случае	1	4
13	само по себе	1	4
14	не только в	1	4
15	в этом отношении	2	4
16	в данном случае	1	4
17	по крайней мере	2	4
18	большей или меньшей	1	3
19	но в то	1	3
20	можно сказать что	1	3
21	с тем что	1	3
22	может быть в	1	2
23	в течение многих	1	2
24	по меньшей мере	1	2
25	в конце концов	2	2
26	хотя бы и	2	2
27	это не только	1	2
28	в значительной мере	1	2
29	не могут быть	2	2
30	не в том	1	2
31	то же самое	2	2
32	что этот процесс	1	1
33	сам по себе	1	1
34	и истории литературы	1	1
35	и то что	2	1
36	бы то ни	3	1
37	что мы можем	1	1
38	и в конце	1	1
39	в своей работе	1	1
40	то о чем	1	1
41	а между тем	2	1
42	может быть оправдано	1	1
43	имеем в виду	1	1
44	вот почему в	1	1
45	как на элемент	1	1
46	и прежде всего	1	1
47	смысле этого термина	2	1
48	на одно из	1	1
49	или меньшей степени	1	1
50	более или менее	1	1
51	мы имеем в	1	1
52	только в этом	1	1
53	а для второго	1	1
54	и т.д в	1	1
55	не было бы	1	1
56	язык в его	1	1
57	одним из самых	1	1
58	же самое что	1	1
59	мы можем его	1	1
60	это то же	1	1
61	но что такое	1	1
62	самом деле есть	1	1
63	но для первого	1	1
64	а не только	1	1
65	что по его	1	1
66	чем то что	1	1
67	в большей или	1	1
68	то ни было	3	1
69	что в своей	1	1
