N	2gram	Propp_Russ_2	VeschiIm
1	т е	24	42
2	не может	5	33
3	не только	10	31
4	может быть	13	29
5	и не	1	28
6	и в	29	26
7	то что	5	24
8	и есть	1	23
9	и т	5	21
10	т д	5	20
11	а не	4	20
12	не просто	1	18
13	и следовательно	1	15
14	что она	3	14
15	только в	1	14
16	и что	5	13
17	того что	3	13
18	и то	2	12
19	все же	2	12
20	что это	3	12
21	было бы	3	12
22	и ее	2	12
23	но и	8	12
24	сказать что	1	12
25	а и	2	11
26	таким образом	6	11
27	с нею	1	11
28	то же	4	10
29	в ней	1	10
30	как бы	18	10
31	потому что	5	10
32	уже не	4	10
33	в самом	1	9
34	и с	10	9
35	в том	22	9
36	прежде всего	2	9
37	что иное	2	8
38	иное как	2	8
39	на то	1	8
40	и это	1	8
41	ничего не	1	8
42	но это	1	8
43	не что	2	8
44	говорить о	1	7
45	если она	2	7
46	в этом	11	7
47	не будет	1	7
48	его в	8	7
49	с другими	3	7
50	том что	22	7
51	в то	2	7
52	в свете	3	7
53	так как	13	7
54	как раз	1	7
55	и пр	2	7
56	смысла и	1	7
57	е в	10	7
58	совершенно не	2	7
59	есть и	1	7
60	что они	1	6
61	и как	2	6
62	но в	5	6
63	есть ли	1	6
64	но если	3	6
65	с ним	1	6
66	ее не	1	6
67	она не	3	6
68	можно было	2	6
69	должно быть	2	6
70	так что	4	6
71	ни с	1	6
72	для него	1	6
73	относится к	1	6
74	когда мы	2	6
75	быть только	2	6
76	что в	22	6
77	это и	2	5
78	и до	1	5
79	на себя	2	5
80	но не	5	5
81	отнюдь не	1	5
82	вообще не	1	5
83	это не	5	5
84	с тем	6	5
85	не в	4	5
86	тем не	2	5
87	не менее	2	5
88	одна из	11	5
89	у нас	4	5
90	свою очередь	1	5
91	в ее	3	5
92	если бы	1	5
93	для этого	5	5
94	еще не	6	5
95	или не	1	5
96	что для	3	5
97	с этой	2	5
98	и для	2	5
99	из себя	1	5
100	а в	9	5
101	в свою	1	5
102	в и	3	4
103	мы не	6	4
104	так чтобы	2	4
105	то это	1	4
106	в их	2	4
107	вещь в	1	4
108	во всех	3	4
109	нет и	1	4
110	независимо от	1	4
111	с этим	2	4
112	в своем	1	4
113	как и	11	4
114	и более	1	4
115	что есть	1	4
116	должен быть	2	4
117	и о	3	4
118	о том	9	4
119	с другой	2	4
120	что и	2	4
121	быть и	1	4
122	этот вопрос	2	4
123	то и	4	4
124	е не	1	4
125	из них	4	4
126	тем что	3	4
127	и даже	1	4
128	даже не	1	4
129	и потому	1	4
130	в данном	6	4
131	быть не	1	4
132	как только	1	4
133	говорить что	2	4
134	с полной	1	4
135	и все	4	4
136	оно не	1	4
137	и всем	2	3
138	с в	8	3
139	или ее	3	3
140	мы имеем	6	3
141	и сущность	1	3
142	вопрос о	4	3
143	из того	1	3
144	явлений и	1	3
145	более или	1	3
146	вопроса о	1	3
147	ее как	1	3
148	как оно	2	3
149	в нем	1	3
150	подобно тому	3	3
151	на этом	3	3
152	могла бы	1	3
153	несмотря на	1	3
154	и тогда	1	3
155	или менее	1	3
156	можно только	1	3
157	в своей	2	3
158	все это	10	3
159	их в	4	3
160	чтобы она	1	3
161	как можно	2	3
162	как о	1	3
163	тогда когда	4	3
164	и притом	1	3
165	ее с	1	3
166	в основе	1	3
167	того чтобы	6	3
168	к ней	2	3
169	к себе	1	3
170	без всякого	1	3
171	так и	1	3
172	нужно было	1	3
173	и вообще	1	3
174	можно сказать	1	3
175	если это	1	3
176	один из	2	3
177	тот же	1	3
178	что он	1	3
179	только на	1	3
180	а это	1	3
181	в одном	1	3
182	отношение к	1	3
183	никогда не	2	3
184	а с	2	3
185	вместе с	6	3
186	что именно	1	3
187	тому как	3	3
188	она может	1	3
189	тем более	1	3
190	можно говорить	1	2
191	от этого	1	2
192	или вещь	1	2
193	как это	4	2
194	переход от	2	2
195	ту же	1	2
196	мы уже	1	2
197	как мы	3	2
198	человека и	1	2
199	но она	2	2
200	не все	4	2
201	тогда как	2	2
202	и таким	1	2
203	как в	7	2
204	что ее	3	2
205	когда он	1	2
206	что на	2	2
207	выражение в	1	2
208	приводит к	1	2
209	остановиться на	1	2
210	только один	1	2
211	если он	2	2
212	же но	1	2
213	и если	1	2
214	о которой	1	2
215	для того	6	2
216	или другое	1	2
217	но все	1	2
218	в одну	1	2
219	а затем	4	2
220	об этом	2	2
221	и чтобы	1	2
222	на все	1	2
223	на этой	1	2
224	от одного	1	2
225	только одно	1	2
226	бы к	1	2
227	другой вопрос	1	2
228	жизнь и	2	2
229	но они	1	2
230	а а	8	2
231	с которой	1	2
232	дело в	1	2
233	в науке	1	2
234	на него	1	2
235	и его	1	2
236	как некое	1	2
237	данном случае	7	2
238	в в	1	2
239	это для	1	2
240	и когда	1	2
241	с собой	1	2
242	не с	2	2
243	мог бы	1	2
244	живого существа	1	2
245	том как	1	2
246	находится в	1	2
247	в виду	2	2
248	может не	1	2
249	и во	1	2
250	в качестве	3	2
251	можно выразить	1	2
252	же они	1	2
253	на столе	1	2
254	моментов в	2	2
255	в особенности	1	2
256	превращается в	1	2
257	а так	1	2
258	о чем	4	2
259	когда же	1	2
260	говорится о	1	2
261	а потом	1	2
262	это выражение	1	2
263	кроме того	2	2
264	при всем	1	2
265	ли в	1	2
266	ее но	1	2
267	с другою	1	2
268	есть уже	1	2
269	не я	1	2
270	очень редко	1	2
271	к ее	1	2
272	жизни в	2	2
273	но можно	2	2
274	это так	1	2
275	в своих	2	2
276	так же	4	2
277	во всяком	1	2
278	равным образом	1	1
279	ли мы	1	1
280	также что	2	1
281	же как	4	1
282	из самых	1	1
283	что эти	1	1
284	с таким	1	1
285	когда уже	1	1
286	превратились в	1	1
287	что если	1	1
288	в которой	2	1
289	из своих	1	1
290	к новой	1	1
291	происходило в	1	1
292	нас это	1	1
293	время как	1	1
294	в полной	1	1
295	как комплекс	1	1
296	полное и	1	1
297	уже в	1	1
298	кто же	1	1
299	и иначе	1	1
300	в xix	3	1
301	проявляет себя	1	1
302	и на	6	1
303	между собой	2	1
304	слова эти	1	1
305	ее к	2	1
306	признает что	1	1
307	только тогда	3	1
308	если в	1	1
309	ответ на	1	1
310	отличие от	3	1
311	и чем	1	1
312	эта связь	2	1
313	стороны и	1	1
314	них или	1	1
315	перед нами	1	1
316	и где	1	1
317	хотя и	1	1
318	есть жизнь	1	1
319	что этим	1	1
320	даже просто	1	1
321	ясно и	1	1
322	еще на	1	1
323	все эти	3	1
324	представления не	3	1
325	в этой	3	1
326	однако как	1	1
327	тому же	1	1
328	как он	1	1
329	но на	1	1
330	не могла	1	1
331	главным образом	3	1
332	при этом	6	1
333	чтобы они	2	1
334	и еще	2	1
335	и совершенно	1	1
336	он должен	1	1
337	не к	2	1
338	том чтобы	2	1
339	необходимо для	1	1
340	мало того	1	1
341	поле и	4	1
342	е на	1	1
343	и по	3	1
344	и должен	1	1
345	однако в	1	1
346	именно это	1	1
347	это конечно	1	1
348	что никакого	1	1
349	того или	1	1
350	на какую-то	1	1
351	должен был	3	1
352	выходя из	1	1
353	в это	1	1
354	в них	4	1
