N	3gram	Voloshinov_1	Hudozhes
1	то же время	3	8
2	по отношению к	2	8
3	в то же	3	8
4	в том что	3	6
5	в самом деле	9	4
6	можно было бы	2	4
7	к тому что	1	4
8	с точки зрения	20	3
9	в этом отношении	3	3
10	но в то	2	3
11	в связи с	7	3
12	в следующей главе	1	3
13	друг для друга	1	3
14	и в самом	1	3
15	тем не менее	2	3
16	в предыдущей главе	1	3
17	мы уже знаем	1	2
18	что же касается	1	2
19	до сих пор	8	2
20	к жизни и	1	2
21	ту или иную	1	2
22	не только в	1	2
23	в значительной степени	1	2
24	так или иначе	1	2
25	так и от	1	2
26	связи с этим	3	2
27	вместо того чтобы	1	2
28	не может быть	13	2
29	а между тем	1	1
30	литературе в связи	1	1
31	прежде всего в	1	1
32	на самом деле	1	1
33	но при этом	2	1
34	в этом смысле	2	1
35	том что он	1	1
36	то же самое	3	1
37	же как и	2	1
38	может быть только	1	1
39	в одной из	1	1
40	опоры в действительности	1	1
41	в таком случае	2	1
42	с самого начала	4	1
43	до известной степени	1	1
44	сами по себе	1	1
45	более или менее	1	1
46	и та же	1	1
47	на самом же	2	1
48	в себе и	1	1
49	в отличие от	5	1
50	в интересующем нас	1	1
51	как и все	2	1
52	в этой главе	1	1
53	как она есть	1	1
54	с этой точки	1	1
55	является не чем	1	1
56	почти ничего не	1	1
57	которым можно было	1	1
58	в узком смысле	2	1
59	в науке о	3	1
60	не чем иным	1	1
61	в первом случае	3	1
62	в высшей степени	3	1
63	в конце концов	3	1
64	тот и другой	1	1
65	так и в	1	1
66	во всяком случае	2	1
67	он не знает	1	1
68	одна и та	1	1
69	и тот и	1	1
70	самом же деле	2	1
71	принципиальное различие между	1	1
72	а в том	1	1
73	между этими двумя	2	1
74	чем иным как	1	1
75	в свою очередь	2	1
76	ничего общего с	2	1
77	этой точки зрения	1	1
78	с тем что	1	1
79	не только не	1	1
80	во времени и	1	1
81	но все же	3	1
82	друг от друга	1	1
83	и быть не	1	1
84	все же не	1	1
85	с одной стороны	1	1
86	все это делает	1	1
87	друг с другом	1	1
88	во многих отношениях	1	1
89	в литературе в	1	1
