N	3gram	Voloshinov_1	NovoeSre
1	в высшей степени	3	6
2	не может быть	13	4
3	подобно тому как	1	3
4	в наше время	1	3
5	со всех сторон	2	3
6	равно как и	1	2
7	xix века и	1	2
8	в этом смысле	2	2
9	в нем нет	2	2
10	так же как	2	2
11	с одной стороны	1	2
12	и должно быть	1	2
13	это не значит	1	2
14	с другой стороны	5	2
15	все эти формы	1	2
16	значит что в	1	2
17	вопрос о том	2	2
18	в недрах этой	1	1
19	и того же	5	1
20	в ней нет	1	1
21	а не в	1	1
22	одного и того	5	1
23	есть прежде всего	1	1
24	в том числе	2	1
25	же как и	2	1
26	до сих пор	8	1
27	и не может	9	1
28	сами по себе	1	1
29	в отличие от	5	1
30	но и в	1	1
31	не менее чем	1	1
32	том числе и	2	1
33	от того чтобы	1	1
34	нет уже никакой	1	1
35	можно было бы	2	1
36	ней нет ничего	1	1
37	может быть только	1	1
38	к жизни и	1	1
39	вообще не существует	1	1
40	не только в	1	1
41	и в большинстве	1	1
42	не могут быть	2	1
43	и к новому	1	1
44	по природе своей	1	1
45	во всяком случае	2	1
46	и пр в	3	1
47	в значительной степени	1	1
48	в политической жизни	1	1
49	это и есть	2	1
50	в социальной жизни	1	1
51	не имеет никакой	1	1
52	это значит что	1	1
53	выходит за пределы	1	1
54	в новое время	1	1
55	совершенно так же	1	1
56	в большинстве случаев	3	1
57	и не менее	1	1
58	и быть не	1	1
59	в том что	3	1
60	прежде всего как	1	1
