N	3gram	Bakhtin_Pr_2	Vladivir
1	в том что	4	10
2	тем не менее	1	9
3	о том что	3	8
4	с точки зрения	9	6
5	не может быть	6	6
6	более или менее	1	5
7	как раз и	1	5
8	что же касается	1	5
9	в конце концов	3	5
10	и в этом	6	5
11	дело в том	1	5
12	к тому же	1	5
13	у него в	1	4
14	в то время	1	4
15	в этом смысле	5	3
16	хотя бы и	2	3
17	на первом плане	1	3
18	и в его	3	3
19	в то же	3	3
20	в отличие от	1	3
21	мы бы сказали	1	3
22	само по себе	2	3
23	как мы видели	3	3
24	в таком случае	1	2
25	в этом отношении	2	2
26	независимо от того	1	2
27	совершенно так же	2	2
28	даже и не	1	2
29	так же как	3	2
30	в данном случае	1	2
31	имеет ничего общего	1	2
32	то время как	1	2
33	а не только	2	2
34	с другой стороны	1	2
35	и в том	2	2
36	не имеет ничего	1	2
37	ни в каком	1	2
38	то же время	3	2
39	далеко за пределы	1	2
40	ничего общего с	1	2
41	на то что	2	2
42	я это и	1	1
43	того что и	1	1
44	сказать что в	1	1
45	и в своей	1	1
46	как и для	1	1
47	а потому и	1	1
48	к учению о	1	1
49	и так сказать	1	1
50	в сущности ничего	1	1
51	в том и	1	1
52	в этом случае	1	1
53	же как и	2	1
54	он в сущности	1	1
55	мы считаем необходимым	1	1
56	но с таким	1	1
57	до сих пор	2	1
58	он тоже не	1	1
59	сама по себе	5	1
60	во всей истории	1	1
61	у него не	1	1
62	не может иметь	1	1
63	и в дальнейшем	1	1
64	можно было бы	1	1
65	уже не только	1	1
66	это вовсе не	2	1
67	для него только	1	1
68	и на первом	1	1
69	раз навсегда и	1	1
70	письме к страхову	1	1
71	может быть никаких	1	1
72	у него нет	2	1
73	себе представление о	1	1
74	и в своих	1	1
75	в последний период	1	1
76	далеко не всегда	1	1
77	то что есть	1	1
78	не только в	1	1
79	именно в этой	1	1
80	точки зрения но	1	1
81	а есть только	2	1
82	точки зрения это	1	1
83	тут мы и	1	1
84	и потому не	1	1
85	всю свою жизнь	1	1
86	то что он	1	1
87	в новое время	1	1
88	в каком смысле	1	1
89	потому что они	2	1
90	не менее и	1	1
91	этой точки зрения	2	1
92	и от других	1	1
93	и не хочет	1	1
94	с самого начала	1	1
95	между ними нет	1	1
96	еще не раз	1	1
97	в самом деле	3	1
98	той или иной	3	1
99	резко отличается от	1	1
100	то они тоже	1	1
101	как раз на	1	1
102	бы он ни	1	1
103	в том числе	2	1
104	в том смысле	1	1
105	мы видим что	1	1
106	в письме к	1	1
107	он не только	2	1
108	для того чтобы	1	1
109	идеи то есть	2	1
110	не удалось но	1	1
111	от того кто	1	1
112	на земле и	1	1
