N	3gram	Tiupa_Anal_2	Mirosoze
1	не может быть	1	8
2	и там и	1	6
3	там и здесь	1	6
4	что иное как	1	3
5	к тому что	1	3
6	и в этом	4	3
7	есть не что	1	3
8	не что иное	1	3
9	что она не	1	2
10	и он же	2	2
11	подобно тому как	3	2
12	со своим другим	1	2
13	с самим собою	1	2
14	в отношении к	1	2
15	о том что	6	2
16	по отношению к	4	2
17	как и в	3	2
18	и те же	1	2
19	в том что	6	2
20	а между тем	1	1
21	так и не	4	1
22	с точки зрения	2	1
23	но и в	1	1
24	между тем как	1	1
25	в этом отношении	3	1
26	на то что	2	1
27	в этой борьбе	1	1
28	ибо и в	1	1
29	и тогда когда	1	1
30	в значительной степени	2	1
31	а не только	2	1
32	в себе такова	1	1
33	по природе своей	2	1
34	но и его	1	1
35	одни и те	1	1
36	так как будто	1	1
37	что случилось с	1	1
38	и в словах	1	1
39	как бы не	1	1
40	у него на	4	1
41	с самим собой	1	1
42	и не знает	1	1
43	той или иной	3	1
44	и если он	1	1
45	его я и	1	1
46	сама по себе	1	1
47	в этом втором	1	1
