N	2gram	Losev_Prob_5	IolandNe
1	и с	5	3
2	и не	12	2
3	должен быть	1	2
4	в этом	17	2
5	он не	3	2
6	ничего не	2	2
7	что в	5	2
8	бы что	1	2
9	творчества то	2	1
10	только что	1	1
11	нисколько не	5	1
12	что для	1	1
13	все эти	2	1
14	то и	2	1
15	с другой	6	1
16	того чтобы	2	1
17	того что	3	1
18	преступления и	2	1
19	стороны он	2	1
20	отношению к	2	1
21	и о	5	1
22	не так	4	1
23	же это	1	1
24	тех же	1	1
25	вплоть до	1	1
26	от нее	1	1
27	утверждает что	1	1
28	так и	7	1
29	но когда	1	1
30	видит в	3	1
31	доказать что	2	1
32	случайно его	1	1
33	кто иной	2	1
34	и творческую	1	1
35	и создавал	1	1
36	жизни и	2	1
37	по отношению	2	1
38	было не	1	1
39	как о	4	1
40	и сам	4	1
41	по поводу	2	1
42	и очень	1	1
43	не кто	2	1
44	того же	4	1
45	от этого	3	1
46	а с	4	1
47	это был	1	1
48	и творчества	1	1
49	в значительной	2	1
50	только для	2	1
51	иной как	2	1
52	значительной мере	2	1
53	а также	3	1
54	для того	3	1
55	есть только	3	1
56	бы в	1	1
57	а в	6	1
58	по существу	2	1
59	и в	30	1
60	как только	1	1
61	был человек	1	1
62	все это	1	1
63	на котором	1	1
64	со всеми	2	1
65	тем что	2	1
66	и др	1	1
67	а по	1	1
68	а если	1	1
69	жил в	2	1
70	он с	1	1
71	я не	2	1
72	другой стороны	6	1
73	никогда не	7	1
74	в них	2	1
75	и без	2	1
76	художественного творчества	8	1
