N	2gram	Trubetskoy_1	IolandNe
1	и с	5	3
2	должен быть	1	2
3	и не	8	2
4	в этом	12	2
5	оба они	1	2
6	он не	3	2
7	что в	8	2
8	самого себя	4	2
9	ничего не	1	2
10	теперь я	1	1
11	все это	11	1
12	а для	2	1
13	и в	23	1
14	только что	3	1
15	у всех	1	1
16	в эту	2	1
17	я не	2	1
18	то и	2	1
19	получилось не	1	1
20	бы в	3	1
21	того же	9	1
22	и со	1	1
23	с другой	6	1
24	и та	1	1
25	это было	1	1
26	а в	3	1
27	еще одной	1	1
28	доказать что	2	1
29	того что	6	1
30	и без	5	1
31	как о	1	1
32	а позднее	1	1
33	на котором	1	1
34	а с	4	1
35	другой стороны	5	1
36	и еще	1	1
37	не так	4	1
38	нее и	1	1
39	для него	2	1
40	в основе	2	1
41	что для	4	1
42	что при	6	1
43	в значительной	1	1
44	говорить о	2	1
45	понятий и	1	1
46	и сам	2	1
47	есть только	1	1
48	отношению к	9	1
49	а если	1	1
50	так и	10	1
51	от этого	1	1
52	того чтобы	8	1
53	ученый но	1	1
54	не случайно	1	1
55	никогда не	4	1
56	жизни и	2	1
57	бы все	1	1
58	тех же	2	1
59	тем что	1	1
60	в целом	5	1
61	точно и	1	1
62	по отношению	9	1
63	очевидно что	3	1
64	в них	2	1
65	все эти	19	1
66	но когда	1	1
67	по существу	6	1
68	от нее	2	1
69	если бы	8	1
70	для того	8	1
