N	2gram	Bakhtin_sl_1	Problema
1	и в	41	30
2	в своей	7	22
3	то есть	26	21
4	не только	16	18
5	в этом	12	17
6	том что	2	17
7	и даже	6	14
8	людей и	1	13
9	таким образом	9	13
10	но и	16	13
11	потому что	2	13
12	также и	3	12
13	о том	3	12
14	в его	13	12
15	в том	3	12
16	и не	16	12
17	так что	2	11
18	в своем	3	11
19	у него	3	11
20	в этой	1	10
21	в виде	2	10
22	для нас	2	10
23	точки зрения	16	10
24	все же	7	9
25	но в	8	9
26	и вообще	2	9
27	только в	6	9
28	и все	4	9
29	сказать что	2	9
30	хотя и	2	8
31	с точки	8	8
32	вовсе не	7	8
33	но не	2	7
34	как и	4	7
35	не в	7	7
36	никогда не	3	7
37	связи с	2	7
38	у нас	2	7
39	здесь не	2	7
40	так и	11	7
41	может быть	14	7
42	в результате	3	7
43	вместе с	1	7
44	и на	14	6
45	в нем	30	6
46	его в	3	6
47	несмотря на	1	6
48	и его	14	6
49	можно сказать	2	6
50	и что	1	6
51	что и	1	6
52	мы читаем	1	6
53	уже не	2	6
54	так как	3	6
55	с другой	5	6
56	прежде всего	8	6
57	как бы	12	6
58	и для	4	6
59	а в	6	6
60	другой стороны	4	6
61	и то	2	5
62	не просто	1	5
63	в которой	4	5
64	тем не	1	5
65	и с	4	5
66	он и	1	5
67	нисколько не	2	5
68	но он	2	5
69	не менее	1	5
70	и о	2	5
71	и у	2	5
72	и их	1	5
73	а не	15	5
74	не может	14	5
75	так же	2	5
76	как раз	2	5
77	в самом	5	5
78	к людям	1	4
79	того же	6	4
80	и он	1	4
81	и к	5	4
82	в себе	3	4
83	при этом	6	4
84	же не	1	4
85	а его	1	4
86	было бы	3	4
87	ни в	1	4
88	по крайней	1	4
89	в то	14	4
90	но даже	1	4
91	и сам	3	4
92	нас в	2	4
93	крайней мере	1	4
94	или в	8	4
95	в качестве	3	4
96	далеко не	5	4
97	а с	2	4
98	в частности	2	4
99	именно для	1	4
100	в смысле	4	4
101	из этого	3	4
102	смысле слова	2	3
103	время как	2	3
104	в виду	1	3
105	в ней	4	3
106	еще не	4	3
107	в ее	2	3
108	что они	2	3
109	от этого	2	3
110	он в	5	3
111	бы не	1	3
112	с одной	4	3
113	он не	3	3
114	в другом	2	3
115	сам же	1	3
116	однако в	1	3
117	в отношении	6	3
118	но только	1	3
119	в самой	1	3
120	не столь	1	3
121	в духе	2	3
122	есть только	1	3
123	он видит	1	3
124	нет никакой	1	3
125	то время	2	3
126	жизнь и	1	3
127	с ним	7	3
128	только и	1	3
129	а также	2	3
130	к нему	5	3
131	все время	3	3
132	же в	1	3
133	того что	3	3
134	тот же	1	3
135	и тем	2	3
136	в начале	1	3
137	в одном	2	3
138	для них	2	3
139	в других	3	3
140	для того	2	3
141	именно в	3	3
142	одной стороны	4	3
143	жизнь в	2	3
144	мира в	1	3
145	быть только	2	3
146	о котором	1	3
147	еще более	5	3
148	и другие	1	3
149	жил в	1	2
150	или к	3	2
151	за все	1	2
152	характерное для	1	2
153	и до	1	2
154	поэтому и	3	2
155	то же	14	2
156	из всех	1	2
157	мы имеем	1	2
158	мы не	2	2
159	равно как	1	2
160	в таком	1	2
161	все эти	9	2
162	не входит	1	2
163	не все	1	2
164	отношение к	7	2
165	и речи	2	2
166	на то	1	2
167	в одной	1	2
168	как в	8	2
169	и нет	1	2
170	кроме того	4	2
171	на его	8	2
172	всем своем	1	2
173	не к	1	2
174	или иных	1	2
175	его на	1	2
176	то ни	1	2
177	его не	1	2
178	это не	6	2
179	форму и	1	2
180	но уже	1	2
181	в них	6	2
182	о своем	1	2
183	и без	1	2
184	в котором	2	2
185	и более	1	2
186	в атмосфере	2	2
187	дело в	1	2
188	того чтобы	1	2
189	ничего не	4	2
190	при всем	3	2
191	по своей	1	2
192	за ними	1	2
193	точке зрения	2	2
194	не могут	3	2
195	его за	1	2
196	к тому	3	2
197	и свое	1	2
198	как мы	8	2
199	без всякого	1	2
200	данном случае	3	2
201	можно было	2	2
202	здесь как	1	2
203	и которые	1	2
204	он был	1	2
205	бы то	1	2
206	в значительной	1	2
207	в драме	1	2
208	между тем	2	2
209	от них	1	2
210	во втором	1	2
211	и только	1	2
212	здесь в	4	2
213	ли он	4	2
214	в какой	1	2
215	или же	1	2
216	именно на	1	2
217	со всеми	1	2
218	есть в	1	2
219	конечно не	3	2
220	и они	1	2
221	из них	3	2
222	всяком случае	5	2
223	то у	1	2
224	до сих	2	2
225	что не	1	2
226	то и	1	2
227	мы и	2	2
228	с помощью	1	2
229	о себе	1	2
230	эта идея	1	2
231	в данном	3	2
232	да и	1	2
233	такого рода	2	2
234	по существу	3	2
235	в это	1	2
236	с этой	3	2
237	сих пор	2	2
238	один из	4	2
239	тех или	1	2
240	в большей	3	2
241	хотя бы	3	2
242	в свою	3	2
243	жизни и	1	2
244	к этому	2	2
245	во всяком	7	2
246	все что	1	2
247	они не	1	2
248	и т	28	1
249	в обычном	1	1
250	должен быть	1	1
251	выходили из	1	1
252	на самом	2	1
253	тех же	1	1
254	науки о	1	1
255	в стороне	1	1
256	к своей	2	1
257	и есть	1	1
258	к другому	1	1
259	из его	1	1
260	в их	4	1
261	мы уже	2	1
262	а как	2	1
263	дилеммой либо	1	1
264	и свой	1	1
265	из своих	2	1
266	его форму	1	1
267	и стиль	2	1
268	и ее	3	1
269	они были	2	1
270	об использовании	1	1
271	начала в	1	1
272	не от	1	1
273	не был	1	1
274	время в	1	1
275	которое он	1	1
276	с его	4	1
277	не требует	3	1
278	а только	1	1
279	бы в	1	1
280	силы и	1	1
281	и нуждается	1	1
282	свою жизнь	1	1
283	и чужой	1	1
284	у них	2	1
285	в едином	1	1
286	или иное	1	1
287	в свои	1	1
288	эти внешние	1	1
289	которые не	1	1
290	не принимает	1	1
291	с этим	3	1
292	в литературный	1	1
293	и нарочито	1	1
294	перед нами	4	1
295	могли бы	1	1
296	что по	1	1
297	и наконец	4	1
298	его к	1	1
299	перед дилеммой	1	1
300	в этот	1	1
301	слова он	1	1
302	то в	2	1
303	бы и	3	1
304	автор в	1	1
305	так или	1	1
306	из этих	3	1
307	если мы	2	1
308	и те	2	1
309	говорит не	1	1
310	имеем в	1	1
311	а вовсе	2	1
312	и если	1	1
313	вообще не	3	1
314	весь свой	1	1
315	что она	1	1
316	т д	5	1
317	от которого	1	1
318	всех этих	4	1
319	он должен	1	1
320	свои собственные	2	1
321	него есть	1	1
322	прошлого века	1	1
323	и по	2	1
324	также между	1	1
325	в нее	1	1
326	себя и	1	1
327	на всю	3	1
328	задний план	1	1
329	ним в	1	1
330	поэзии и	4	1
331	входит в	4	1
332	те или	3	1
333	того по	1	1
334	этой силы	1	1
