N	4gram	Trubetskoy_1	Myshleni
1	заключается в том что	1	13
2	одного и того же	1	5
3	не подлежит никакому сомнению	1	2
4	в том числе и	1	2
5	но на самом деле	1	1
6	не подлежит сомнению и	1	1
7	которая в свою очередь	1	1
8	в том виде как	1	1
9	подлежит никакому сомнению что	1	1
10	одну и ту же	1	1
11	о котором мы говорили	1	1
12	друг с другом не	1	1
13	точно так же как	1	1
14	бы то ни было	1	1
15	друг с другом в	1	1
16	в том случае если	3	1
17	друг с другом как	1	1
18	что с точки зрения	1	1
19	во всяком случае одно	1	1
20	в самом деле для	1	1
21	свидетельствуют о том что	1	1
