N	3gram	Voloshinov_2	Morfolog
1	в этом случае	1	9
2	в связи с	7	8
3	не может быть	10	8
4	то перед нами	1	5
5	по отношению к	8	4
6	с точки зрения	13	4
7	с другой стороны	1	4
8	тем не менее	1	4
9	как мы увидим	1	3
10	не могут быть	1	3
11	и пр и	4	3
12	независимо от того	1	3
13	на самом деле	4	3
14	но все же	1	3
15	как и в	1	3
16	более или менее	2	2
17	в собственном смысле	2	2
18	и в других	1	2
19	может быть и	5	2
20	и пр он	1	2
21	с одной стороны	3	2
22	собственном смысле слова	2	2
23	же оно может	1	2
24	к чему не	1	2
25	ни к чему	1	2
26	в большинстве случаев	5	2
27	для того чтобы	6	2
28	в том что	6	2
29	и ни к	1	1
30	и пр во-вторых	1	1
31	одна из них	1	1
32	вовсе не с	1	1
33	а вовсе не	1	1
34	том что он	2	1
35	или же оно	1	1
36	что иное как	1	1
37	лежат в основе	1	1
38	тому что в	1	1
39	бы они ни	1	1
40	до сих пор	3	1
41	в таком случае	3	1
42	еще тем что	1	1
43	ни в коем	2	1
44	бы то ни	4	1
45	и небо и	1	1
46	сущности вовсе не	1	1
47	что он говорил	1	1
48	в противном случае	2	1
49	в коем случае	2	1
50	одно и то	3	1
51	не ощущается как	1	1
52	так же не	1	1
53	в сущности вовсе	1	1
54	и то же	3	1
55	вне этой связи	2	1
56	все более и	2	1
57	во всяком случае	2	1
58	так же и	1	1
59	но там оно	1	1
60	как бы они	1	1
61	во всех этих	1	1
62	то же время	8	1
63	коем случае не	1	1
64	о том что	3	1
65	они вступают в	1	1
66	с самого начала	5	1
67	и пр чем	1	1
68	ни одна из	1	1
69	и пр эта	1	1
70	он не может	1	1
71	той или иной	4	1
72	можно сказать что	1	1
73	они ни были	1	1
74	на то что	2	1
75	и более широкой	1	1
76	что вопрос о	1	1
77	в то же	8	1
78	более и более	2	1
79	к тому что	3	1
80	не что иное	1	1
81	может быть объяснено	1	1
82	друг с другом	1	1
83	то что они	1	1
84	но в этом	1	1
85	всех этих случаях	1	1
86	здесь как и	1	1
