N	3gram	Losev_Prob_3	Stilisti
1	в то же	4	9
2	для того чтобы	1	7
3	с точки зрения	2	5
4	того или иного	3	5
5	и то же	4	4
6	то же самое	7	4
7	ту или иную	1	4
8	одно и то	3	4
9	то что мы	1	4
10	той или иной	8	4
11	на самом деле	2	3
12	в этом случае	5	3
13	в той же	1	3
14	но и в	2	3
15	бы мы ни	1	3
16	то или иное	2	3
17	не только в	2	3
18	в конце концов	3	3
19	мы уже видели	1	3
20	и тем самым	2	3
21	как мы видели	2	3
22	само собой разумеется	1	2
23	равно как и	1	2
24	тех случаях когда	1	2
25	и не только	1	2
26	не было бы	3	2
27	же самое время	4	2
28	может показаться что	1	2
29	мы имели в	1	2
30	только потому что	2	2
31	имели в виду	1	2
32	возникновения и развития	1	2
33	как бы мы	1	2
34	на первый взгляд	2	2
35	смысле этого слова	1	2
36	но при этом	1	2
37	у нас не	2	2
38	не может быть	5	2
39	что же такое	3	2
40	в тех случаях	1	2
41	есть не что	4	2
42	и как бы	2	2
43	не что иное	4	2
44	и тем же	1	2
45	о том что	3	2
46	что иное как	4	2
47	можно сказать что	2	2
48	в связи с	7	2
49	к тому что	1	2
50	тех или иных	4	2
51	не так как	1	2
52	это же самое	2	1
53	и того же	1	1
54	возможно также и	2	1
55	вполне понятно что	1	1
56	не просто отражает	1	1
57	по себе не	1	1
58	не в самом	1	1
59	явления природы или	1	1
60	вовсе и не	1	1
61	не является ни	2	1
62	в те времена	1	1
63	теми или иными	1	1
64	отдельными моментами этого	1	1
65	одним и тем	1	1
66	хотя бы только	1	1
67	более или менее	1	1
68	и нет ничего	1	1
69	в самом деле	1	1
70	и перестает быть	1	1
71	как раз и	4	1
72	одним из главнейших	1	1
73	до сих пор	2	1
74	и тем что	1	1
75	в ней как	1	1
76	так и останется	1	1
77	в собственном смысле	1	1
78	другими словами в	1	1
79	отражает действительность но	1	1
80	только благодаря тому	1	1
81	несмотря на свою	1	1
82	можно было бы	3	1
83	на этот вопрос	1	1
84	как и от	1	1
85	по крайней мере	5	1
86	отнюдь не является	2	1
87	если мы возьмем	2	1
88	в таких словах	1	1
89	но не нужно	1	1
90	случаях когда мы	1	1
91	в литературном произведении	1	1
92	в нашем смысле	2	1
93	и развития языка	1	1
94	просто отражает действительность	1	1
95	к одной и	1	1
96	тем что он	1	1
97	тому или иному	1	1
98	всего мы должны	1	1
99	как мы это	1	1
100	и в этом	6	1
101	и не было	1	1
102	по сравнению с	2	1
103	тем не менее	10	1
104	но даже и	4	1
105	тех или других	1	1
106	благодаря тому что	1	1
107	как и вообще	1	1
108	иметь в виду	1	1
109	не является чем-то	1	1
110	тем же самым	1	1
111	мы говорили выше	1	1
112	но возможно также	1	1
113	собственном смысле слова	1	1
114	тот момент что	1	1
115	уже видели что	1	1
116	было бы изобразить	1	1
117	друг друга и	1	1
118	содержит в себе	3	1
119	если мы будем	1	1
120	и все же	1	1
121	ничто не мешает	2	1
122	явлений природы и	1	1
123	что мы будем	1	1
124	бросается в глаза	1	1
125	таким образом в	1	1
126	прежде всего мы	1	1
127	мы не можем	1	1
128	в глаза и	1	1
129	даже и в	2	1
130	само по себе	3	1
131	но в этой	1	1
132	об этом мы	1	1
133	как и всякий	1	1
134	речи или даже	1	1
135	и никогда не	1	1
136	эту точку зрения	1	1
137	не только не	1	1
138	на то или	1	1
139	тогда когда мы	1	1
140	и тем более	2	1
141	совсем другое дело	1	1
142	только тогда когда	1	1
143	с другой стороны	5	1
144	только в том	1	1
145	одного и того	1	1
146	для этого необходимо	1	1
147	мы все же	1	1
148	являются не просто	1	1
149	мы приходим к	1	1
150	та или иная	3	1
151	тем самым мы	1	1
152	понимать как нечто	1	1
153	выходящее за пределы	1	1
154	вовсе не является	2	1
155	в том что	9	1
156	именно потому что	3	1
157	перед нами не	1	1
158	такие слова как	1	1
159	как и в	1	1
160	серп и молот	1	1
161	но если бы	1	1
162	таких словах как	1	1
163	не нуждается в	1	1
164	тот факт что	1	1
