N	3gram	Vygotskiy__3	Vvedenie
1	и т д	4	36
2	для того чтобы	8	20
3	в том что	11	12
4	о том что	3	12
5	не может быть	1	8
6	до сих пор	5	6
7	в самом деле	18	6
8	в применении к	1	6
9	том что такое	1	6
10	и т п	5	5
11	в том чтобы	1	5
12	с другой стороны	5	5
13	мере в какой	1	5
14	в этом отношении	1	4
15	можно было бы	1	4
16	в данном случае	2	4
17	и в этом	3	4
18	по сравнению с	1	4
19	не только как	1	4
20	во всяком случае	2	4
21	может быть названо	1	4
22	с одной стороны	5	4
23	в прямом смысле	2	3
24	в том виде	1	3
25	с тем что	1	3
26	вместе с тем	2	3
27	заключается в том	6	3
28	и в самом	10	3
29	можно сказать что	1	3
30	но все же	1	3
31	как мы видели	2	3
32	потому что он	1	2
33	что несмотря на	1	2
34	что в этом	1	2
35	состоит в том	1	2
36	и той же	1	2
37	подобно тому как	1	2
38	то же самое	8	2
39	по своему значению	1	2
40	с точки зрения	9	2
41	еще при жизни	1	2
42	представить себе что	1	2
43	обратить внимание на	1	2
44	может быть и	1	2
45	смысле этого слова	2	2
46	именно на этом	1	2
47	не в том	2	2
48	в целом ряде	1	2
49	и что следовательно	1	2
50	вовсе не в	2	2
51	по этому поводу	1	2
52	одной и той	1	2
53	по его словам	2	1
54	а между тем	1	1
55	самом деле даже	1	1
56	что он представляет	1	1
57	но как мы	1	1
58	того что в	1	1
59	потому что в	1	1
60	показывает что в	1	1
61	прямо заявляет что	1	1
62	как один из	1	1
63	более или менее	1	1
64	и как раз	1	1
65	имеем в виду	1	1
66	на самом деле	2	1
67	но это только	1	1
68	никак не может	1	1
69	в нем то	1	1
70	не вытекает из	1	1
71	в котором они	1	1
72	в ней есть	1	1
73	данном случае и	1	1
74	в лучшем случае	2	1
75	так чтобы не	1	1
76	быть сказано о	1	1
77	в одном и	1	1
78	так как эти	1	1
79	в отличие от	1	1
80	не было бы	1	1
81	только в том	2	1
82	только то что	2	1
83	что не только	1	1
84	совершенно ясно что	5	1
85	заключает в себе	1	1
86	с этим и	1	1
87	того чтобы эта	1	1
88	она может быть	1	1
89	с этой точки	1	1
90	как если бы	3	1
91	и что это	1	1
92	не то что	2	1
93	и то что	3	1
94	в зависимости от	1	1
95	одно и то	2	1
96	в первой половине	1	1
97	все то что	6	1
98	в достаточной мере	1	1
99	во всех отношениях	1	1
100	так как она	1	1
101	тот факт что	1	1
102	как раз в	1	1
103	не есть еще	1	1
104	чем то что	1	1
105	и то же	2	1
106	но не к	1	1
107	ничего не может	2	1
108	то что можно	1	1
109	не иначе как	1	1
110	чтобы увидеть что	5	1
111	потому что она	1	1
112	когда говорил о	1	1
113	мы можем его	1	1
114	но если бы	1	1
115	потому что они	2	1
116	того о чем	1	1
117	и до наших	1	1
118	из всего сказанного	1	1
119	этой точки зрения	1	1
120	а в том	1	1
121	может быть не	2	1
122	самом деле то	1	1
123	имел в виду	1	1
124	таким образом мы	1	1
125	не потому что	1	1
126	то для того	1	1
127	при помощи которого	2	1
128	в свою очередь	2	1
129	что в ней	1	1
130	того или иного	1	1
131	вытекает из самого	1	1
132	с самого начала	6	1
133	него следует что	1	1
134	что это есть	1	1
135	была с самого	1	1
136	из него следует	1	1
137	было бы назвать	1	1
138	заключается вовсе не	1	1
139	и все прочие	2	1
140	таким образом совершенно	1	1
141	каждой из них	1	1
142	к тому что	2	1
143	в предисловии к	1	1
144	если бы оно	1	1
145	все же в	2	1
146	не в этом	1	1
