N	3gram	Vygotskiy__4	FransuaR
1	для того чтобы	5	6
2	в том что	31	6
3	в этом отношении	7	5
4	в связи с	3	5
5	а также и	1	4
6	так же как	5	4
7	на самом деле	1	4
8	в том числе	2	4
9	как мы видели	2	4
10	до сих пор	1	3
11	и во всех	1	3
12	то же самое	7	2
13	как и во	1	2
14	с точки зрения	11	2
15	в отличие от	2	2
16	сказать что и	1	2
17	том числе и	2	2
18	можно было бы	5	2
19	о том как	1	2
20	же как и	4	2
21	в данном случае	2	2
22	в то время	1	2
23	так как они	1	2
24	по тому же	1	2
25	мы уже говорили	2	2
26	не может быть	1	2
27	можно сказать что	1	2
28	как бы в	1	2
29	мы видим что	2	2
30	между словом и	2	2
31	друг с другом	7	2
32	к тому же	1	2
33	том что в	1	1
34	и того же	5	1
35	что иное как	1	1
36	мы видим таким	4	1
37	образами в том	1	1
38	потому что в	1	1
39	к одной и	2	1
40	и той же	4	1
41	далеко не все	1	1
42	по отношению к	1	1
43	в самом деле	6	1
44	но на самом	1	1
45	мы обратимся к	4	1
46	так как оно	1	1
47	том что это	1	1
48	и для других	2	1
49	образом в основе	1	1
50	не имеют ничего	1	1
51	чрезвычайно характерная для	1	1
52	что он не	1	1
53	таким образом как	1	1
54	как это ни	1	1
55	его не только	1	1
56	не имеет никакого	1	1
57	и та же	1	1
58	между тем как	3	1
59	то что в	1	1
60	так например в	1	1
61	основе их лежит	2	1
62	одном и том	1	1
63	не подлежит сомнению	1	1
64	мы видели что	2	1
65	вместе с тем	3	1
66	данном случае не	2	1
67	и в частности	1	1
68	все это в	1	1
69	и что в	2	1
70	что в качестве	1	1
71	но как мы	1	1
72	возвращает нас к	1	1
73	и том же	1	1
74	но вместе с	2	1
75	в течение нескольких	1	1
76	со всеми другими	1	1
77	и в основе	1	1
78	но и с	1	1
79	с помощью которой	1	1
80	со словом и	1	1
81	не могли не	1	1
82	в следующей главе	2	1
83	если мы обратимся	5	1
84	и таким образом	1	1
85	есть еще одна	1	1
86	в основе их	3	1
87	одной и той	4	1
88	не что иное	1	1
89	как и в	1	1
90	в свою очередь	2	1
91	одна и та	1	1
92	о том что	3	1
93	ничего общего с	1	1
94	ту же самую	1	1
95	видим таким образом	4	1
96	о том насколько	1	1
97	одного и того	5	1
98	друг от друга	1	1
99	после того как	1	1
100	в настоящей главе	1	1
101	как мы уже	3	1
102	свидетельствуют о том	1	1
103	нас в том	2	1
104	тем не менее	1	1
105	форм мышления и	1	1
106	что в основе	6	1
107	в процессе своего	1	1
108	так как он	1	1
109	что и в	1	1
110	только тогда когда	1	1
111	имеют ничего общего	1	1
112	и только в	2	1
