N	3gram	Voloshinov_1	Morfolog
1	в связи с	1	8
2	не может быть	4	8
3	подобно тому как	1	5
4	таким образом мы	1	5
5	а также и	1	4
6	по отношению к	3	4
7	с точки зрения	5	4
8	тем не менее	1	4
9	с другой стороны	2	4
10	как и в	1	3
11	на самом деле	1	3
12	с одной стороны	2	2
13	тех случаях когда	1	2
14	может быть и	1	2
15	для того чтобы	1	2
16	в том что	2	2
17	состоит в том	1	2
18	более или менее	1	2
19	мы не сумеем	1	2
20	в собственном смысле	1	2
21	в тех случаях	1	2
22	собственном смысле слова	1	2
23	в нашей работе	1	1
24	с самого начала	2	1
25	и пр с	1	1
26	в то же	1	1
27	всегда связана с	1	1
28	в одном случае	1	1
29	весь этот материал	1	1
30	с ними и	1	1
31	потому что они	1	1
32	а вовсе не	1	1
33	иметь в виду	1	1
34	еще тем что	1	1
35	может быть объяснено	1	1
36	к тому что	1	1
37	во всей своей	1	1
38	и то же	2	1
39	можно было бы	1	1
40	не может входить	1	1
41	на то что	1	1
42	не что иное	2	1
43	далеко не всегда	1	1
44	и пр на	1	1
45	те или иные	1	1
46	и в некоторых	1	1
47	то же время	1	1
48	но и его	1	1
49	есть не что	2	1
50	другой стороны оно	1	1
51	что иное как	2	1
52	не входит в	1	1
53	и вне этой	1	1
54	но так как	2	1
55	одно и то	3	1
56	если бы мы	1	1
57	мы уже видели	1	1
58	в данном случае	2	1
59	как бы сам	1	1
