N	2gram	Tiupa_Lite_1	Komedia
1	и в	8	22
2	том что	14	12
3	в г	1	11
4	но и	17	11
5	в том	16	11
6	не только	24	10
7	в то	5	10
8	из них	4	10
9	как и	6	9
10	может быть	13	9
11	таким образом	3	8
12	о том	2	8
13	и его	4	8
14	в одном	1	8
15	и не	12	8
16	едва ли	1	7
17	в этой	4	7
18	и других	1	7
19	то же	5	6
20	тому же	2	6
21	и по	1	6
22	не в	8	6
23	в отношении	1	6
24	в конце	4	6
25	в годы	1	6
26	одного из	3	6
27	что он	5	6
28	такого рода	10	6
29	к тому	2	6
30	а в	3	6
31	в которой	1	6
32	что в	3	6
33	как в	5	5
34	при этом	19	5
35	во время	1	5
36	потому что	3	5
37	со своим	1	5
38	так и	4	5
39	еще в	4	5
40	и даже	3	5
41	между тем	2	5
42	один из	3	5
43	уже в	5	5
44	в его	7	5
45	прежде всего	11	5
46	с другой	3	5
47	нового времени	2	5
48	другой стороны	1	5
49	по которым	1	4
50	из его	2	4
51	что они	1	4
52	но в	3	4
53	в нем	2	4
54	и вот	1	4
55	в другом	2	4
56	несмотря на	3	4
57	точки зрения	6	4
58	в котором	1	4
59	в их	3	4
60	одном из	1	4
61	так как	1	4
62	как мы	1	4
63	на него	1	4
64	же время	5	4
65	ли не	3	4
66	так в	1	4
67	а также	5	4
68	что и	1	4
69	в качестве	17	4
70	мы можем	1	4
71	тем что	2	4
72	именно в	1	4
73	и особенно	1	4
74	же в	5	4
75	по поводу	2	4
76	к этому	1	4
77	же как	1	3
78	идет о	1	3
79	перед лицом	1	3
80	в году	13	3
81	мы не	1	3
82	и о	1	3
83	х годов	2	3
84	и на	1	3
85	в чем	1	3
86	как правило	2	3
87	с одной	2	3
88	в этом	12	3
89	все же	4	3
90	и как	1	3
91	в целом	8	3
92	на то	1	3
93	да и	3	3
94	он не	1	3
95	и с	1	3
96	его в	3	3
97	чаще всего	1	3
98	в них	1	3
99	на основании	1	3
100	вопрос о	1	3
101	не менее	7	3
102	однако в	2	3
103	на всю	1	3
104	даже в	2	3
105	по отношению	3	3
106	казалось бы	5	3
107	в сознании	2	3
108	этом отношении	2	3
109	могут быть	2	3
110	и сам	6	3
111	во второй	1	3
112	в частности	15	3
113	тот же	1	3
114	одной из	1	3
115	только в	8	3
116	и у	1	3
117	в виде	1	3
118	в начале	1	3
119	за счет	1	3
120	отношение к	1	3
121	у него	3	3
122	как раз	4	3
123	все более	2	3
124	как это	8	3
125	одной стороны	2	3
126	в любом	2	3
127	см ниже	1	3
128	не мог	3	3
129	всего в	3	3
130	и все	1	3
131	отношению к	2	3
132	как известно	1	2
133	того же	2	2
134	тех же	3	2
135	ту же	2	2
136	на две	1	2
137	сам автор	1	2
138	в сущности	2	2
139	на себя	2	2
140	это время	1	2
141	он был	1	2
142	столь же	4	2
143	бы то	1	2
144	тем как	1	2
145	отличие от	5	2
146	за пределы	2	2
147	в настоящем	1	2
148	относится к	2	2
149	в рамках	6	2
150	что к	1	2
151	в противоположность	1	2
152	этой цели	2	2
153	со своей	1	2
