N	2gram	Bakhtin_Pr_4	Narrotol
1	не только	14	26
2	а не	11	17
3	но и	12	15
4	и не	27	14
5	при этом	5	14
6	в том	9	14
7	в этом	16	13
8	и в	46	13
9	том что	4	13
10	в частности	1	11
11	только в	6	11
12	может быть	23	10
13	в данном	2	10
14	так и	4	9
15	то есть	40	9
16	а в	2	9
17	к тому	2	9
18	своего рода	4	9
19	в себе	7	8
20	не может	19	8
21	не в	10	8
22	то что	4	8
23	к себе	6	7
24	все же	4	6
25	данном случае	1	6
26	можно сказать	4	6
27	прежде всего	9	6
28	в жизни	5	6
29	и т.п	14	6
30	жизни в	1	6
31	никогда не	6	6
32	героя в	3	6
33	и к	9	6
34	ничего не	2	6
35	со стороны	1	6
36	в его	9	6
37	у него	5	6
38	но в	6	6
39	как бы	19	6
40	в своем	3	6
41	в форме	1	5
42	о том	5	5
43	место в	1	5
44	отношению к	5	5
45	таким образом	4	5
46	точки зрения	11	5
47	тем самым	1	5
48	в нем	17	5
49	в отличие	3	5
50	хотя и	6	5
51	себе самому	4	5
52	по отношению	5	5
53	на него	3	5
54	как в	4	5
55	в той	3	5
56	отличие от	3	5
57	в то	5	5
58	я в	1	5
59	не столько	1	5
60	далеко не	3	5
61	одной стороны	1	5
62	и тем	2	5
63	в котором	5	5
64	с одной	1	5
65	он не	4	5
66	с другой	3	5
67	что он	6	5
68	в другом	2	4
69	как и	12	4
70	в литературе	1	4
71	жизни и	5	4
72	не к	3	4
73	но при	3	4
74	читателя в	1	4
75	не менее	2	4
76	и все	9	4
77	что это	1	4
78	при всей	1	4
79	в какой	1	4
80	с ним	2	4
81	в конце	3	4
82	как это	1	4
83	в своей	3	4
84	об этом	2	4
85	все его	1	4
86	в ее	1	4
87	для него	2	4
88	в себя	4	4
89	то же	6	4
90	и уже	1	4
91	в силу	1	4
92	тому же	1	4
93	времени и	2	4
94	уже не	4	4
95	если бы	3	4
96	и т.д	3	4
97	в этой	3	4
98	в мире	3	4
99	в рассказе	2	4
100	что в	4	4
101	у нее	1	4
102	и у	1	4
103	перед нами	12	4
104	все что	2	4
105	все эти	4	3
106	как к	1	3
107	как правило	1	3
108	же время	5	3
109	о котором	2	3
110	на том	2	3
111	одна из	2	3
112	для себя	1	3
113	самим собой	2	3
114	как раз	7	3
115	то у	1	3
116	того чтобы	1	3
117	что я	6	3
118	он является	1	3
119	по своей	3	3
120	но не	4	3
121	между собой	1	3
122	первого лица	1	3
123	той или	2	3
124	в таком	1	3
125	между тем	2	3
126	это не	5	3
127	к ней	2	3
128	и даже	3	3
129	и сам	5	3
130	следует подчеркнуть	1	3
131	да и	4	3
132	и его	6	3
133	то и	2	3
134	в целом	1	3
135	сказать что	2	3
136	мира и	1	3
137	один из	1	3
138	за пределами	1	3
139	в слове	3	3
140	характер и	1	3
141	мы имеем	3	3
142	человек в	1	3
143	точку зрения	1	3
144	а к	1	3
145	так сказать	5	3
146	и для	3	3
147	тому что	1	3
148	только к	2	3
149	в произведениях	2	3
150	с его	5	3
151	от первого	1	3
152	самом деле	4	3
153	а как	2	3
154	никак не	3	3
155	или иной	2	3
156	о нем	6	3
157	в соответствии	1	3
158	и по	2	3
159	ней в	1	2
160	не вполне	1	2
161	его смысла	1	2
162	и здесь	4	2
163	бы в	3	2
164	для нас	2	2
165	еще не	7	2
166	другого сознания	1	2
167	достоевского и	2	2
168	с нею	2	2
169	но он	3	2
170	бы на	1	2
171	же она	1	2
172	другого человека	3	2
173	этой своей	1	2
174	эти два	1	2
175	пространство и	1	2
176	у меня	3	2
177	здесь не	4	2
178	я сам	1	2
179	должна быть	2	2
180	а то	3	2
181	в чужой	1	2
182	себя с	1	2
183	вовсе не	9	2
184	на то	3	2
185	в сознании	1	2
186	к которому	1	2
187	хотя бы	2	2
188	мы не	4	2
189	в центре	3	2
190	и внутренней	1	2
191	и он	6	2
192	внутренняя жизнь	1	2
193	те же	2	2
194	в нашем	1	2
195	со всеми	1	2
196	в строгом	2	2
197	в самом	9	2
198	превращается в	4	2
199	себе самом	5	2
200	в лицо	1	2
201	потому что	4	2
202	но зато	1	2
203	раз в	2	2
204	может служить	1	2
205	с точки	9	2
206	на фоне	6	2
207	он может	1	2
208	они не	2	2
209	в других	2	2
210	из этих	3	2
211	у нас	2	2
212	что у	1	2
213	на одном	1	2
214	как он	3	2
215	на самом	1	2
216	можно назвать	1	2
217	во второй	1	2
218	подчеркнуть что	1	2
219	к своему	3	2
220	а с	1	2
221	своей собственной	1	2
222	со своей	1	2
223	они все	1	2
224	не могло	2	2
225	по поводу	1	2
226	во время	1	2
227	только эти	1	2
228	так же	3	2
229	к другому	5	2
230	же как	2	2
231	именно в	1	2
232	его жизни	1	2
233	могли бы	1	2
234	как на	1	2
235	в направлении	4	2
236	в процессе	4	2
237	иного рода	1	2
238	и что	3	2
239	однако не	1	2
240	в результате	2	2
241	не являются	1	2
242	о них	1	2
243	бы с	1	2
244	автора в	1	2
245	главного героя	2	2
246	что и	3	2
247	роль в	1	2
248	несмотря на	1	2
249	во сне	2	2
250	в своих	1	2
251	в каждой	1	2
252	однако в	1	2
253	не должен	1	2
254	на свой	6	2
255	сводятся к	1	2
256	себя в	3	2
257	той же	3	2
258	в него	6	2
259	в области	1	2
260	в ней	1	2
261	вся жизнь	4	2
262	что она	1	2
263	своей природе	2	2
264	к миру	1	2
265	с другим	1	2
266	должен был	1	2
267	а во	1	2
268	могло бы	2	2
269	к читателю	1	2
270	только на	3	2
271	он сам	2	2
272	себе и	3	2
273	героя и	4	2
274	было бы	3	2
275	или иначе	1	2
276	и другого	2	2
277	можно было	2	2
278	и пространства	1	2
279	но это	6	2
280	не обязательно	1	2
281	но для	3	2
282	в свою	1	2
283	в обычное	1	1
284	человек есть	1	1
285	мира все	1	1
286	возможность такого	1	1
287	может не	1	1
288	своей жизни	1	1
289	в пределе	1	1
290	влюбленности в	1	1
291	возможностей в	1	1
292	жизни а	1	1
293	лишь то	1	1
294	к восприятию	1	1
295	между людьми	1	1
296	приводит к	4	1
297	но с	2	1
298	поэтому же	1	1
299	не знает	4	1
300	по сравнению	1	1
301	без другого	1	1
302	но она	2	1
303	она не	3	1
304	сравнению с	1	1
305	он остается	1	1
306	и с	7	1
307	всего его	2	1
308	и нет	4	1
309	первого и	1	1
310	после первого	1	1
311	одним из	3	1
312	если они	1	1
313	вопрос о	2	1
314	в связи	1	1
315	входит в	1	1
316	если же	5	1
317	позицию по	1	1
318	мы и	3	1
319	рассказ о	1	1
320	именно к	1	1
321	который и	1	1
322	его как	2	1
323	мир где	1	1
324	процессе перехода	1	1
325	или в	8	1
326	если такая	1	1
327	о предмете	1	1
328	в двух	1	1
329	на авторскую	1	1
330	в плане	1	1
331	которые могут	1	1
332	в речи	3	1
333	людей и	4	1
334	а порой	1	1
335	правда мы	1	1
336	именно на	1	1
337	тому и	1	1
338	установки и	1	1
339	не была	2	1
340	никто не	1	1
341	можно согласиться	1	1
342	или иному	1	1
343	этом последнем	1	1
344	связи с	1	1
345	высказывания в	1	1
346	в чужом	4	1
347	и их	3	1
348	большинстве случаев	8	1
349	никому не	2	1
350	к другим	2	1
351	на своего	1	1
352	повествования но	1	1
353	здесь и	3	1
354	только себя	1	1
355	на границе	4	1
356	вследствие чего	1	1
357	есть в	6	1
358	понимать этот	1	1
359	одновременно и	1	1
360	к нему	5	1
361	него и	1	1
362	характер это	1	1
363	нужно было	1	1
364	сих пор	8	1
365	место для	1	1
