N	2gram	Medvedev_V_1	Vladivir
1	и в	2	31
2	и не	1	17
3	в этом	1	14
4	том что	2	14
5	по поводу	1	12
6	же с	1	11
7	в том	2	11
8	потому что	1	11
9	и то	1	10
10	в конце	2	9
11	только в	1	9
12	так как	1	8
13	и его	1	7
14	то же	1	6
15	к этому	1	6
16	все это	1	5
17	я не	1	4
18	главным образом	1	4
19	дело в	1	4
20	да и	1	4
21	но это	1	3
22	конце концов	2	3
23	по своим	1	3
24	под влиянием	1	3
25	хотя бы	1	2
26	не будем	1	2
27	и почти	1	2
28	ясно что	1	2
29	даже не	1	2
30	по существу	1	2
31	впрочем не	1	2
32	этом и	1	2
33	тем более	1	2
34	в самом	1	2
35	в частности	1	2
36	чего не	1	1
37	в их	1	1
38	формализма в	1	1
39	году о	1	1
40	столь же	1	1
41	не хотел	1	1
42	то я	1	1
43	одно и	1	1
44	том же	1	1
45	для них	1	1
46	статей в	1	1
47	здесь достаточно	1	1
48	собр соч	1	1
49	и мало	1	1
50	то чего	1	1
51	значит и	1	1
52	не одно	1	1
53	все то	1	1
54	так в	1	1
55	то немногое	1	1
56	все дело	1	1
57	сводится к	1	1
58	другом месте	1	1
59	в значительной	1	1
60	самом деле	1	1
61	от других	1	1
62	их как	1	1
63	и только	1	1
64	именно в	1	1
65	далеко не	1	1
66	а значит	1	1
67	с большой	1	1
68	и самым	1	1
69	ни к	1	1
