N	4gram	Bakhtin_fo_1	FransuaR
1	в то же время	6	9
2	но в то же	1	3
3	мы имеем в виду	1	2
4	в том числе и	2	2
5	дело в том что	2	2
6	же что и у	1	2
7	и прежде всего в	1	1
8	почти ничего не осталось	1	1
9	громадную роль в истории	1	1
10	как мы уже говорили	3	1
11	были чрезвычайно распространены в	1	1
12	мы еще вернемся в	1	1
13	которые были чрезвычайно распространены	1	1
14	мы уже указывали что	1	1
15	на другой день после	1	1
16	здесь как и в	1	1
17	тем чем они были	1	1
18	в самом человеке и	1	1
19	в средние века и	1	1
