N	2gram	Medvedev_V_1	Tragedij
1	и в	2	18
2	в этом	1	9
3	и не	1	7
4	и его	1	6
5	то же	1	5
6	я не	1	4
7	том что	2	4
8	но это	1	4
9	все это	1	4
10	в конце	2	3
11	и то	1	2
12	столь же	1	2
13	в самом	1	2
14	в том	2	2
15	как же	1	2
16	под влиянием	1	2
17	потому что	1	2
18	в частности	1	2
19	по поводу	1	2
20	самом деле	1	1
21	существенной роли	1	1
22	в другом	1	1
23	и т.д	1	1
24	не хочу	1	1
25	все время	1	1
26	только в	1	1
27	даже не	1	1
28	именно в	1	1
29	более чем	1	1
30	в книге	3	1
31	конце концов	2	1
32	хотя бы	1	1
