N	2gram	Nazirov_Tv_2	Problema
1	то есть	5	46
2	в его	10	43
3	и не	9	42
4	и в	20	38
5	познания и	2	30
6	не может	7	27
7	может быть	8	26
8	как бы	11	22
9	по отношению	3	21
10	отнюдь не	4	19
11	отношению к	3	19
12	и с	8	17
13	и его	9	16
14	в этом	8	15
15	в нем	3	15
16	и т	13	14
17	только в	2	13
18	т п	2	13
19	прежде всего	8	13
20	но не	5	12
21	в искусстве	2	12
22	художественного произведения	1	11
23	во всех	1	11
24	в области	1	11
25	ни в	1	11
26	и для	1	11
27	отношение к	1	10
28	таким образом	10	10
29	в их	3	10
30	не только	13	9
31	в поэзии	1	9
32	не имеет	1	9
33	его в	3	9
34	но и	8	9
35	и как	1	8
36	входит в	1	8
37	было бы	1	8
38	место в	3	8
39	произведения как	1	8
40	в том	8	8
41	и др	3	8
42	то что	3	8
43	еще не	5	7
44	в самом	3	7
45	в плане	3	7
46	как и	6	7
47	не в	4	7
48	как мы	1	7
49	с другой	2	7
50	между тем	3	7
51	объекта и	1	7
52	но отнюдь	1	7
53	совершенно не	1	7
54	в своей	6	7
55	что в	7	7
56	самом деле	2	6
57	на основе	1	6
58	и наконец	2	6
59	в пределах	1	6
60	не к	1	6
61	не есть	1	6
62	ничего не	4	6
63	человеческой культуры	2	6
64	все же	5	6
65	а в	4	6
66	только как	1	6
67	высшей степени	1	5
68	отличие от	2	5
69	все эти	4	5
70	при этом	8	5
71	то же	7	5
72	это не	7	5
73	в них	1	5
74	рядом с	2	5
75	в высшей	1	5
76	в отличие	2	5
77	так и	6	5
78	произведения в	1	5
79	в основе	2	5
80	и о	1	5
81	никогда не	11	5
82	с ним	3	5
83	и прежде	1	5
84	в большинстве	1	5
85	а не	6	5
86	могут быть	2	5
87	должно быть	1	5
88	в виду	1	4
89	конечном счете	1	4
90	как в	4	4
91	но в	4	4
92	в себе	3	4
93	понять его	1	4
94	не менее	2	4
95	тем самым	4	4
96	о значении	1	4
97	в то	10	4
98	в ее	2	4
99	можно было	1	4
100	не с	1	4
101	о том	5	4
102	в конечном	1	4
103	от всех	1	4
104	с ними	2	4
105	и только	2	4
106	к которому	2	4
107	что не	3	4
108	в романе	15	4
109	более того	2	4
110	и потому	4	4
111	искусства но	1	4
112	момент как	1	4
113	себя самого	1	4
114	может и	1	4
115	между ними	1	4
116	сказать что	1	4
117	другой стороны	2	4
118	например в	5	3
119	есть форма	1	3
120	едва ли	2	3
121	действительности и	1	3
122	говорить о	2	3
123	эстетики и	1	3
124	точка зрения	2	3
125	менее всего	1	3
126	нет и	2	3
127	значение имеет	1	3
128	и эстетического	1	3
129	нас за	2	3
130	и к	1	3
131	в целом	6	3
132	к миру	2	3
133	он не	3	3
134	в мире	5	3
135	с другими	2	3
136	несмотря на	1	3
137	том что	4	3
138	есть его	1	3
139	почти совершенно	1	3
140	на него	2	3
141	как его	1	3
142	имеют дело	1	3
143	же время	7	3
144	как только	1	3
145	в применении	1	3
146	и это	3	3
147	хотя и	4	3
148	и от	4	3
149	приводит к	2	3
150	в дальнейшем	4	3
151	ясно что	1	3
152	если бы	4	3
153	и должно	1	3
154	одной из	3	3
155	как нечто	1	3
156	с одной	1	3
157	слова не	1	3
158	в известной	4	3
159	и даже	5	3
160	на фоне	1	3
161	связь с	2	3
162	только его	1	3
163	в область	3	3
164	применении к	1	3
165	и на	5	3
166	но это	5	3
167	все это	6	3
168	не является	3	3
169	культуры и	1	3
170	от него	1	3
171	не знает	1	3
172	в таком	3	3
173	можно говорить	1	2
174	относится и	2	2
175	и есть	2	2
176	в котором	3	2
177	проникает в	2	2
178	со всех	1	2
179	и значение	1	2
180	ничего нет	1	2
181	не вполне	1	2
182	это отношение	1	2
183	я не	2	2
184	и он	2	2
185	не остается	1	2
186	всех сторон	1	2
187	столь же	1	2
188	в чем	4	2
189	с его	1	2
190	но как	1	2
191	а только	1	2
192	не все	1	2
193	ивана карамазова	8	2
194	или иное	1	2
195	в истории	2	2
196	дает нам	1	2
197	я должен	1	2
198	себе не	1	2
199	и у	2	2
200	что это	1	2
201	бы не	2	2
202	за их	1	2
203	нами в	1	2
204	на то	1	2
205	а к	1	2
206	быть поняты	2	2
207	человека в	3	2
208	в каждом	1	2
209	ценности и	1	2
210	лишь в	1	2
211	и других	2	2
212	и более	1	2
213	не могли	2	2
214	том же	2	2
215	и вообще	2	2
216	в таких	1	2
217	она не	1	2
218	дело в	1	2
219	одна из	3	2
220	чем не	1	2
221	действительности но	1	2
222	к поэзии	1	2
223	а лишь	1	2
224	связи с	1	2
225	здесь же	1	2
226	у нас	2	2
227	представляется нам	1	2
228	к себе	1	2
229	не могут	1	2
230	отличается от	1	2
231	анализа и	1	2
232	что оно	1	2
233	должен быть	1	2
234	и художественное	1	2
235	что все	1	2
236	в себя	1	2
237	особенно в	2	2
238	том как	1	2
239	поэтому в	1	2
240	и здесь	1	2
241	в другом	1	2
242	и что	2	2
243	этического и	1	2
244	этот момент	1	2
245	выше в	1	2
246	нем и	1	2
247	мир в	1	2
248	и мир	1	2
249	в современной	1	2
250	нуждается в	1	2
251	что он	6	2
252	и ее	2	2
253	на мир	1	2
254	себя в	2	2
255	не можем	1	2
256	в виде	2	2
257	в начале	3	2
258	не дает	1	2
259	нечего сказать	1	2
260	что и	1	2
261	вовсе не	2	2
262	то или	1	2
263	тем что	3	2
264	или иной	1	2
265	души и	1	2
266	не было	2	2
267	но лишь	1	2
268	в россии	2	2
269	но можно	1	2
270	в связи	1	2
271	человек в	1	2
272	в частности	2	2
273	как это	1	2
274	характера и	3	2
275	того или	1	2
276	при посредстве	1	2
277	и события	1	2
278	той или	1	2
279	находит свое	1	2
280	ни к	2	2
281	но зато	3	2
282	в этих	1	2
283	быть понята	1	2
284	в новый	1	2
285	от ее	2	2
286	в свою	1	2
287	лишь что	1	2
288	была бы	1	2
289	или иного	1	2
290	и другие	1	2
291	в своих	3	2
292	по поводу	1	2
293	к этому	3	2
294	а между	1	1
295	в сфере	1	1
296	человека и	3	1
297	языковая метафора	1	1
298	это и	1	1
299	было то	1	1
300	случае о	1	1
301	в первом	1	1
302	нем нет	1	1
303	из его	1	1
304	и за	1	1
305	из всех	1	1
306	который в	1	1
307	бы уже	1	1
308	из подполья	6	1
309	связан с	1	1
310	что уже	1	1
311	смысла в	1	1
312	жизненной позиции	1	1
313	на себя	1	1
314	чувство может	1	1
315	жизни как	1	1
316	такое же	1	1
317	вырождается и	1	1
318	к целому	1	1
319	роман и	2	1
320	отказ от	1	1
321	то он	1	1
322	завершения и	1	1
323	в противовес	1	1
324	мы же	1	1
325	искусство в	1	1
326	преступление и	2	1
327	вмешивается в	1	1
328	это самое	1	1
329	стороны и	1	1
330	ней в	1	1
331	по внешним	1	1
332	как уже	1	1
333	имеет в	2	1
334	это определение	3	1
335	в противоположность	1	1
336	и материальными	1	1
337	психологии и	1	1
338	то в	1	1
339	и внутреннего	1	1
340	в литературном	2	1
341	всего романа	1	1
342	и я	1	1
343	то время	1	1
344	алеши и	1	1
345	его а	1	1
346	в этой	5	1
347	но он	1	1
348	в философии	1	1
349	но ведь	2	1
350	если он	5	1
351	и эстетика	2	1
352	не нужны	1	1
353	к эстетическому	1	1
354	и если	2	1
355	к выводу	1	1
356	т д	11	1
357	которой не	1	1
358	эта последняя	1	1
359	в принципе	4	1
360	этого вопроса	1	1
361	внутри произведения	1	1
362	и вот	1	1
363	характер в	2	1
364	не теряет	1	1
365	так например	3	1
366	день и	1	1
367	критики и	2	1
368	значение в	1	1
369	и дальше	1	1
370	мы уже	1	1
371	себя не	1	1
372	художественный образ	1	1
373	или наконец	2	1
374	на бумаге	1	1
375	с прошлым	1	1
376	и мы	3	1
377	в свой	2	1
378	характер не	1	1
379	ведь в	1	1
380	это создает	1	1
381	для них	1	1
382	в один	1	1
383	как личность	1	1
384	нет в	1	1
385	это положение	1	1
386	спасения из	1	1
387	а завершение	1	1
388	социальной и	1	1
389	потому и	1	1
390	автора и	1	1
391	был бы	1	1
392	ибо не	1	1
393	еще нет	1	1
394	к одному	1	1
395	том смысле	1	1
396	в которых	3	1
397	мысли и	1	1
398	направлен на	1	1
399	является только	1	1
400	характера в	2	1
401	и эти	1	1
