N	3gram	Nazirov_Vr_1	Otkroven
1	у него в	1	5
2	в преступлении и	1	3
3	преступлении и наказании	1	3
4	записках из подполья	1	3
5	и в этом	1	2
6	что у него	1	2
7	не может быть	2	2
8	достоевский прежде всего	1	2
9	из мертвого дома	1	2
10	записки из мертвого	1	2
11	и никогда не	1	2
12	о достоевском и	1	1
13	то что достоевский	1	1
14	прежде всего художник	1	1
15	н к михайловского	1	1
16	в самом достоевском	1	1
17	как бы в	1	1
18	он не только	2	1
19	о том как	1	1
20	записки из подполья	1	1
21	к михайловского жестокий	1	1
22	преступление и наказание	1	1
23	и все же	5	1
24	и не может	1	1
25	во всяком случае	1	1
26	он и не	1	1
27	к творчеству достоевского	1	1
28	о том что	1	1
29	в этом отношении	1	1
30	и в самом	1	1
31	в этот период	1	1
32	в том что	2	1
33	самим собой в	1	1
34	на то что	1	1
35	и то что	1	1
36	из подполья но	1	1
37	что это за	1	1
38	и все что	1	1
39	но он подошел	1	1
40	преступления и наказания	1	1
41	не было такой	1	1
