N	2gram	Bakhtin_sl_2	Myshleni
1	в том	5	28
2	то что	2	28
3	и в	39	28
4	в этом	16	27
5	того что	1	24
6	не может	20	19
7	том что	5	19
8	таким образом	8	18
9	только в	5	18
10	что он	2	18
11	что в	3	17
12	не только	24	16
13	точки зрения	8	13
14	с помощью	4	13
15	сказать что	3	13
16	может быть	37	13
17	в сфере	2	12
18	и не	22	11
19	как бы	7	11
20	отношению к	4	10
21	того чтобы	2	10
22	но не	6	10
23	но и	21	10
24	с точки	3	10
25	по отношению	4	10
26	как мы	7	10
27	в отношении	4	10
28	так как	4	10
29	развития и	1	10
30	между собой	1	9
31	мы можем	1	9
32	могли бы	1	9
33	в процессе	13	9
34	еще не	7	8
35	в зоне	1	8
36	мы видели	2	8
37	никогда не	7	8
38	для того	2	8
39	тем что	1	8
40	в самом	1	8
41	того же	1	7
42	мышления и	5	7
43	в нем	19	7
44	вместе с	2	7
45	отношение к	4	7
46	и других	4	7
47	в сущности	6	7
48	то же	4	7
49	там где	6	7
50	как известно	1	7
51	он не	2	7
52	научных и	1	7
53	письменной речи	1	7
54	самого начала	1	7
55	с самого	1	7
56	что оно	4	7
57	в своем	6	7
58	приводит к	1	6
59	как и	6	6
60	можно сказать	1	6
61	так и	15	6
62	как раз	1	6
63	мы не	2	6
64	в области	2	6
65	его в	4	6
66	для него	7	6
67	тогда когда	2	6
68	в то	4	6
69	в чем	3	6
70	и что	1	6
71	и к	6	6
72	и как	3	6
73	вообще не	1	6
74	и все	5	5
75	в этой	1	5
76	в свете	3	5
77	на этой	1	5
78	языка и	9	5
79	это не	5	5
80	зависимости от	4	5
81	и тем	1	5
82	речи и	3	5
83	в зависимости	4	5
84	могут быть	7	5
85	того как	2	5
86	не могут	5	5
87	и на	4	5
88	для развития	1	5
89	но в	6	5
90	на развитие	1	5
91	в пределах	13	5
92	в себе	2	4
93	друг друга	1	4
94	и обратно	1	4
95	не умеет	1	4
96	что при	1	4
97	как по	1	4
98	на то	1	4
99	одного и	1	4
100	не в	9	4
101	во всех	12	4
102	который мы	1	4
103	именно в	2	4
104	в нашем	2	4
105	в сознании	1	4
106	оно не	8	4
107	например в	5	4
108	в той	4	4
109	которые в	2	4
110	они не	2	4
111	в качестве	1	4
112	что и	3	4
113	с этим	2	4
114	в одной	1	4
115	той же	3	4
116	к другу	1	4
117	на этом	3	4
118	в частности	1	4
119	между этими	1	4
120	целый ряд	1	4
