N	2gram	Tiupa_Hudo_1	Myslijsy
1	потому что	5	33
2	то что	8	29
3	может быть	5	26
4	в этом	11	23
5	в том	12	23
6	и в	14	23
7	в слове	1	22
8	и не	2	18
9	что в	6	17
10	при этом	12	15
11	только в	5	15
12	то же	9	14
13	в себе	11	14
14	как и	9	14
15	того что	4	14
16	так как	1	14
17	для нас	1	14
18	если бы	3	13
19	не было	4	12
20	а не	12	12
21	том что	16	12
22	что я	2	11
23	не в	7	11
24	по себе	2	11
25	но и	5	11
26	не может	7	11
27	по отношению	8	10
28	не только	12	10
29	тем что	3	10
30	что мы	1	10
31	и потому	2	10
32	между тем	8	9
33	мы не	2	8
34	в своем	4	8
35	но в	5	8
36	заключает в	2	8
37	было бы	6	8
38	о том	12	8
39	сказать что	1	8
40	отношению к	8	8
41	и т	11	7
42	как в	8	7
43	с этим	3	7
44	на то	4	7
45	в нем	3	7
46	в силу	1	7
47	мысли и	1	7
48	это не	7	7
49	и что	2	7
50	вовсе не	1	7
51	с тем	1	7
52	могут быть	1	7
53	и к	4	6
54	в которой	1	6
55	когда мы	1	6
56	так и	13	6
57	т с	4	6
58	что не	2	6
59	заметить что	2	6
60	в ряду	1	6
61	и то	1	5
62	есть нечто	1	5
63	говорить о	3	5
64	один и	1	5
65	хотя и	2	5
66	как бы	7	5
67	имеет для	1	5
68	так сказать	2	5
69	должно быть	2	5
70	не менее	5	5
71	с ним	4	5
72	не имеет	2	5
73	внимание на	2	5
74	находится в	1	5
75	так что	2	5
76	есть в	1	5
77	уже в	1	5
78	в его	8	5
79	для него	10	5
80	не из	1	5
81	что же	2	5
82	все это	2	5
83	тем более	1	5
84	а в	7	5
85	таким же	1	5
86	во всяком	1	5
87	а между	1	4
88	только потому	2	4
89	и о	4	4
90	для человека	1	4
91	что все	1	4
92	и с	4	4
93	его в	3	4
94	и тем	1	4
95	между собою	1	4
96	точки зрения	5	4
97	сих пор	2	4
98	тем не	4	4
99	т п	8	4
100	видно что	2	4
101	и более	1	4
102	в то	8	4
103	того чтобы	3	4
104	со своим	2	4
105	же самое	1	4
106	если же	1	4
107	быть может	7	4
108	на вопрос	2	4
109	и та	1	4
110	можно сказать	4	4
111	что он	9	4
112	хотя бы	1	4
113	то и	3	4
114	в одном	1	4
115	тогда как	7	4
116	только на	2	4
117	до сих	2	4
118	в данном	1	4
119	да и	2	4
120	и все	4	4
121	тем самым	1	4
122	в таком	3	4
123	например в	2	3
124	человека и	1	3
125	самом деле	5	3
126	на самом	2	3
127	в первом	1	3
128	и до	1	3
129	слова в	2	3
130	мы уже	4	3
131	той же	2	3
132	ответить на	1	3
133	еще не	7	3
134	и на	3	3
135	к слову	1	3
136	там где	1	3
137	в действительности	4	3
138	и хотя	1	3
139	в самом	4	3
140	все эти	3	3
141	бы не	1	3
142	так в	2	3
143	и тот	1	3
144	на его	2	3
145	т д	3	3
146	к одному	1	3
147	и по	3	3
148	в нее	1	3
149	на нее	1	3
150	том случае	1	3
151	лишь в	3	3
152	но уже	1	3
153	все равно	2	3
154	к которым	1	3
155	с точки	3	3
156	но это	1	3
157	в которых	1	3
158	их в	1	3
159	ее не	1	3
160	в науке	1	3
161	на себе	2	3
162	только не	1	3
163	никогда не	6	3
