N	3gram	Berdyaev_O_1	VerxiiNi
1	во всяком случае	1	6
2	друг с другом	1	5
3	для того чтобы	3	5
4	о том что	1	4
5	в том что	1	3
6	в этом отношении	1	2
7	заключает в себе	1	2
8	по сравнению с	1	2
9	между этими двумя	1	2
10	на то что	1	2
11	и в этом	2	2
12	и в духовном	1	1
13	и все же	1	1
14	в самом деле	1	1
15	о том как	1	1
16	людей но и	1	1
17	с тем что	2	1
18	в этот период	1	1
19	не имеет ни	1	1
20	смысле этого слова	1	1
21	подойти к этой	1	1
22	потому что в	1	1
23	не в том	1	1
24	друг к другу	1	1
25	все что связано	1	1
26	все это было	1	1
27	как бы в	1	1
28	русский человек всегда	1	1
29	у него в	5	1
30	не может быть	2	1
31	нет ничего кроме	2	1
32	и никогда не	2	1
33	природы но и	3	1
34	чтобы не иметь	1	1
35	после того как	1	1
