N	3gram	Tiupa_Hudo_1	Russkaja
1	друг с другом	1	14
2	то же время	8	10
3	в то же	8	10
4	с точки зрения	3	9
5	в том что	6	7
6	на самом деле	1	6
7	во всяком случае	1	6
8	а между тем	1	5
9	до сих пор	2	5
10	более или менее	1	4
11	на то что	2	4
12	к тому чтобы	1	4
13	в том случае	1	4
14	не может быть	2	4
15	не может не	1	3
16	том случае если	1	3
17	можно было бы	4	3
18	в данном случае	1	3
19	в конце концов	1	3
20	в том и	1	2
21	только в том	2	2
22	что он не	2	2
23	которой он сам	1	2
24	в себе и	1	2
25	в противоречие с	1	2
26	того или иного	2	2
27	о том что	9	2
28	друг от друга	1	2
29	к тому что	4	2
30	она не может	1	2
31	уже знаем что	1	1
32	но и от	1	1
33	состоит в том	1	1
34	прежде всего на	1	1
35	прежде всего в	1	1
36	в свою очередь	1	1
37	по отношению к	8	1
38	в самом деле	4	1
39	то же самое	1	1
40	точки зрения в	1	1
41	мы уже знаем	2	1
42	таит в себе	1	1
43	и то и	1	1
44	до известной степени	1	1
45	не хочется думать	1	1
46	с ним в	1	1
47	в этом отношении	3	1
48	в его жизни	1	1
49	ни у кого	1	1
50	за то что	1	1
51	заключает в себе	1	1
52	перед нами не	1	1
53	таком взгляде на	1	1
54	несмотря на то	1	1
55	то и другое	2	1
56	свою судьбу в	1	1
57	к себе и	1	1
58	при таком взгляде	1	1
59	в значительной степени	2	1
60	и что в	1	1
61	как путь к	1	1
62	но в то	3	1
63	только один из	1	1
64	но при этом	1	1
65	и в этом	1	1
66	своей жизни в	1	1
67	не только для	1	1
68	к одному из	1	1
69	в связи с	3	1
70	а в том	1	1
71	того и другого	1	1
72	но и для	1	1
73	с самого начала	1	1
74	речь идет о	2	1
75	но все же	1	1
76	прежде всего о	1	1
77	мы не знаем	1	1
78	тем не менее	3	1
79	жизни перед нами	1	1
80	на первый взгляд	1	1
81	не только от	1	1
