N	3gram	Trubetskoy_1	Literetu
1	то же время	2	9
2	в то же	2	9
3	не может быть	1	7
4	с одной стороны	7	6
5	в том что	3	5
6	состоит в том	1	4
7	с другой стороны	1	4
8	с точки зрения	6	3
9	в этом отношении	2	3
10	в данном случае	1	3
11	по отношению к	1	3
12	но с другой	1	3
13	речь идет о	1	3
14	о том что	4	2
15	по крайней мере	5	2
16	в том числе	5	2
17	тем не менее	3	2
18	и в сущности	1	1
19	ничего не стоит	1	1
20	же время он	1	1
21	вместе с новыми	1	1
22	в соответствии с	1	1
23	то же самое	2	1
24	тем что в	1	1
25	еще при жизни	1	1
26	вместе с тем	8	1
27	в отличие от	1	1
28	бы то ни	2	1
29	а так как	3	1
30	только то что	1	1
31	том числе и	4	1
32	во всей своей	1	1
33	с этой точки	2	1
34	и в то	1	1
35	ничего общего с	2	1
36	в конце концов	3	1
37	не только как	1	1
38	не в том	1	1
39	так и от	2	1
40	с тем чтобы	4	1
41	этой точки зрения	2	1
42	а в том	1	1
43	и в новом	1	1
44	и некоторые другие	1	1
45	сказать и о	1	1
46	в свою очередь	1	1
47	в одном из	1	1
48	не только не	1	1
49	той или иной	2	1
50	то ни было	2	1
51	есть не более	1	1
52	после того как	1	1
53	друг друга а	1	1
54	а с другой	5	1
55	для того чтобы	5	1
56	в себе не	1	1
