N	2gram	Tiupa_Anal_3	Problema
1	то есть	10	46
2	в его	7	43
3	и не	12	42
4	и в	18	38
5	эстетический объект	1	37
6	эстетического объекта	2	37
7	не может	2	27
8	может быть	9	26
9	как бы	10	22
10	по отношению	7	21
11	в художественном	1	20
12	отнюдь не	4	19
13	отношению к	7	19
14	к содержанию	3	17
15	и его	13	16
16	в этом	14	15
17	в нем	2	15
18	только в	2	13
19	прежде всего	5	13
20	независимо от	1	13
21	но не	7	12
22	за пределы	1	12
23	в эстетический	1	12
24	в искусстве	2	12
25	во всех	2	11
26	и для	2	11
27	отношение к	1	10
28	таким образом	4	10
29	в их	6	10
30	не только	22	9
31	его в	3	9
32	но и	13	9
33	и как	4	8
34	входит в	2	8
35	было бы	3	8
36	точки зрения	3	8
37	место в	1	8
38	для нее	1	8
39	произведения как	2	8
40	в том	9	8
41	и др	1	8
42	художественное произведение	1	8
43	то что	2	8
44	еще не	6	7
45	в самом	5	7
46	как и	14	7
47	и становится	1	7
48	не в	6	7
49	как мы	1	7
50	с другой	7	7
51	между тем	5	7
52	отметить что	1	7
53	слова в	1	7
54	с помощью	1	7
55	объекта и	1	7
56	совершенно не	2	7
57	в своей	1	7
58	что в	9	7
59	отношения к	2	6
60	самом деле	2	6
61	там где	2	6
62	в пределах	4	6
63	не всегда	3	6
64	с точки	2	6
65	не есть	4	6
66	ничего не	3	6
67	дело с	3	6
68	мы можем	2	6
69	все же	4	6
70	а в	10	6
71	только как	1	6
72	тем как	1	5
73	отличие от	2	5
74	в своем	4	5
75	все эти	2	5
76	объекта в	1	5
77	при этом	11	5
78	то же	3	5
79	это не	2	5
80	в них	2	5
81	рядом с	1	5
82	далеко не	4	5
83	в отличие	2	5
84	так и	14	5
85	произведения в	1	5
86	в основе	1	5
87	и о	1	5
88	никогда не	5	5
89	с ним	1	5
90	может иметь	1	5
91	и прежде	2	5
92	большинстве случаев	1	5
93	в большинстве	2	5
94	а не	9	5
95	со словом	1	5
96	могут быть	2	5
97	должно быть	1	5
98	формы и	1	5
99	на границах	1	5
