N	3gram	Losev_Prob_2	DiskursI
1	в данном случае	5	6
2	в том что	4	6
3	в этом отношении	1	4
4	в то же	4	4
5	с одной стороны	5	4
6	так и в	1	3
7	не может быть	3	3
8	о том что	14	3
9	той или иной	1	3
10	может претендовать на	1	3
11	одной стороны и	3	2
12	подобно тому как	2	2
13	в этом случае	7	2
14	и не может	1	2
15	и то что	7	2
16	содержит в себе	2	2
17	и то же	1	2
18	в свое время	1	2
19	на первый взгляд	1	2
20	и прежде всего	2	2
21	том что в	2	1
22	ни о чем	1	1
23	для этого она	1	1
24	в той или	1	1
25	в речевой деятельности	1	1
26	не является ни	1	1
27	то есть по	1	1
28	в самом деле	2	1
29	того или иного	5	1
30	что на этом	1	1
31	друг от друга	2	1
32	с другой стороны	5	1
33	и в то	1	1
34	можно говорить о	2	1
35	бы то ни	2	1
36	только то что	3	1
37	рассматривать их в	1	1
38	то что в	1	1
39	этого термина он	1	1
40	или по крайней	3	1
41	но это не	1	1
42	а с другой	1	1
43	в частности что	1	1
44	ничего не знаем	1	1
45	еще не есть	2	1
46	и в частности	3	1
47	в целом и	1	1
48	не совпадает с	2	1
49	то ни было	1	1
50	мы все же	3	1
51	говоря уже о	4	1
52	как будто бы	5	1
53	которая пока еще	1	1
54	том что и	1	1
55	о чем не	1	1
56	в себе те	1	1
57	во всяком случае	10	1
58	и той же	2	1
59	время представляет собой	1	1
60	не то чтобы	1	1
61	между тем как	1	1
62	обратим внимание на	1	1
63	та или иная	2	1
64	то есть в	2	1
65	с самого начала	2	1
66	мысль о том	2	1
67	не менее в	1	1
68	тем что он	1	1
69	можно сказать что	3	1
70	мы ничего не	1	1
71	или иной мере	1	1
72	никак не могут	1	1
73	в том числе	2	1
74	одной и той	2	1
75	тем не менее	12	1
76	по крайней мере	6	1
77	да и само	1	1
78	том числе и	2	1
79	то есть мы	1	1
80	не говоря уже	4	1
