N	3gram	Berdyaev_V_1	StatiiOP
1	и т д	2	21
2	в том что	2	17
3	с другой стороны	1	6
4	я думаю что	1	4
5	так и в	1	4
6	и в этом	1	3
7	но все же	1	3
8	за то что	3	3
9	т д и	1	2
10	хотя бы и	1	2
11	но и в	2	2
12	по крайней мере	1	2
13	как и в	1	2
14	а между тем	2	1
15	никогда не было	1	1
16	то ни стало	1	1
17	для него не	1	1
18	том что он	2	1
19	во что бы	1	1
20	и можно ли	1	1
21	бы то ни	1	1
22	что бы то	1	1
23	и что в	1	1
24	и не было	1	1
25	по этому пути	2	1
26	не могут и	1	1
27	д и т	1	1
28	в одно целое	1	1
29	и никогда не	1	1
30	отказывает в праве	1	1
31	после того как	1	1
32	в вопросе о	2	1
33	к тому что	3	1
34	в конце концов	1	1
