N	3gram	Tiupa_Teor_1	EvropaiE
1	с точки зрения	3	16
2	в то же	5	15
3	то же время	5	14
4	в отношении к	1	12
5	и в то	1	8
6	с одной стороны	2	8
7	в том что	8	6
8	так же как	1	5
9	для того чтобы	1	5
10	бы то ни	1	4
11	то ни было	1	4
12	того или иного	3	4
13	той или иной	1	4
14	в той или	1	3
15	в этом смысле	2	3
16	ту или иную	1	3
17	в известном смысле	1	3
18	между тем в	1	3
19	можно сказать что	2	3
20	в известной степени	1	3
21	заключает в себе	1	3
22	имеет место в	1	2
23	а тем более	1	2
24	из того что	1	2
25	в данном случае	5	2
26	но в то	1	2
27	заключается в том	1	2
28	не более чем	1	2
29	с другой стороны	5	2
30	не может быть	4	2
31	в свою очередь	2	2
32	друг от друга	1	2
33	в большинстве случаев	1	2
34	и того же	3	1
35	в этом мире	2	1
36	дело в том	1	1
37	более или менее	2	1
38	и некоторые иные	2	1
39	в соответствии с	2	1
40	он мог бы	1	1
41	существенное значение в	1	1
42	в одной из	1	1
43	том случае если	1	1
44	также и по	1	1
45	а также в	1	1
46	в отличие от	6	1
47	том числе и	1	1
48	в противном случае	1	1
49	то или иное	1	1
50	может быть и	2	1
51	то что может	1	1
52	как это случается	1	1
53	они обращены к	1	1
54	не сводится к	4	1
55	в значительной степени	1	1
56	по большей части	1	1
57	не могут быть	2	1
58	в том случае	1	1
59	в связи с	1	1
60	не только отдельные	1	1
61	в полной мере	1	1
62	в то время	1	1
63	та или иная	1	1
64	и тем самым	2	1
65	именно потому что	1	1
66	одного и того	3	1
67	но не в	1	1
68	в другой своей	1	1
69	в том числе	2	1
70	к тому что	2	1
71	тех или иных	3	1
