N	2gram	Vinokur_Ku_2	Stilisti
1	и в	23	42
2	не только	20	27
3	как бы	4	27
4	прежде всего	8	22
5	хотя бы	9	17
6	то же	6	15
7	но и	7	15
8	и не	16	14
9	не может	9	12
10	может быть	15	12
11	мы уже	1	11
12	как и	2	11
13	точки зрения	14	11
14	отнюдь не	4	10
15	в этом	18	10
16	и как	1	10
17	как мы	3	10
18	мы должны	2	10
19	что мы	6	10
20	мы не	1	9
21	при этом	2	9
22	в то	4	9
23	для того	9	9
24	то что	9	9
25	в ней	3	8
26	все же	7	8
27	в себе	1	8
28	таким образом	5	8
29	тем самым	2	8
30	и это	3	8
31	слово как	1	8
32	с тем	2	8
33	эти слова	1	8
34	что же	5	8
35	в зависимости	4	7
36	зависимости от	5	7
37	и на	6	7
38	в которой	1	7
39	было бы	15	7
40	и тем	5	7
41	так как	15	7
42	никогда не	2	7
43	же время	3	7
44	потому что	25	7
45	того чтобы	11	7
46	ничего не	4	7
47	с его	1	7
48	слов и	2	7
49	только в	5	7
50	и его	3	7
51	мы можем	1	7
52	а не	10	7
53	и от	2	7
54	мы будем	2	6
55	точку зрения	1	6
56	в этой	6	6
57	но ведь	1	6
58	в нем	4	6
59	не в	8	6
60	в процессе	3	6
61	в области	11	6
62	когда мы	1	6
63	так и	4	6
64	язык и	2	6
65	в форме	3	6
66	язык в	2	6
67	в конце	4	6
68	или иной	1	6
69	речи и	5	6
70	в свою	2	6
71	той же	2	5
72	уже в	3	5
73	в нашем	7	5
74	что язык	1	5
75	в той	2	5
76	независимо от	1	5
77	и с	7	5
78	того или	2	5
79	мы видели	2	5
80	с точки	8	5
81	и той	1	5
82	тому что	1	5
83	а в	3	5
84	те же	3	5
85	в его	5	5
86	и следовательно	2	5
87	и их	1	5
88	слова в	6	5
89	в живом	2	5
90	с помощью	7	5
91	вместе с	5	5
92	как это	5	5
93	слова и	5	5
94	или иного	2	5
95	и то	5	4
96	самом деле	9	4
97	тем же	2	4
98	что именно	1	4
99	и к	1	4
100	но в	11	4
101	в самом	12	4
102	что это	7	4
103	уже не	8	4
104	можно было	9	4
105	в каждом	1	4
106	не забудем	1	4
107	и без	1	4
108	самого начала	1	4
109	у нас	12	4
110	но все	4	4
111	всего в	3	4
112	так называемые	2	4
113	к тому	4	4
114	на это	3	4
115	свою очередь	2	4
116	языка и	8	4
117	с самого	1	4
118	если бы	12	4
119	о том	1	4
120	можно сказать	4	4
121	того что	3	4
122	один из	5	4
123	словесное выражение	1	4
124	в качестве	8	4
125	если мы	4	4
126	вопроса о	6	4
127	не просто	2	4
128	и пр	8	4
129	в слове	1	4
130	не что	1	4
131	все это	5	4
132	не знаем	1	4
133	бы в	1	4
134	зрения в	3	4
135	так же	4	4
136	вряд ли	4	3
137	отношения к	2	3
138	на самом	2	3
139	жизни это	1	3
140	еще не	5	3
