N	3gram	Propp_Isto_3	KFilosof
1	по отношению к	2	21
2	не может быть	1	11
3	с точки зрения	1	10
4	на самом деле	1	3
5	но и здесь	1	3
6	может быть в	1	3
7	для нас важно	1	2
8	со стороны ее	1	2
9	в соответствии с	1	2
10	здесь мы имеем	3	2
11	тем не менее	5	2
12	в том что	5	2
13	но прежде всего	1	1
14	на то что	1	1
15	то что и	1	1
16	время от времени	1	1
17	между прочим и	1	1
18	равно как и	1	1
19	мы ничего не	1	1
20	как если бы	1	1
21	независимо от того	1	1
22	но здесь мы	1	1
23	они находятся в	1	1
24	вместе с тем	1	1
25	случае мы имеем	1	1
26	и то что	2	1
27	может быть и	1	1
28	в корне неправильно	1	1
29	смысле этого слова	1	1
30	в себя и	1	1
31	мы имеем не	2	1
32	до того что	1	1
33	во всяком случае	2	1
34	в целом не	2	1
35	и для этой	1	1
36	не может ничего	1	1
37	в свою очередь	1	1
38	к которой он	1	1
39	но в этом	1	1
40	в большинстве случаев	1	1
41	в том смысле	1	1
42	это может быть	1	1
43	но уже не	1	1
44	мы имеем здесь	1	1
45	и было бы	1	1
46	что и в	2	1
47	и входит в	1	1
48	на том что	1	1
