N	3gram	Ircho_Kome_1	Marksizm
1	по отношению к	3	8
2	то же время	4	8
3	в то же	4	8
4	для того чтобы	1	6
5	в том что	9	6
6	то же самое	2	5
7	с самого начала	1	5
8	в большинстве случаев	1	5
9	смысле этого слова	1	4
10	бы то ни	2	4
11	то ни было	2	4
12	в отношении к	1	4
13	в отличие от	1	3
14	до сих пор	2	3
15	с одной стороны	3	3
16	в высшей степени	1	3
17	о том что	3	3
18	как мы уже	1	3
19	к тому что	1	3
20	как мы видели	1	3
21	более или менее	1	2
22	том что он	4	2
23	в зависимости от	1	2
24	ни в коем	1	2
25	но и в	2	2
26	в коем случае	1	2
27	в значительной степени	1	2
28	во всяком случае	2	2
29	мы уже знаем	1	2
30	или может быть	2	2
31	на то что	2	2
32	и прежде всего	1	2
33	к тому же	5	2
34	мы встречаем в	1	2
35	но и все	1	1
36	что иное как	1	1
37	из всего этого	2	1
38	чуть ли не	1	1
39	не говоря уже	2	1
40	в том числе	1	1
41	в соответствии с	1	1
42	обстоит дело с	1	1
43	говоря уже о	2	1
44	сам по себе	1	1
45	в той же	1	1
46	в первую очередь	2	1
47	а может быть	1	1
48	в этом отношении	3	1
49	независимо от того	1	1
50	но он не	1	1
51	одна из них	1	1
52	все его герои	1	1
53	именно здесь в	1	1
54	так или иначе	1	1
55	до конца и	1	1
56	не только в	1	1
57	тем не менее	1	1
58	чтобы убедиться в	1	1
59	с другой стороны	5	1
60	как раз эта	1	1
61	о которых мы	1	1
62	и в том	1	1
63	соответствии с этим	1	1
64	внешней и внутренней	2	1
65	таким образом в	2	1
66	один за другим	1	1
67	все перемены в	1	1
68	не что иное	1	1
69	друг от друга	1	1
70	к одной из	1	1
71	как и в	2	1
72	в отрыве от	1	1
