N	2gram	Tiupa_Narr_1	BTomashe
1	у нас	3	3
2	и не	23	2
3	в ней	4	2
4	все это	1	2
5	не то	1	2
6	во всяком	2	1
7	с другой	2	1
8	не все	1	1
9	совершенно не	1	1
10	в своей	5	1
11	по крайней	1	1
12	между ними	2	1
13	всяком случае	2	1
14	и о	3	1
15	в области	2	1
16	до конца	2	1
17	и ее	3	1
18	не вполне	2	1
19	и в	11	1
20	будто бы	1	1
21	так и	5	1
22	крайней мере	1	1
23	не о	2	1
24	об этом	6	1
25	также не	2	1
26	не было	3	1
27	отнюдь не	2	1
28	о художественной	1	1
29	одной из	1	1
30	было и	2	1
31	далеко не	1	1
32	и потому	1	1
33	в пределах	2	1
34	в значительной	1	1
35	никак не	2	1
36	все же	4	1
37	о них	3	1
38	нас по	1	1
39	в книге	1	1
40	говорить не	1	1
41	прежде всего	4	1
42	свести к	1	1
43	что в	3	1
44	таким образом	1	1
45	к ней	1	1
46	а о	2	1
47	еще не	4	1
48	как будто	3	1
49	в речи	4	1
50	не только	31	1
51	в данном	11	1
52	и на	5	1
53	на самом	1	1
54	другой стороны	2	1
55	значительной степени	1	1
56	тем более	1	1
57	а не	13	1
