N	2gram	Kanaev_Sov_1	BTomashe
1	у нас	3	3
2	и не	6	2
3	все это	3	2
4	в ней	1	2
5	можно было	1	2
6	крайней мере	1	1
7	остановиться на	1	1
8	говорить о	2	1
9	и в	7	1
10	ясного и	2	1
11	что все	2	1
12	с другой	1	1
13	необходимо отметить	2	1
14	на самом	1	1
15	на которой	1	1
16	и нет	1	1
17	было бы	3	1
18	все же	3	1
19	всяком случае	2	1
20	а о	1	1
21	кроме того	1	1
22	между ними	1	1
23	еще не	3	1
24	одной из	1	1
25	прежде всего	5	1
26	в данном	1	1
27	и во	2	1
28	не было	1	1
29	является только	1	1
30	совершенно не	2	1
31	почти совершенно	1	1
32	а не	3	1
33	что в	2	1
34	в области	3	1
35	говорить об	2	1
36	по крайней	1	1
37	отнюдь не	3	1
38	таким образом	11	1
39	вопрос о	4	1
40	и более	1	1
41	и потому	3	1
42	не только	4	1
43	во всяком	2	1
