N	3gram	Medvedev_U_1	Problema
1	то же самое	2	9
2	в данном случае	1	8
3	на то что	1	8
4	сам по себе	1	7
5	в этом смысле	2	6
6	в том что	2	5
7	литературы и искусства	1	4
8	в конце концов	2	4
9	в то же	3	4
10	более или менее	1	3
11	до сих пор	2	3
12	в буквальном смысле	1	3
13	можно сказать что	1	3
14	с другой стороны	3	3
15	в этом случае	1	2
16	в самом деле	2	2
17	так или иначе	1	2
18	по крайней мере	2	2
19	не о чем	1	2
20	и то что	2	2
21	а не только	1	2
22	в этой области	3	2
23	тех или иных	2	2
24	никогда не может	1	2
25	не может быть	4	2
26	с тем что	1	2
27	а между тем	2	1
28	еще одно замечание	1	1
29	он может быть	1	1
30	но даже и	2	1
31	на первый план	1	1
32	уже не как	1	1
33	и в то	1	1
34	является одним из	1	1
35	в первую очередь	1	1
36	в этом отношении	2	1
37	ничего не значит	1	1
38	то что было	1	1
39	все это в	1	1
40	для начала и	1	1
41	еще ничего не	2	1
42	но в то	1	1
43	не только в	1	1
44	тем что он	1	1
45	на первый взгляд	1	1
46	или по крайней	1	1
47	нам представляется что	1	1
48	не в буквальном	1	1
49	это было бы	1	1
50	не могут быть	2	1
51	бы то ни	3	1
52	одним из самых	1	1
53	прежде всего если	1	1
54	не было бы	1	1
55	мы получаем от	1	1
56	у нас в	1	1
57	только в этом	1	1
58	это не только	1	1
59	таким образом на	1	1
60	в отдельности и	1	1
