N	2gram	Medvedev_B_1	Analitik
1	и не	2	21
2	и в	1	18
3	а не	1	17
4	отнюдь не	1	15
5	не только	1	15
6	далеко не	1	6
7	в своей	1	6
8	прежде всего	1	6
9	художественного произведения	1	5
10	и на	1	5
11	что в	1	5
12	все же	1	4
13	не следует	1	4
14	и более	1	4
15	в области	1	4
16	так и	1	4
17	с другой	1	4
18	таким образом	1	3
19	как будто	1	3
20	еще не	1	3
21	будто бы	1	3
22	на самом	1	2
23	не все	1	2
24	за пределы	1	2
25	вопрос о	1	2
26	творчества и	1	2
27	литературы как	1	2
28	и о	1	2
29	в пределах	1	2
30	не о	1	2
31	было бы	1	2
32	и потому	1	2
33	в данном	1	2
34	тем более	1	2
35	другой стороны	1	2
36	художественном произведении	1	1
37	должна быть	1	1
38	видеть в	2	1
39	не вполне	1	1
40	в ней	2	1
41	меньшей мере	1	1
42	а о	1	1
43	что все	1	1
44	же не	1	1
45	свести к	1	1
46	литературных произведений	2	1
47	и ее	1	1
48	теории литературы	1	1
49	по крайней	1	1
50	нельзя не	1	1
51	по меньшей	1	1
52	представляется нам	1	1
53	всего в	1	1
54	в композиции	1	1
55	говорить не	1	1
56	и во	1	1
57	крайней мере	1	1
58	на которой	1	1
59	систематизации и	1	1
60	всяком случае	1	1
61	выходит за	1	1
62	было и	1	1
63	не было	1	1
64	о художественном	1	1
65	между ними	1	1
66	совершенно не	1	1
67	также не	1	1
68	во всяком	1	1
