N	2gram	Trubetskoy_1	Poddanst
1	не только	7	17
2	и в	23	14
3	и не	8	12
4	в области	4	11
5	в этом	12	10
6	в отношении	1	10
7	в качестве	1	9
8	но в	4	9
9	то же	4	9
10	в том	30	9
11	хотя бы	4	8
12	только в	6	7
13	с к	1	7
14	в то	6	7
15	же время	2	7
16	в ней	3	6
17	было бы	3	6
18	но и	9	6
19	быть может	1	6
20	в которых	2	5
21	с другой	6	5
22	может быть	16	5
23	и пр	1	5
24	не в	8	5
25	если бы	8	4
26	тех кто	5	4
27	в своем	10	4
28	и к	5	4
29	как бы	10	4
30	и если	6	4
31	европейской культуры	6	4
32	том что	19	4
33	не может	17	4
34	и потому	3	4
35	в котором	2	4
36	большей степени	1	4
37	на пути	1	4
38	в гораздо	2	4
39	что в	8	4
40	мы должны	4	4
41	а в	3	4
42	то что	18	4
43	в с	3	4
44	мы не	1	3
45	сводится к	2	3
46	столь же	5	3
47	между тем	12	3
48	это не	3	3
49	хотя и	4	3
50	и как	1	3
51	тот же	3	3
52	с ними	2	3
53	с одной	3	3
54	в себе	5	3
55	в нем	3	3
56	для того	8	3
57	заключается в	2	3
58	прежде всего	3	3
59	одной стороны	2	3
60	с тем	2	3
61	что мы	4	3
62	и без	5	3
63	с точки	8	3
64	но не	2	3
65	наряду с	1	3
66	могут быть	1	3
67	тем самым	3	3
68	потому что	9	3
69	точки зрения	13	3
70	я и	1	3
71	и это	3	2
72	например в	1	2
73	другие народы	3	2
74	в мире	6	2
75	есть не	1	2
76	которую мы	1	2
77	по сравнению	5	2
78	никак не	1	2
79	время в	1	2
80	в значительной	1	2
81	во всех	10	2
82	ценности в	1	2
83	говорить о	2	2
84	если в	1	2
85	в общем	6	2
86	во всей	1	2
87	со стороны	1	2
88	отнюдь не	2	2
89	с этим	11	2
90	того что	6	2
91	помнить что	1	2
92	и весьма	1	2
93	бы ни	1	2
94	есть в	2	2
95	в начале	2	2
96	главным образом	1	2
97	и других	2	2
98	в его	5	2
99	из них	5	2
100	в виде	4	2
101	не к	1	2
102	в силу	7	2
103	и вот	1	2
104	именно как	1	2
105	и с	5	2
106	может ли	1	2
107	именно в	5	2
108	и тем	1	2
109	в жизни	3	2
110	в них	2	2
111	не было	2	2
112	а не	1	2
113	должно быть	4	2
114	в эту	2	2
115	эта идея	1	2
116	в европе	6	2
117	в а	2	2
118	друг другу	1	2
119	в тот	1	2
120	культуры в	10	2
121	для тех	1	2
122	не менее	7	2
123	все это	11	2
124	между прочим	2	2
125	на этих	1	2
126	одна из	2	2
127	современной европейской	2	2
128	н с	1	2
129	мысль о	1	2
130	да и	1	2
131	еще более	1	2
132	тем более	3	2
133	создается в	1	2
134	для нас	3	2
135	заключает в	2	2
136	подошел к	1	2
137	в частности	2	2
138	взгляда на	1	2
139	как на	4	2
140	том числе	1	2
141	от этой	1	1
142	также и	2	1
143	же как	3	1
144	области техники	1	1
145	с другом	9	1
146	не очень	2	1
147	которого в	2	1
148	и то	4	1
149	с большою	1	1
150	как известно	3	1
151	тем же	2	1
152	во времена	1	1
153	правила и	1	1
154	в себя	2	1
155	культуры и	9	1
156	смысл этого	1	1
157	к жизни	1	1
158	идет речь	8	1
159	должна быть	5	1
160	отличаться от	1	1
161	на нее	2	1
162	за то	1	1
163	те же	2	1
164	заставить их	1	1
165	в борьбе	1	1
166	и среди	1	1
167	ибо только	1	1
168	к первому	1	1
169	для этого	7	1
170	чем другие	2	1
171	находится в	1	1
172	не вполне	3	1
173	на себя	1	1
174	почти исключительно	1	1
175	с европой	1	1
176	с ее	2	1
177	и ее	2	1
178	том виде	2	1
179	именно потому	2	1
180	мы и	2	1
181	может не	3	1
182	настоящее время	2	1
183	и что	8	1
184	еще не	5	1
185	были бы	1	1
186	и на	6	1
187	в различных	1	1
188	с его	1	1
189	это имеет	1	1
190	к истине	1	1
191	и главное	1	1
192	различия между	3	1
193	связь между	1	1
194	борьбе с	1	1
195	более как	2	1
196	что и	7	1
197	отличие от	3	1
198	современности и	1	1
199	них в	2	1
200	в истории	3	1
201	тем больше	1	1
202	что во	1	1
203	сущность которого	1	1
204	в современной	1	1
205	тех пор	2	1
206	все же	13	1
207	и где	2	1
208	у в	2	1
209	из европы	1	1
210	мы видим	1	1
211	более или	7	1
212	веры в	2	1
213	в народе	4	1
214	должен быть	1	1
215	и греческой	1	1
216	в самом	8	1
217	только то	2	1
218	но как	2	1
219	в которой	5	1
220	что составляет	1	1
221	что это	5	1
222	у каждого	1	1
223	из этих	8	1
224	тот или	1	1
225	если мы	4	1
226	в эти	3	1
227	отчасти и	1	1
228	цивилизация есть	1	1
229	что его	4	1
230	только один	2	1
231	сливаются в	1	1
232	себе те	1	1
233	уже в	1	1
234	во многих	1	1
235	только на	1	1
236	на то	9	1
237	если он	2	1
238	но на	2	1
239	положение что	1	1
240	как оно	1	1
241	не могла	1	1
242	только к	1	1
243	из этой	2	1
244	тем чтобы	2	1
245	многие русские	1	1
246	мы знаем	10	1
247	есть как	1	1
248	при виде	2	1
249	одно из	3	1
250	идеи и	1	1
251	европы и	1	1
252	иначе как	1	1
253	к ним	2	1
254	друг друга	2	1
255	мы можем	6	1
256	чтобы это	1	1
257	и только	2	1
258	каждый из	3	1
259	при отсутствии	2	1
260	и по	3	1
261	дело идет	1	1
262	одно и	1	1
263	мы возьмем	1	1
264	от нее	2	1
265	многих других	2	1
266	бы это	1	1
267	в каждом	1	1
268	сходства между	1	1
269	а затем	2	1
270	тем в	1	1
271	в государство	1	1
272	из двух	2	1
273	без того	4	1
274	не были	1	1
275	возможно что	1	1
276	ней и	1	1
277	или иной	1	1
278	из всех	5	1
279	развития в	1	1
280	на этой	2	1
281	ясно что	8	1
282	его в	5	1
283	чем тот	1	1
284	связаны с	1	1
285	совершенно ясно	2	1
286	а с	4	1
287	русской истории	1	1
288	более мелких	1	1
289	в ином	1	1
290	по всему	1	1
291	на свои	1	1
292	далеко не	5	1
293	в этой	6	1
294	на основании	1	1
295	признавать что	1	1
296	как и	9	1
297	и уже	2	1
298	о господстве	1	1
299	к а	1	1
300	и я	1	1
301	и многие	1	1
302	в развитии	1	1
303	в одно	2	1
304	должна была	1	1
305	и еще	1	1
306	или менее	7	1
307	что если	3	1
308	и при	6	1
309	так же	8	1
310	и особенно	2	1
311	за тем	1	1
312	представить себе	2	1
313	всяком случае	2	1
314	ли они	1	1
315	что именно	1	1
316	на каждом	2	1
317	мысли и	1	1
318	знаем что	8	1
319	в данном	3	1
320	вопрос о	3	1
321	сравнению с	5	1
322	эта не	1	1
323	современной европе	1	1
324	эти последние	2	1
325	и эти	1	1
326	эти черты	2	1
327	как к	5	1
328	и более	2	1
329	в прошлом	1	1
330	друг с	9	1
331	этого сделать	1	1
332	того кто	1	1
333	стремления к	1	1
334	называли себя	1	1
335	более ранняя	1	1
336	национального целого	1	1
337	от тех	3	1
338	этой области	4	1
339	на сторону	1	1
340	стремление к	1	1
341	что эта	4	1
342	с которой	1	1
343	она не	2	1
344	что с	5	1
345	не будут	2	1
346	но для	2	1
347	для каждого	1	1
348	тогда когда	3	1
349	значительная часть	3	1
350	эти ценности	1	1
351	только мы	2	1
352	с и	1	1
353	случаях когда	3	1
354	того чтобы	8	1
355	та или	1	1
356	ценности и	2	1
357	об отношении	1	1
358	не имеет	1	1
359	рассматривать как	2	1
360	никогда не	4	1
361	в результате	9	1
362	о котором	7	1
363	в настоящее	2	1
364	два различных	1	1
365	этих двух	2	1
366	или иная	1	1
367	они являются	1	1
368	это сделать	1	1
369	не более	2	1
370	что народ	2	1
371	и притом	1	1
372	более что	1	1
373	среды в	1	1
374	что по	3	1
375	другой стороны	5	1
376	только что	3	1
377	с у	1	1
378	с чертами	1	1
379	в этих	3	1
380	можно рассматривать	1	1
381	давно уже	2	1
382	до тех	2	1
383	промежуток времени	2	1
384	нет ничего	1	1
385	в психологии	3	1
386	русские интеллигенты	1	1
387	знаем и	2	1
388	по одному	3	1
389	что все	5	1
390	этом не	1	1
391	есть признак	1	1
392	в других	1	1
393	начала в	1	1
394	и самих	1	1
395	числе и	1	1
396	мы все	2	1
397	сильны и	1	1
398	что оно	3	1
399	к сожалению	1	1
400	пути к	1	1
401	всего что	1	1
402	и другие	1	1
403	не есть	2	1
404	вместе с	6	1
405	что от	1	1
406	никакого сомнения	1	1
407	что при	6	1
408	во всяком	2	1
409	многие из	5	1
410	они не	2	1
411	гораздо более	2	1
