N	3gram	Savitsky_P_1	Dialekti
1	и т д	1	23
2	с точки зрения	3	14
3	не может быть	1	6
4	само по себе	1	5
5	и не только	2	3
6	сами по себе	3	3
7	для того кто	1	3
8	с одной стороны	3	3
9	в каком смысле	1	3
10	в том что	4	3
11	в сравнении с	3	3
12	тот или иной	1	2
13	так же как	1	2
14	и в этом	1	2
15	с другой стороны	1	2
16	во всяком случае	1	2
17	что это значит?	1	2
18	том что в	1	1
19	– все это	1	1
20	в этом мире	1	1
21	есть не более	1	1
22	и с этим	1	1
23	одной стороны и	2	1
24	что с точки	1	1
25	что бога не	1	1
26	и не может	1	1
27	и в то	2	1
28	очень и очень	1	1
29	в ней не	2	1
30	и в частности	1	1
31	в применении к	1	1
32	если бы мы	1	1
33	только в виде	1	1
34	не в том	1	1
35	мы отнюдь не	1	1
36	т д не	1	1
37	более или менее	1	1
38	ни к чему	1	1
39	то же время	7	1
40	и пр в	1	1
41	мира а не	1	1
42	в то же	7	1
43	и в движении	1	1
44	как одна из	1	1
45	не более как	1	1
