N	3gram	Medvedev_F_2	Hudozhes
1	в том что	2	11
2	в то же	5	4
3	то же время	5	4
4	к тому что	2	4
5	с одной стороны	1	3
6	как и в	1	3
7	для того чтобы	3	3
8	тем не менее	1	3
9	в самом деле	5	3
10	но при этом	1	3
11	не может быть	10	3
12	и в то	3	2
13	и в этом	5	2
14	но тем не	1	2
15	и т п	9	2
16	того или иного	4	2
17	и сам он	1	2
18	и т д	5	2
19	только тем что	1	2
20	только в том	1	2
21	с точки зрения	7	2
22	а не в	1	2
23	в данном случае	1	2
24	до сих пор	1	2
25	так или иначе	1	1
26	с самого начала	2	1
27	во что бы	1	1
28	в таком случае	1	1
29	лежит в основе	1	1
30	в том случае	2	1
31	между тем в	1	1
32	бы то ни	1	1
33	мы знаем что	1	1
34	в этой плоскости	1	1
35	тем что он	1	1
36	однако и здесь	1	1
37	с самим собою	1	1
38	что бы то	1	1
39	со стороны других	1	1
40	дистанции между ними	1	1
41	что и в	1	1
42	сводится к тому	1	1
43	то ни стало	2	1
44	что он не	1	1
45	то и другое	2	1
46	том случае если	1	1
47	но именно этого	1	1
48	и в других	1	1
49	при этом для	1	1
50	он уже не	1	1
51	лишь в том	1	1
52	в ней все	1	1
53	и то и	2	1
54	что если бы	1	1
55	как мы знаем	2	1
56	как раз и	3	1
57	в значительной степени	3	1
58	в настоящее время	1	1
59	в этом случае	1	1
60	что он уже	1	1
61	не в слове	1	1
62	то или иное	1	1
63	в этом отношении	7	1
64	нельзя отказать в	1	1
65	но все же	2	1
66	она могла бы	1	1
67	несмотря на свой	1	1
68	не следует что	2	1
69	все же не	1	1
70	с другой стороны	3	1
71	его к определенному	1	1
72	тем в этом	1	1
73	бы не видели	1	1
74	как например в	1	1
75	более и более	1	1
76	все более и	1	1
77	а не как	1	1
78	что же такое	1	1
