N	3gram	Vinokur_St_1	Narrotol
1	в том что	17	8
2	в данном случае	6	6
3	не только в	4	6
4	по отношению к	3	5
5	с одной стороны	2	5
6	о том что	11	4
7	тем не менее	2	4
8	в соответствии с	1	3
9	в этом отношении	7	3
10	той или иной	1	3
11	того или иного	4	3
12	то же время	4	3
13	в то же	4	3
14	к тому что	1	3
15	с точки зрения	8	2
16	мы имеем дело	1	2
17	на самом деле	6	2
18	но и в	2	2
19	и т п	9	2
20	в той мере	1	2
21	и не может	1	2
22	у нас нет	7	2
23	точно так же	1	2
24	имеем дело с	2	2
25	так же как	3	2
26	той мере в	1	2
27	в том как	3	2
28	было видно что	1	2
29	мере в какой	2	2
30	а в том	1	2
31	мысль о том	1	2
32	не может быть	5	2
33	на том что	1	1
34	а между тем	1	1
35	не может не	1	1
36	в обоих случаях	1	1
37	выше я уже	1	1
38	в своем роде	1	1
39	в той или	1	1
40	в которой он	1	1
41	каждый из нас	1	1
42	лишь то что	1	1
43	нас нет никаких	1	1
44	смысле как мы	1	1
45	одним и тем	2	1
46	в которых он	1	1
47	по его словам	1	1
48	в самом деле	5	1
49	а как к	1	1
50	в этом смысле	1	1
51	свидетельствует о том	1	1
52	дело не только	1	1
53	как это делает	1	1
54	самом деле не	1	1
55	и в то	1	1
56	в зависимости от	1	1
57	прежде всего его	1	1
58	что с точки	1	1
59	в то что	1	1
60	виде в каком	1	1
61	можно было бы	8	1
62	а с другой	1	1
63	на этот вопрос	1	1
64	том смысле как	1	1
65	до сих пор	7	1
66	то что было	1	1
67	так или иначе	2	1
68	на мой взгляд	1	1
69	как раз в	2	1
70	которые по словам	1	1
71	то время как	1	1
72	и тем же	2	1
73	это прежде всего	2	1
74	а также и	2	1
75	ровным счетом ничего	1	1
76	не в том	2	1
77	то что он	1	1
78	и что в	1	1
79	нет никаких оснований	1	1
80	во всяком случае	6	1
81	ответ на этот	1	1
82	я не могу	1	1
83	на эту тему	4	1
84	а потому не	1	1
85	об этом и	1	1
86	данном случае в	2	1
87	и в других	1	1
88	и для нас	1	1
89	ни в чем	1	1
90	но с другой	2	1
91	в то время	2	1
92	так и в	4	1
93	можно сказать не	1	1
94	но в целом	2	1
95	с того что	1	1
96	в этой системе	1	1
97	никто ничего не	1	1
98	с этой стороны	1	1
99	тем более что	2	1
100	если бы она	1	1
101	оснований видеть в	1	1
102	она не могла	1	1
103	в том смысле	2	1
104	за сто лет	1	1
105	не знает и	1	1
106	для того чтобы	10	1
107	является не только	1	1
