N	2gram	Ircho_Kome_2	Dialekti
1	и не	14	30
2	по себе	1	25
3	т е	1	25
4	и т	2	21
5	и в	26	18
6	точки зрения	4	17
7	ничего не	1	17
8	может быть	11	17
9	и есть	2	16
10	в нем	6	16
11	ни в	5	15
12	не имеет	3	15
13	так что	5	15
14	потому что	6	14
15	а не	1	14
16	не только	7	13
17	и даже	1	13
18	то что	6	13
19	что в	9	13
20	в этом	10	12
21	было бы	8	12
22	с точки	1	12
23	если бы	9	12
24	и что	2	12
25	не может	3	12
26	что это	4	11
27	в себе	1	11
28	что он	5	11
29	так как	4	11
30	как бы	2	11
31	все это	3	11
32	то же	3	10
33	несмотря на	1	10
34	прежде всего	4	10
35	сказать что	1	10
36	отнюдь не	2	9
37	стало быть	1	9
38	так и	12	9
39	это не	2	9
40	том что	9	9
41	никогда не	1	9
42	в том	11	9
43	ясно что	8	8
44	в каком	1	8
45	к нему	3	8
46	и как	1	7
47	что она	2	7
48	что не	1	7
49	той или	1	7
50	мы находим	2	7
51	вовсе не	2	7
52	не просто	1	7
53	но и	10	7
54	его не	1	6
55	хотя бы	2	6
56	в чем	1	6
57	но в	3	6
58	с другой	2	6
59	не в	2	6
60	в то	6	6
61	с ним	1	6
62	никак не	1	6
63	ни с	1	6
64	не было	3	6
65	да и	3	6
66	и ни	1	6
67	говорить о	2	5
68	отношение к	2	5
69	общего с	1	5
70	в своем	6	5
71	все же	4	5
72	и с	5	5
73	и мы	1	5
74	в этих	4	5
75	но если	3	5
76	ни о	1	5
77	в виду	2	5
78	можно было	4	5
79	не с	1	5
80	само по	1	5
81	говорит о	1	5
82	а в	3	5
83	то это	2	4
84	как он	3	4
85	об этом	2	4
86	как таковой	1	4
87	и более	1	4
88	что эта	1	4
89	же время	3	4
90	не о	1	4
91	к тому	12	4
92	как мы	4	4
93	в душу	1	4
94	о том	6	4
95	мы видим	1	4
96	но не	3	4
97	в котором	3	4
98	в конце	2	4
99	мы можем	3	4
100	как раз	1	4
101	больше того	4	4
102	как это	4	4
103	хотя и	4	4
104	или другой	1	4
105	так же	1	4
106	другой стороны	1	4
107	во всяком	2	4
108	отношения к	1	3
109	самом деле	1	3
110	только потому	2	3
111	в ней	3	3
112	если в	2	3
113	если она	1	3
114	более или	1	3
115	конечно не	1	3
116	от этого	2	3
117	в самом	4	3
118	та же	1	3
119	он не	2	3
120	которой не	1	3
121	и еще	2	3
122	что ни	2	3
123	но все	3	3
124	этом смысле	2	3
125	меньше всего	4	3
126	в них	4	3
127	или менее	1	3
128	в их	3	3
129	друг другу	3	3
130	даже в	2	3
131	тому что	4	3
132	на себе	1	3
133	в основе	1	3
134	иметь в	1	3
135	та или	1	3
136	в разных	1	3
137	в сознании	1	3
138	и всех	1	3
139	его с	1	3
140	жизнь и	1	3
141	и та	1	3
