N	3gram	Bakhtin_sl_2	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	3	9
4	в том что	4	7
5	во всяком случае	2	6
6	для того чтобы	2	6
7	до сих пор	2	5
8	более или менее	2	4
9	на то что	1	4
10	не может быть	15	4
11	возможно лишь при	1	4
12	не может не	1	3
13	в этом случае	6	3
14	в лучшем случае	1	3
15	и не может	1	3
16	той или иной	5	3
17	а следовательно и	1	2
18	лишь при условии	1	2
19	что он не	1	2
20	тот факт что	2	2
21	мы говорили в	1	2
22	в этом направлении	1	2
23	по самому своему	1	2
24	того или иного	1	2
25	о том что	1	2
26	в другом случае	1	2
27	в большинстве случаев	5	2
28	сама по себе	3	2
29	она не может	1	2
30	то есть не	1	1
31	в свою очередь	2	1
32	по отношению к	4	1
33	в этой роли	1	1
34	в том числе	1	1
35	которых мы говорили	1	1
36	и не только	1	1
37	до известной степени	1	1
38	лишь тогда когда	2	1
39	в этом отношении	3	1
40	том числе и	1	1
41	основе его лежит	1	1
42	именно так как	1	1
43	перед нами не	1	1
44	жизни и в	1	1
45	во всех областях	4	1
46	в значительной степени	6	1
47	в применении к	1	1
48	в основе его	2	1
49	но в то	3	1
50	может стремиться к	1	1
51	во всех этих	1	1
52	всяком случае не	1	1
53	самому своему существу	1	1
54	по себе еще	1	1
55	в связи с	2	1
56	только с точки	1	1
57	друг к другу	1	1
58	говорить и писать	1	1
59	в его целом	1	1
60	о которых мы	1	1
61	одну и ту	1	1
62	а в том	1	1
63	всех областях жизни	2	1
64	тех или иных	1	1
65	с самого начала	1	1
66	момент необходимый для	1	1
67	речь идет о	1	1
68	но все же	4	1
69	точки зрения здесь	1	1
70	и ту же	1	1
71	мы не знаем	1	1
72	тем не менее	1	1
73	жизни перед нами	1	1
74	необходимо иметь в	1	1
75	всех этих случаях	1	1
