N	3gram	Tiupa_Disk_1	VLabPisa
1	в этом отношении	1	13
2	с другой стороны	3	8
3	не может быть	3	8
4	по отношению к	9	7
5	более или менее	2	6
6	в то же	3	5
7	хотя бы и	1	5
8	в конечном счете	1	5
9	то же время	4	5
10	можно сказать что	2	4
11	в связи с	1	4
12	в том что	13	4
13	это и есть	1	3
14	о том что	5	3
15	большей или меньшей	2	3
16	о том как	1	3
17	и в то	1	3
18	вместе с тем	1	3
19	подобно тому как	2	2
20	с одной стороны	9	2
21	во всех его	1	2
22	в том числе	2	2
23	также и в	1	2
24	следует понимать как	1	2
25	до сих пор	1	2
26	к работе над	1	2
27	в частности в	2	2
28	и не может	1	2
29	одной стороны и	2	2
30	так и от	1	2
31	с работой над	1	2
32	не было в	2	2
33	только то что	1	2
34	во всех этих	1	2
35	том числе и	2	2
36	или меньшей степени	1	2
37	во всяком случае	1	2
38	и в другом	1	2
39	в том чтобы	2	2
40	в большей или	1	2
41	по крайней мере	2	2
42	в этом же	1	1
43	а в том	2	1
44	может быть в	1	1
45	лирических стихотворений и	1	1
46	в таком случае	1	1
47	в этом смысле	1	1
48	он говорит и	1	1
49	с реальной действительностью	1	1
50	в которой он	1	1
51	что в них	1	1
52	не заметить что	1	1
53	в новое время	1	1
54	том или ином	1	1
55	в которых она	1	1
56	для правильного понимания	1	1
57	в целом и	1	1
58	говорит о том	1	1
59	в противном случае	1	1
60	имеем дело с	1	1
61	к тому же	4	1
62	можно так выразиться	1	1
63	его таким образом	1	1
64	то все же	1	1
65	в результате этого	1	1
66	не имеющих нужды	1	1
67	что он не	1	1
68	точки зрения на	1	1
69	в основном по	1	1
70	то же самое	2	1
71	в силу его	1	1
72	тот или иной	2	1
73	и то же	1	1
74	того или иного	1	1
75	и может быть	1	1
76	лицом к лицу	1	1
77	может быть определена	2	1
78	наиболее существенные моменты	1	1
79	дело не в	1	1
80	быть определена как	3	1
81	не только в	2	1
82	как будто бы	1	1
83	далеко не всегда	1	1
84	только в том	2	1
85	о льве толстом	1	1
86	сами по себе	2	1
87	той или иной	3	1
88	говоря уже о	2	1
89	а порой и	1	1
90	в том или	1	1
91	одним из наиболее	1	1
92	нет и не	1	1
93	по аналогии с	1	1
94	именно в том	1	1
95	не говоря уже	2	1
96	если можно так	1	1
97	как и все	1	1
98	мы имеем дело	2	1
99	а не только	2	1
100	каждый из них	1	1
101	не в том	3	1
102	ту или иную	1	1
103	в свою очередь	3	1
104	в данном случае	2	1
105	что во всех	1	1
106	с большей или	1	1
107	можно определить как	2	1
108	в соответствии с	2	1
109	одно и то	1	1
