N	2gram	Losev_Prob_5	UchenyiS
1	и в	30	14
2	а не	5	10
3	не только	18	10
4	прежде всего	6	8
5	и не	12	8
6	не может	5	7
7	в этом	17	7
8	то что	18	7
9	может быть	7	6
10	в искусстве	1	6
11	то же	2	5
12	и только	2	5
13	все это	1	5
14	хотя бы	2	5
15	художественного творчества	8	5
16	с другой	6	4
17	но и	13	4
18	что такое	1	4
19	в их	1	4
20	в этой	10	4
21	конечно не	2	4
22	то ни	2	3
23	и то	5	3
24	это не	2	3
25	было бы	4	3
26	как и	7	3
27	в частности	4	3
28	в своей	22	3
29	бы то	2	3
30	в то	4	3
31	все же	9	3
32	но в	9	3
33	формы в	1	3
34	же время	1	3
35	в области	2	3
36	у нас	7	3
37	другой стороны	6	3
38	не как	1	3
39	ни было	1	3
40	не о	1	3
41	крайней мере	4	2
42	же не	4	2
43	именно как	1	2
44	и с	5	2
45	а его	4	2
46	до сих	2	2
47	а как	1	2
48	самом деле	2	2
49	форму и	2	2
50	превращается в	1	2
51	мы не	2	2
52	о чем	1	2
53	на эту	1	2
54	ничего не	2	2
55	не столько	1	2
56	если не	4	2
57	том что	17	2
58	на первый	1	2
59	сводится к	1	2
60	но даже	4	2
61	мы и	2	2
62	надо было	1	2
63	нам представляется	1	2
64	нас в	4	2
65	с его	1	2
66	но не	7	2
67	думается что	1	2
68	не все	2	2
69	в его	12	2
70	по крайней	4	2
71	по существу	2	2
72	что и	6	2
73	по себе	2	2
74	конце концов	6	2
75	сих пор	2	2
76	но это	1	2
77	этом смысле	3	2
78	могли бы	1	2
79	в том	12	2
80	тех или	2	2
81	это уже	2	2
82	и для	6	2
83	что он	7	2
84	в себе	4	2
85	в самом	5	2
86	между тем	2	2
87	и у	5	2
88	только в	9	2
89	не в	7	2
90	для всех	1	2
91	и является	2	2
92	вопроса о	1	2
93	этом отношении	1	2
94	или иных	2	2
95	бы и	1	2
96	всех этих	1	2
97	представляется нам	1	2
98	их и	1	2
99	не могут	2	2
100	могут быть	1	2
101	в конце	8	2
102	а о	1	2
103	как раз	5	2
104	тем что	2	2
105	что она	1	2
106	таким образом	13	2
107	даже и	4	2
108	для себя	5	1
109	и это	1	1
110	что такой	2	1
111	гораздо больше	2	1
112	об этом	4	1
113	поэзии и	1	1
114	в этот	1	1
115	но по	1	1
116	человека и	4	1
117	даже не	1	1
118	был первым	1	1
119	то есть	21	1
120	в виду	3	1
121	сам по	1	1
122	говорить не	1	1
123	значительной мере	2	1
124	входит в	1	1
125	данном случае	2	1
126	или иначе	1	1
127	в период	4	1
128	искусства в	1	1
129	было и	1	1
130	или по	1	1
131	это для	1	1
132	и др	1	1
133	свое место	1	1
134	и исторически	1	1
135	что для	1	1
136	никогда не	7	1
137	художественное творчество	5	1
138	так и	7	1
139	по его	2	1
140	одной стороны	3	1
141	отсюда и	1	1
142	говорил в	1	1
143	до конца	1	1
144	с тем	5	1
145	мы имеем	2	1
146	он знает	1	1
147	искусство как	1	1
148	является наиболее	2	1
149	творчества то	2	1
150	и даже	14	1
151	мировоззрение в	1	1
152	можно сказать	6	1
153	смысле и	1	1
154	не вполне	1	1
