N	3gram	Vinokur_Ku_3	Russkaja
1	то же время	1	10
2	в то же	1	10
3	с точки зрения	16	9
4	в том что	8	7
5	на самом деле	3	6
6	во всяком случае	1	6
7	для того чтобы	11	6
8	до сих пор	8	5
9	более или менее	2	4
10	бы то ни	1	4
11	в том случае	4	4
12	не может быть	3	4
13	то ни стало	1	3
14	во что бы	1	3
15	при таких условиях	1	3
16	в этом случае	4	3
17	вместе с тем	1	3
18	с тем чтобы	2	3
19	можно было бы	10	3
20	и не может	1	3
21	что бы то	1	3
22	в данном случае	4	3
23	той или иной	5	3
24	только в том	2	2
25	что он не	1	2
26	о том чтобы	1	2
27	тогда когда они	1	2
28	в данном вопросе	1	2
29	чтобы понять что	1	2
30	это потому что	1	2
31	из которых каждый	1	2
32	и вместе с	1	2
33	лишь в том	2	2
34	того или иного	3	2
35	о том что	3	2
36	друг от друга	1	2
37	к тому что	1	2
38	сама по себе	2	2
39	в другом месте	1	1
40	и того же	2	1
41	прежде всего в	1	1
42	в свою очередь	1	1
43	по отношению к	2	1
44	в самом деле	11	1
45	в том числе	2	1
46	то же самое	1	1
47	является не только	1	1
48	на точку зрения	2	1
49	не могло бы	1	1
50	духовной культуры в	1	1
51	только то что	2	1
52	подходить к вопросу	1	1
53	но для этого	1	1
54	совершенно ясно что	2	1
55	а о самой	1	1
56	но вряд ли	1	1
57	на этот вопрос	1	1
58	тот или иной	2	1
59	в противном случае	1	1
60	здесь же мы	1	1
61	по крайней мере	1	1
62	только для того	1	1
63	к созданию нового	1	1
64	можно сказать только	1	1
65	в том чтобы	3	1
66	как и следовало	1	1
67	смысле этого слова	2	1
68	и в этом	4	1
69	не только для	1	1
70	по себе еще	1	1
71	таким образом при	1	1
72	в связи с	4	1
73	идеал и образец	1	1
74	если бы все	1	1
75	сказать только то	1	1
76	от всякого другого	1	1
77	решать вопрос о	1	1
78	так же как	1	1
79	русского языка и	2	1
80	а в том	1	1
81	само собой разумеется	1	1
82	от того что	2	1
83	заключается в том	1	1
84	переносится в область	1	1
85	тех или иных	1	1
86	на ряду с	1	1
87	речь шла о	1	1
88	но это же	1	1
89	от нас и	1	1
90	но все же	1	1
91	одного и того	2	1
92	тем более что	2	1
93	сплошь и рядом	3	1
94	недоразумению так как	1	1
95	в данном частном	1	1
96	тем не менее	9	1
97	и прежде всего	1	1
98	быть не может	1	1
99	том случае когда	3	1
100	к тому же	2	1
101	в области внутренней	1	1
102	себе еще не	1	1
103	и вопрос о	1	1
