N	2gram	Losev_Dial_2	slovoVRo
1	и в	19	39
2	может быть	20	37
3	и т	17	35
4	и его	5	33
5	т п	2	33
6	не только	19	24
7	и не	30	22
8	но и	12	21
9	не может	9	20
10	в нем	10	19
11	в этом	8	16
12	все это	4	16
13	так и	10	15
14	а не	16	14
15	человек и	1	14
16	отличие от	1	13
17	как в	2	13
18	во всех	2	12
19	в истории	2	11
20	вовсе не	13	10
21	и с	5	9
22	не в	8	9
23	таким образом	4	8
24	оно не	1	8
25	себя в	2	8
26	прежде всего	8	8
27	слова и	1	8
28	точки зрения	12	8
29	еще не	4	7
30	при этом	4	7
31	в этих	3	7
32	с ним	4	7
33	никогда не	9	7
34	могут быть	4	7
35	как мы	3	7
36	в его	1	7
37	и даже	14	7
38	и потому	5	7
39	как бы	14	7
40	в сущности	2	6
41	но не	6	6
42	в своем	4	6
43	все же	4	6
44	и к	7	6
45	но в	2	6
46	все эти	2	6
47	так сказать	1	6
48	в них	1	6
49	как и	10	6
50	она не	8	6
51	человек в	1	6
52	там где	1	6
53	жизни и	6	6
54	например в	2	5
55	и слова	3	5
56	это не	10	5
57	том что	10	5
58	по себе	18	5
59	слово и	1	5
60	не могут	4	5
61	но все	2	5
62	той или	4	5
63	мира и	1	5
64	с другой	5	5
65	в том	14	5
66	с ними	2	5
67	с одной	2	5
68	конечно не	6	5
69	уже не	3	5
70	и их	3	5
71	одной стороны	1	5
72	или иной	1	5
73	остается в	1	5
74	только в	5	5
75	и все	12	5
76	в зависимости	2	4
77	его не	2	4
78	и на	1	4
79	связанные с	1	4
80	всех этих	3	4
81	в узком	2	4
82	то же	12	4
83	его в	3	4
84	на почве	1	4
85	ни в	10	4
86	не менее	3	4
87	в то	6	4
88	одна из	1	4
89	в основе	1	4
90	или прямо	2	4
91	же время	5	4
92	или как	3	4
93	во всем	1	4
94	зависимости от	2	4
95	что оно	4	4
96	здесь не	1	4
97	наконец в	1	4
98	поэтому и	1	4
99	так как	14	4
100	даже и	1	4
101	и др	1	4
102	себя и	1	4
103	в той	3	4
104	в смысле	5	4
105	а в	4	4
106	оформления и	1	4
107	в таком	4	4
108	как это	7	3
109	должна быть	5	3
110	человека и	2	3
111	говорить о	5	3
112	в чем	3	3
113	можно прямо	1	3
114	сама по	7	3
115	в собственном	1	3
116	стороны и	1	3
117	к новому	1	3
118	перед нами	2	3
119	и как	10	3
120	бы и	2	3
121	с их	1	3
122	на этом	2	3
123	еще раз	1	3
124	с точки	8	3
125	не была	1	3
126	и остается	2	3
127	нем в	1	3
128	связи с	4	3
129	этом отношении	1	3
130	действует в	1	3
131	в ней	2	3
132	в состав	1	3
133	к нему	4	3
134	между тем	2	3
135	что и	5	3
136	быть и	4	3
137	всех его	1	3
138	или даже	1	3
139	у него	1	3
140	в особенности	1	3
141	здесь в	1	3
142	может иметь	3	3
143	в некоторых	2	3
144	связано с	1	3
145	смысла и	2	3
146	если она	2	3
147	и от	3	3
148	но это	7	3
149	и часто	2	3
150	и становления	1	3
151	что в	7	3
152	из себя	1	3
153	хотя бы	4	3
154	сказать что	10	3
155	во всяком	2	3
156	также и	2	2
157	в сфере	2	2
158	это и	3	2
159	ведь и	1	2
160	оно было	1	2
161	мы уже	8	2
162	мы не	1	2
163	но она	1	2
164	с ее	2	2
165	всех сторон	1	2
166	на них	1	2
167	далее в	2	2
168	не был	1	2
169	оно уже	1	2
170	но как	5	2
171	точка зрения	1	2
172	не все	1	2
173	в новом	1	2
174	за пределы	4	2
175	с этим	3	2
176	кроме того	3	2
177	бы только	2	2
178	более или	2	2
179	себе как	3	2
180	от действительности	1	2
181	в себе	15	2
182	как он	4	2
183	на его	2	2
184	т д	15	2
185	он не	4	2
186	в виде	2	2
187	и более	3	2
188	из него	1	2
189	факт что	1	2
190	значение в	1	2
191	зрения и	1	2
192	далеко не	1	2
193	независимо от	4	2
194	и вне	1	2
195	чем в	1	2
196	смысл и	2	2
197	или менее	2	2
198	несколько слов	1	2
199	и при	2	2
200	в их	2	2
201	но эта	1	2
202	но он	4	2
203	даже в	3	2
204	не меньше	1	2
205	и проч	1	2
206	тогда когда	6	2
207	того как	2	2
208	нашего сознания	1	2
209	чем не	1	2
210	в одном	4	2
211	только и	2	2
212	вне его	1	2
213	значение приобретает	1	2
214	и поэтическое	1	2
215	в области	2	2
216	и оно	1	2
217	на границе	1	2
218	отличается от	1	2
219	и другим	1	2
220	и языком	1	2
221	слова о	1	2
222	должен быть	1	2
223	оно может	1	2
224	и образ	1	2
225	без всякого	4	2
226	воплощен в	1	2
227	в дальнейшем	1	2
228	мы наблюдаем	1	2
229	стремиться к	1	2
230	в другом	4	2
231	те же	1	2
232	здесь как	1	2
233	и здесь	1	2
234	на него	2	2
235	о том	5	2
236	таков например	1	2
237	но мы	2	2
238	или на	2	2
239	в различных	1	2
240	может не	4	2
241	нуждается в	3	2
242	нем и	2	2
243	что он	6	2
244	пор не	1	2
245	всяком случае	2	2
246	на мир	2	2
247	именно на	1	2
248	со всеми	1	2
249	где они	1	2
250	же и	9	2
251	уже в	4	2
252	в поэзии	7	2
253	его и	1	2
254	в прошлом	1	2
255	то что	14	2
256	не было	3	2
257	до сих	2	2
258	именно в	2	2
259	а именно	5	2
260	них и	1	2
261	но лишь	1	2
262	изображения в	1	2
263	с которым	1	2
264	его как	1	2
265	как о	1	2
266	и непосредственно	1	2
267	не всегда	1	2
268	в одно	5	2
269	в связи	4	2
270	входить в	1	2
271	вместе с	2	2
272	может стать	1	2
273	в данном	3	2
274	существенно и	1	2
275	и нет	2	2
276	сих пор	2	2
277	вокруг него	1	2
278	например у	1	2
279	всем этим	1	2
280	или в	2	2
281	в результате	2	2
282	и ни	1	2
283	все они	1	2
284	восприятием и	1	2
285	основное отличие	1	2
286	может и	2	2
287	не знает	1	2
288	от характера	1	2
289	к его	1	2
290	только о	2	2
291	например во	1	2
292	все что	1	2
293	они не	3	2
294	еще слишком	1	2
295	смысле слова	1	1
296	как известно	2	1
297	от этой	1	1
298	как существенное	1	1
299	от личности	5	1
300	речь идет	1	1
301	не должны	1	1
302	коренное отличие	1	1
303	он также	1	1
304	мы к	1	1
305	в рассмотрение	1	1
306	того же	1	1
307	не остается	1	1
308	как миф	3	1
309	пусть не	1	1
310	оно непрерывно	1	1
311	он может	2	1
312	идет о	1	1
313	и есть	4	1
314	между двумя	1	1
315	мы говорим	3	1
316	по преимуществу	1	1
317	и до	1	1
318	все те	1	1
319	есть не	7	1
320	со всех	1	1
321	и значение	1	1
322	и о	1	1
323	что уже	2	1
324	этой линии	2	1
325	нам в	1	1
326	быть вещью	1	1
327	обращения с	1	1
328	на тему	1	1
329	свой предмет	1	1
330	онегин у	1	1
331	от времени	1	1
332	как не	2	1
333	мы ее	1	1
334	проявляется в	1	1
335	и говорить	2	1
336	момент в	2	1
337	литературы и	1	1
338	и этого	1	1
339	он сам	1	1
340	быть в	4	1
341	в широком	2	1
342	как таковая	1	1
343	бы она	1	1
344	различия между	2	1
345	совсем не	1	1
346	к которой	1	1
347	к ним	1	1
348	остаются в	1	1
349	не просто	12	1
350	себя окружающему	1	1
351	в одной	4	1
352	и выражения	1	1
353	его на	1	1
354	себе ни	1	1
355	все остальные	1	1
356	привносит в	1	1
357	все новые	1	1
358	или иную	1	1
359	в самом	5	1
360	та же	4	1
361	в целом	1	1
362	он в	1	1
363	сущности и	1	1
364	в этой	3	1
365	однако как	1	1
366	здесь обязательно	1	1
367	другом случае	1	1
368	научных и	1	1
369	на то	1	1
370	если он	1	1
371	философской и	1	1
372	и идея	1	1
373	общения с	3	1
374	вообще не	1	1
375	в чужую	1	1
376	что она	14	1
377	больше всего	1	1
378	по самому	1	1
379	время и	2	1
380	и единое	1	1
381	и только	4	1
382	и еще	1	1
383	не значит	3	1
384	у лермонтова	1	1
385	значение может	1	1
386	ни была	1	1
387	широком смысле	2	1
388	у пушкина	2	1
389	слились в	1	1
390	и по	4	1
391	без исключения	1	1
392	одно и	4	1
393	и специфическое	1	1
394	в каждом	2	1
395	быть настолько	1	1
396	в мире	2	1
397	об этом	3	1
398	влиять на	2	1
399	на все	2	1
400	говорить не	1	1
401	знает что	1	1
402	это было	3	1
403	не умеет	2	1
404	действительности в	1	1
405	новые и	2	1
406	и тем	1	1
407	в иные	1	1
408	ведь если	1	1
409	здесь нет	1	1
410	мог бы	1	1
411	об очень	1	1
412	но уже	1	1
413	все равно	5	1
414	о способах	1	1
415	восприятие и	1	1
416	можем сказать	1	1
417	оно все	1	1
418	попадает в	1	1
419	всегда и	1	1
420	несмотря на	2	1
421	ее судьбы	1	1
422	выйти за	1	1
423	действительно может	1	1
424	в один	3	1
425	одного и	1	1
426	сосредоточиться на	1	1
427	и становится	1	1
428	на первый	1	1
429	в эту	1	1
430	в своей	8	1
431	сознания но	1	1
432	она в	1	1
433	характеризуется именно	1	1
434	себе а	1	1
435	от его	1	1
436	неподвижна и	1	1
437	своему существу	1	1
438	от поэтического	3	1
439	силу и	1	1
440	тем не	2	1
441	делает их	2	1
442	она или	1	1
443	уже сказали	1	1
444	вещей и	3	1
445	если нет	1	1
446	от чисто	1	1
447	категория в	1	1
448	человека но	2	1
449	лиц и	1	1
450	и время	4	1
451	можно понимать	2	1
452	самого начала	2	1
453	не о	1	1
454	и притом	7	1
455	становлению и	1	1
456	в нас	1	1
457	дело не	2	1
458	иметь в	2	1
459	во всякой	1	1
460	к такому	1	1
461	самого по	1	1
462	значение этого	1	1
463	и простая	1	1
464	и уже	3	1
465	человека от	1	1
466	ничего не	3	1
467	она ни	1	1
468	это то	1	1
469	и характер	1	1
470	ее с	1	1
471	по своей	4	1
472	она имеет	1	1
473	это слово	1	1
474	от их	2	1
475	и противопоставление	1	1
476	и должно	2	1
477	во все	2	1
478	было у	1	1
479	и всех	1	1
480	если же	1	1
481	как только	3	1
482	содержанием и	2	1
483	не предполагает	1	1
484	совершенно иной	1	1
485	быть конечно	1	1
486	и это	5	1
487	следовательно не	2	1
488	и самое	1	1
489	как они	3	1
490	также имеет	2	1
491	в виду	5	1
492	чтобы быть	1	1
493	нет никакой	4	1
494	с самого	2	1
495	культуры и	2	1
496	приводит к	1	1
497	и может	6	1
498	признания и	1	1
499	дано в	1	1
500	слова а	1	1
501	например о	1	1
502	в бесконечность	2	1
503	и которые	1	1
504	на которую	1	1
505	как таковую	1	1
506	еще в	1	1
507	всех возможных	1	1
508	даны в	3	1
509	это как	3	1
510	одно из	4	1
511	он остается	1	1
512	не на	2	1
513	образом в	1	1
514	необходимо иметь	1	1
515	что часто	1	1
516	и личность	2	1
517	с другим	1	1
518	и что	5	1
519	миф в	1	1
520	и символ	1	1
521	среди всех	1	1
522	не стоит	1	1
523	порождать из	1	1
524	можно сказать	5	1
525	нас в	1	1
526	мы понимаем	1	1
527	науке и	1	1
528	всех своих	1	1
529	это может	2	1
530	нем не	1	1
531	которой мы	1	1
532	тем или	2	1
533	смысле не	2	1
534	когда оно	2	1
535	во всей	1	1
536	в художественной	1	1
537	сразу в	1	1
538	и следовательно	5	1
539	и она	2	1
540	того что	6	1
541	всегда в	1	1
542	этих сфер	1	1
543	речи о	1	1
544	как вещи	3	1
545	проникнуть в	1	1
546	в какой	2	1
547	друг друга	1	1
548	из многих	1	1
549	уже говорили	1	1
550	и действительно	1	1
551	специфическое содержание	1	1
552	эта общая	1	1
553	и ее	1	1
554	их не	1	1
555	вопрос об	4	1
556	становлении нет	1	1
557	с какой	1	1
558	с нею	3	1
559	только на	1	1
560	понимать и	1	1
561	только чисто	1	1
562	оно в	1	1
563	сфере например	1	1
564	но самое	1	1
565	а это	1	1
566	оно всегда	2	1
567	представить себе	1	1
568	сами по	3	1
569	в пространстве	1	1
570	в конце	2	1
571	мы можем	1	1
572	случае не	1	1
573	как раз	5	1
574	тем что	2	1
575	в других	1	1
576	становление и	4	1
577	глубине и	1	1
578	новый смысл	1	1
579	моментов и	1	1
580	движении но	1	1
581	говорим о	1	1
582	евгений онегин	1	1
583	начинается это	1	1
584	как у	1	1
585	или иначе	2	1
586	не обязательно	5	1
587	этого взаимоотношения	1	1
588	или меньшей	1	1
589	которая на	1	1
590	мы еще	1	1
591	души и	2	1
592	в живых	1	1
593	что не	6	1
594	неотделим от	3	1
595	говорит о	1	1
596	должно быть	7	1
597	к сожалению	2	1
598	превращается в	1	1
599	оно дано	1	1
600	это взаимоотношение	1	1
601	в подлинном	1	1
602	овладения и	1	1
603	зависит от	2	1
604	другой стороны	4	1
605	как ни	2	1
606	все время	3	1
607	неодушевленных и	1	1
608	отнюдь не	6	1
609	слова слово	1	1
610	могут служить	1	1
611	мы находим	3	1
612	все более	1	1
613	вступает в	1	1
614	в частности	2	1
615	все то	1	1
616	даже не	1	1
617	только его	1	1
618	только начинается	1	1
619	от второй	1	1
620	нет ни	3	1
621	ибо оно	2	1
622	который мы	1	1
623	образ может	1	1
624	или иного	1	1
625	в литературе	1	1
626	быть только	2	1
627	да и	6	1
628	большей или	1	1
629	сопоставление и	1	1
630	но почему	1	1
631	эти элементы	1	1
632	только для	1	1
633	того или	2	1
634	однако не	1	1
635	которые были	2	1
636	и собственно	1	1
637	как душа	1	1
638	более и	2	1
639	тех или	2	1
640	и времени	5	1
641	отсюда следует	1	1
642	тем и	1	1
643	но на	1	1
644	сознания и	5	1
645	поэтический образ	7	1
646	или иным	2	1
647	развития и	1	1
648	себя самого	1	1
649	или нет	3	1
650	и темного	1	1
651	к внешнему	1	1
652	разной степени	1	1
653	но зато	1	1
654	же в	2	1
655	но всегда	2	1
656	в системе	2	1
657	нисколько не	4	1
658	менее в	1	1
659	к самому	1	1
660	здесь только	1	1
661	только как	3	1
662	от поэтической	1	1
663	но этот	1	1
664	идея в	1	1
665	ко всему	1	1
666	в отдельности	1	1
667	что под	1	1
668	или точнее	3	1
669	что такое	3	1
670	печорин у	1	1
671	мифа как	1	1
672	событиях и	1	1
673	также не	1	1
674	в своих	2	1
675	только не	2	1
676	мы всегда	1	1
677	гораздо более	1	1
678	слова это	1	1
