N	2gram	Savitsky_E_1	Mirosoze
1	и в	37	46
2	в нем	1	22
3	может быть	6	21
4	в этом	12	20
5	не только	18	18
6	и не	14	18
7	никогда не	3	18
8	для него	1	18
9	но и	14	15
10	не может	9	15
11	как и	7	13
12	а не	2	13
13	не есть	2	13
14	прежде всего	9	12
15	потому что	3	12
16	не было	1	11
17	в ней	4	11
18	у нас	1	11
19	но в	14	10
20	та же	1	10
21	в себе	9	10
22	он не	2	10
23	не в	5	9
24	в своем	14	8
25	на земле	1	8
26	так как	7	8
27	она не	2	8
28	переходит в	1	8
29	как бы	6	8
30	но это	1	8
31	связана с	1	7
32	в мире	2	7
33	как в	3	7
34	и к	3	7
35	в нашем	1	7
36	в этой	2	7
37	любви к	1	7
38	хотя бы	15	7
39	и потому	5	7
40	и для	3	7
41	вопрос о	4	6
42	что это	2	6
43	революции и	1	6
44	в революции	1	6
45	он сам	2	6
46	во власти	2	6
47	так же	9	6
48	того что	7	6
49	жизни и	2	6
50	по преимуществу	2	5
51	то же	15	5
52	есть не	2	5
53	не способен	1	5
54	друг к	1	5
55	в самом	4	5
56	бы и	3	5
57	что все	2	5
58	к другу	1	5
59	в своей	8	5
60	в отношении	32	5
61	во всем	1	5
62	и его	1	5
63	к тому	8	5
64	и это	1	5
65	те же	1	5
66	один из	1	5
67	в его	2	5
68	для того	6	5
69	то что	6	5
70	и все	2	5
71	также и	7	4
72	все ли	1	4
73	с его	1	4
74	его на	2	4
75	думать что	8	4
76	в жизни	1	4
77	народа и	1	4
78	том что	6	4
79	тому что	1	4
80	не имеет	4	4
81	того чтобы	6	4
82	только и	1	4
83	должны быть	1	4
84	так и	10	4
85	для этого	1	4
86	означает что	1	4
87	в русском	1	4
88	уже не	1	4
89	что и	3	4
90	в свою	3	4
91	т е	9	4
92	что в	21	4
93	все что	1	4
94	же как	5	3
95	чтобы не	1	3
96	той же	1	3
97	и на	6	3
98	что нет	1	3
99	он в	1	3
100	в россии	5	3
101	своей духовной	1	3
102	не будет	3	3
103	и с	2	3
104	в глубине	1	3
105	в них	3	3
106	одна и	2	3
107	в такой	1	3
108	можно ли	3	3
109	принадлежат к	1	3
110	она никогда	1	3
111	западной европы	9	3
112	по своей	2	3
113	если бы	2	3
114	с ним	1	3
115	о том	3	3
116	и во	2	3
117	и можно	2	3
118	к которой	1	3
119	в том	11	3
120	только в	9	3
121	есть в	2	3
122	тем что	3	3
123	от того	1	3
124	к которому	1	3
125	русской истории	1	3
126	связано с	3	3
127	с которым	1	3
128	нет ничего	1	3
129	жизни в	3	3
130	и от	3	3
131	отношении к	15	3
132	отрекается от	1	3
133	сказать что	4	3
134	в своих	2	3
135	он считает	1	2
136	с таким	1	2
137	в сфере	3	2
138	только это	1	2
139	как то	1	2
140	а для	1	2
141	во всех	6	2
142	россии и	3	2
143	по отношению	1	2
144	она есть	1	2
145	более чем	2	2
146	в центре	1	2
147	к европе	1	2
148	революция есть	1	2
149	хотя и	2	2
150	увидим что	1	2
151	есть ли	2	2
152	от этого	5	2
153	от своей	1	2
154	то в	4	2
155	и тот	1	2
156	и те	1	2
157	но на	3	2
158	этот процесс	2	2
159	и если	2	2
160	на его	1	2
161	не к	2	2
162	на этом	1	2
163	с собой	1	2
164	еще более	2	2
165	лишь в	1	2
166	мире как	1	2
167	чем в	4	2
168	должно быть	1	2
169	не будут	1	2
170	в этих	2	2
171	точки зрения	23	2
172	ее в	3	2
173	место в	3	2
174	которые в	1	2
175	тогда когда	2	2
176	правда в	1	2
177	к ней	4	2
178	связи с	1	2
179	как будто	2	2
180	в основе	1	2
181	оно не	1	2
182	революции в	1	2
183	приходит к	1	2
184	людей в	1	2
185	мысль о	1	2
186	можно было	3	2
187	еще в	1	2
188	быть может	1	2
189	по себе	4	2
190	в разных	1	2
191	всего человечества	2	2
192	и поэтому	2	2
193	и та	2	2
194	и что	2	2
195	нас в	1	2
196	к нему	2	2
197	способность к	1	2
198	но с	2	2
199	мы видим	2	2
200	тот же	1	2
201	мы увидим	1	2
202	между тем	8	2
203	со своим	1	2
204	уже в	1	2
205	и других	2	2
206	себе в	3	2
207	много раз	1	2
208	не о	1	2
209	или иной	4	2
210	что не	1	2
211	не означает	2	2
212	человеческой жизни	1	2
213	вместе с	2	2
214	что за	1	2
215	это есть	1	2
216	что же	2	2
217	русском народе	1	2
218	его собственная	2	2
219	в более	1	2
220	ее и	1	2
221	но когда	1	2
222	бы в	2	2
223	быть и	1	2
224	а в	2	2
225	но этот	1	2
226	и эта	2	2
227	с природой	1	1
228	человечеству есть	1	1
229	культурного творчества	2	1
230	и то	2	1
231	тем большей	1	1
232	другие народы	2	1
233	он обращен	1	1
234	перед лицом	1	1
235	с культурой	1	1
236	права и	1	1
237	ведь и	2	1
238	от которых	1	1
239	должна быть	2	1
240	всего лишь	3	1
241	революция была	1	1
242	мы не	4	1
243	что если	2	1
244	большую роль	1	1
245	среды и	1	1
246	но по	2	1
247	говорить о	1	1
248	на практике	1	1
249	и ее	1	1
250	в будущем	3	1
251	не чуждо	2	1
252	не имеющим	2	1
253	на них	2	1
254	быть в	1	1
