N	3gram	Berdyaev_M_2	VerxiiNi
1	с точки зрения	1	6
2	до сих пор	3	5
3	для того чтобы	4	5
4	о том что	2	4
5	друг за друга	2	3
6	в конце концов	1	3
7	так же как	3	3
8	в том что	2	3
9	друг на друга	1	2
10	в этом отношении	1	2
11	может быть и	2	2
12	по сравнению с	1	2
13	той или иной	1	2
14	на то что	1	2
15	и в этом	3	2
16	а между тем	1	1
17	не всегда легко	1	1
18	есть один из	2	1
19	ничего не стоит	1	1
20	по отношению к	2	1
21	в которых он	1	1
22	по своему значению	1	1
23	а следовательно и	1	1
24	все те же	1	1
25	но для этого	2	1
26	его жизнь в	1	1
27	человека и в	1	1
28	которые могли бы	1	1
29	не потому что	1	1
30	любви к богу	1	1
31	смысле этого слова	1	1
32	что он существует	1	1
33	стоит и перед	1	1
34	и в этой	1	1
35	потому что в	1	1
36	в этом направлении	1	1
37	друг к другу	5	1
38	между народом и	1	1
39	потому только что	1	1
40	сих пор не	1	1
41	к богу и	1	1
42	не может быть	8	1
43	нет ничего кроме	1	1
44	это и есть	3	1
45	своей духовной жизни	1	1
46	и никогда не	2	1
47	ничего подобного нет	1	1
48	добра и зла	5	1
49	том что все	1	1
50	после того как	2	1
51	друг друга а	1	1
52	что и в	4	1
53	только тогда когда	1	1
54	именно потому что	1	1
